
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Segment,1,15,Image 1,6,1,100000004,510000014129,
3,,Segment,1,16,Image 1,7,1,100000004,510000014131,
7,,Segment,1,13,Image 1,6,1,100000004,510000014147,
7,,Segment,1,13,Image 1,6,1,100000004,510000014151,
4,,Segment,1,12,Image 1,3,1,100000004,510000014169,
4,,Segment,1,12,Image 1,2,1,100000004,510000014171,
5,,Segment,1,14,Image 1,5,1,100000004,510000014181,
3,,Segment,1,8,Image 1,3,1,100000004,510000014186,
21,,Segment,1,12,Image 1,6,1,100000004,510000014189,
12,,Segment,1,12,Image 1,4,1,100000004,510000014196,
15,,Segment,1,10,Image 1,5,1,100000004,510000014225,
15,,Segment,1,10,Image 1,3,1,100000004,510000014245,
3,,Segment,1,10,Image 1,2,1,100000004,510000014259,
1,,Segment,1,9,Image 1,1,1,100000004,510000014261,
8,,Segment,1,10,Image 1,1,1,100000004,510000014269,
2,,Segment,1,9,Image 1,5,1,100000004,510000014271,
3,,Segment,1,7,Image 1,2,1,100000004,510000014285,
30,,Segment,1,9,Image 1,4,1,100000004,510000014292,
15,,Segment,1,8,Image 1,3,1,100000004,510000014298,
15,,Segment,1,3,Image 1,2,1,100000004,510000014323,
2,,Segment,1,2,Image 1,2,1,100000004,510000014325,
5,,Segment,1,1,Image 1,2,1,100000004,510000014358,
15,,Segment,1,9,Image 1,3,1,100000004,510000014361,
8,,Segment,1,9,Image 1,3,1,100000004,510000014371,
3,,Segment,1,8,Image 1,2,1,100000004,510000014375,
5,,Segment,1,4,Image 1,3,1,100000004,510000014391,
4,,Segment,1,3,Image 1,3,1,100000004,510000014395,
7,,Segment,1,7,Image 1,4,1,100000004,510000014409,
5,,Segment,1,5,Image 1,2,1,100000004,510000014414,
1,,Segment,1,2,Image 1,3,1,100000004,510000014418,
3,,Segment,1,9,Image 1,2,1,100000004,510000014421,
3,,Segment,1,4,Image 1,4,1,100000004,510000014423,
5,,Segment,1,7,Image 1,3,1,100000004,510000014426,
3,,Segment,1,6,Image 1,2,1,100000004,510000014430,
8,,Segment,1,5,Image 1,2,1,100000004,510000014439,
6,,Segment,1,4,Image 1,2,1,100000004,510000014456,
5,,Segment,1,3,Image 1,2,1,100000004,510000014465,
2,,Segment,1,6,Image 1,3,1,100000004,510000014467,
6,,Segment,1,5,Image 1,3,1,100000004,510000014472,
4,,Segment,1,4,Image 1,3,1,100000004,510000014486,
5,,Segment,1,4,Image 1,2,1,100000004,510000014499,
5,,Segment,1,2,Image 1,2,1,100000004,510000014503,
38,,Segment,1,19,Image 1,5,1,100000003,510000014521,
42,,Segment,1,18,Image 1,4,1,100000003,510000014525,
17,,Segment,1,17,Image 1,4,1,100000003,510000014529,
4,,Segment,1,16,Image 1,4,1,100000003,510000014536,
4,,Segment,1,15,Image 1,4,1,100000003,510000014591,
1,,Segment,1,14,Image 1,4,1,100000003,510000014594,
7,,Segment,1,12,Image 1,4,1,100000003,510000014599,
7,,Segment,1,11,Image 1,3,1,100000003,510000014607,
7,,Segment,1,10,Image 1,3,1,100000003,510000014609,
4,,Segment,1,9,Image 1,3,1,100000003,510000014618,
13,,Segment,1,21,Image 1,5,1,100000003,510000014636,
7,,Segment,1,20,Image 1,4,1,100000003,510000014641,
38,,Segment,1,19,Image 1,4,1,100000003,510000014645,
3,,Segment,1,21,Image 1,6,1,100000003,510000014651,
6,,Segment,1,20,Image 1,5,1,100000003,510000014659,
14,,Segment,1,21,Image 1,4,1,100000003,510000014664,
2,,Segment,1,13,Image 1,6,1,100000003,510000014669,
1,,Segment,1,12,Image 1,6,1,100000003,510000014675,
3,,Segment,1,11,Image 1,6,1,100000003,510000014686,
4,,Segment,1,10,Image 1,6,1,100000003,510000014703,
3,,Segment,1,9,Image 1,6,1,100000003,510000014717,
4,,Segment,1,6,Image 1,5,1,100000003,510000014729,
5,,Segment,1,5,Image 1,4,1,100000003,510000014743,
4,,Segment,1,4,Image 1,3,1,100000003,510000014766,
3,,Segment,1,3,Image 1,2,1,100000003,510000014787,
4,,Segment,1,2,Image 1,2,1,100000003,510000014807,
4,,Segment,1,1,Image 1,2,1,100000003,510000014821,
1,,Segment,1,0,Image 1,1,1,100000003,510000014858,
4,,Segment,1,10,Image 1,7,1,100000003,510000014883,
4,,Segment,1,7,Image 1,2,1,100000003,510000014932,
8,,Segment,1,6,Image 1,2,1,100000003,510000014964,
3,,Segment,1,5,Image 1,1,1,100000003,510000014969,
2,,Segment,1,4,Image 1,1,1,100000003,510000014971,
4,,Segment,1,3,Image 1,1,1,100000003,510000014978,
3,,Segment,1,2,Image 1,1,1,100000003,510000014997,
5,,Segment,1,1,Image 1,1,1,100000003,510000015010,
4,,Segment,1,11,Image 1,7,1,100000003,510000015030,
59,,Segment,1,18,Image 1,5,1,100000003,510000015036,
2,,Segment,1,12,Image 1,7,1,100000003,510000015038,
4,,Segment,1,17,Image 1,5,1,100000003,510000015047,
14,,Segment,1,16,Image 1,5,1,100000003,510000015060,
16,,Segment,1,3,Image 1,3,1,100000005,510000015094,
3,,Segment,1,5,Image 1,2,1,100000003,510000015102,
4,,Segment,1,4,Image 1,2,1,100000003,510000015156,
7,,Segment,1,2,Image 1,3,1,100000005,510000015185,
3,,Segment,1,8,Image 1,6,1,100000003,510000015193,
3,,Segment,1,6,Image 1,4,1,100000003,510000015218,
2,,Segment,1,7,Image 1,3,1,100000003,510000015220,
3,,Segment,1,9,Image 1,5,1,100000003,510000015223,
5,,Segment,1,6,Image 1,4,1,100000003,510000015235,
5,,Segment,1,5,Image 1,3,1,100000003,510000015256,
2,,Segment,1,7,Image 1,6,1,100000003,510000015262,
5,,Segment,1,2,Image 1,1,1,100000005,510000015278,
34,,Segment,1,1,Image 1,1,1,100000005,510000015292,
11,,Segment,1,0,Image 1,1,1,100000005,510000015313,
1,,Segment,1,5,Image 1,3,1,100000003,510000015316,
3,,Segment,1,10,Image 1,4,1,100000003,510000015335,
7,,Segment,1,13,Image 1,5,1,100000003,510000015345,
5,,Segment,1,8,Image 1,3,1,100000003,510000015378,
5,,Segment,1,3,Image 1,2,1,100000005,510000015398,
4,,Segment,1,2,Image 1,2,1,100000005,510000015403,
4,,Segment,1,1,Image 1,1,1,100000005,510000015424,
2,,Segment,1,0,Image 1,1,1,100000005,510000015430,
16,,Segment,1,3,Image 1,2,1,100000005,510000015460,
