
Spine Length
 ==================== 
Spine Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.750205,µm,Spine,3,2,1,100000004,610000017275,
0.565588,µm,Spine,2,2,1,100000004,610000017278,
0.775195,µm,Spine,5,3,1,100000003,610000017284,
0.526876,µm,Spine,5,3,1,100000003,610000017288,
0.384456,µm,Spine,2,2,1,100000004,610000017291,
0.353372,µm,Spine,1,1,1,100000003,610000017293,
0.525948,µm,Spine,7,2,1,100000004,610000017296,
0.311787,µm,Spine,0,1,1,100000005,610000017298,
0.597564,µm,Spine,4,2,1,100000003,610000017303,
0.535685,µm,Spine,5,3,1,100000005,610000017307,
0.613607,µm,Spine,8,4,1,100000004,610000017311,
0.863756,µm,Spine,1,1,1,100000003,610000017316,
0.376233,µm,Spine,4,2,1,100000005,610000017319,
0.759199,µm,Spine,0,1,1,100000003,610000017325,
0.438919,µm,Spine,15,4,1,100000003,610000017328,
0.783812,µm,Spine,0,1,1,100000003,610000017335,
0.854222,µm,Spine,6,2,1,100000003,610000017341,
0.47635,µm,Spine,2,2,1,100000003,610000017343,
0.400361,µm,Spine,4,4,1,100000004,610000017345,
0.501362,µm,Spine,13,5,1,100000004,610000017347,
0.788986,µm,Spine,15,4,1,100000003,610000017351,
0.788,µm,Spine,0,1,1,100000003,610000017356,
0.615654,µm,Spine,0,1,1,100000005,610000017358,
0.55187,µm,Spine,13,4,1,100000003,610000017361,
0.454206,µm,Spine,9,2,1,100000004,610000017366,
0.588786,µm,Spine,15,4,1,100000003,610000017369,
0.701204,µm,Spine,0,1,1,100000003,610000017373,
0.454225,µm,Spine,3,2,1,100000004,610000017376,
0.433238,µm,Spine,1,1,1,100000004,610000017379,
0.561655,µm,Spine,9,3,1,100000003,610000017382,
0.486775,µm,Spine,5,2,1,100000004,610000017386,
0.543784,µm,Spine,8,4,1,100000004,610000017389,
0.496616,µm,Spine,20,5,1,100000003,610000017392,
0.569018,µm,Spine,12,4,1,100000003,610000017395,
0.443502,µm,Spine,15,4,1,100000003,610000017399,
0.329668,µm,Spine,15,4,1,100000003,610000017401,
0.498407,µm,Spine,4,3,1,100000005,610000017404,
0.428493,µm,Spine,8,4,1,100000004,610000017406,
0.533502,µm,Spine,1,1,1,100000005,610000017410,
0.417798,µm,Spine,2,2,1,100000004,610000017415,
0.414716,µm,Spine,1,1,1,100000003,610000017418,
0.453449,µm,Spine,4,1,1,100000004,610000017421,
0.479588,µm,Spine,0,1,1,100000003,610000017425,
0.727095,µm,Spine,1,1,1,100000003,610000017429,
0.473571,µm,Spine,19,5,1,100000003,610000017432,
0.416142,µm,Spine,1,1,1,100000003,610000017434,
0.277203,µm,Spine,1,1,1,100000005,610000017437,
0.472551,µm,Spine,6,2,1,100000004,610000017441,
0.613261,µm,Spine,9,3,1,100000003,610000017444,
0.411947,µm,Spine,1,1,1,100000005,610000017447,
0.438835,µm,Spine,1,1,1,100000003,610000017449,
0.63613,µm,Spine,6,2,1,100000003,610000017453,
0.249663,µm,Spine,2,1,1,100000005,610000017456,
0.389524,µm,Spine,4,2,1,100000003,610000017460,
0.367522,µm,Spine,17,4,1,100000003,610000017462,
0.400229,µm,Spine,1,1,1,100000003,610000017464,
0.375415,µm,Spine,8,6,1,100000005,610000017467,
0.280017,µm,Spine,10,4,1,100000004,610000017469,
0.388909,µm,Spine,0,1,1,100000004,610000017472,
0.328621,µm,Spine,20,5,1,100000003,610000017474,
0.449311,µm,Spine,2,1,1,100000005,610000017480,
0.259194,µm,Spine,8,2,1,100000003,610000017482,
0.405174,µm,Spine,0,1,1,100000004,610000017487,
0.355179,µm,Spine,0,1,1,100000004,610000017493,
0.215264,µm,Spine,2,1,1,100000005,610000017495,
0.579611,µm,Spine,0,1,1,100000004,610000017501,
0.408479,µm,Spine,10,7,1,100000003,610000017503,
0.708483,µm,Spine,0,1,1,100000003,610000017508,
0.536095,µm,Spine,0,1,1,100000003,610000017510,
0.347354,µm,Spine,0,1,1,100000003,610000017514,
0.374245,µm,Spine,13,6,1,100000004,610000017516,
0.377478,µm,Spine,2,2,1,100000003,610000017520,
0.104761,µm,Spine,2,1,1,100000005,610000017522,
0.704393,µm,Spine,0,1,1,100000004,610000017526,
0.539219,µm,Spine,1,1,1,100000003,610000017531,
0.380975,µm,Spine,4,1,1,100000003,610000017533,
0.489126,µm,Spine,4,2,1,100000003,610000017536,
0.44561,µm,Spine,1,1,1,100000003,610000017540,
0.427764,µm,Spine,6,4,1,100000003,610000017542,
0.362492,µm,Spine,2,2,1,100000003,610000017544,
0.237811,µm,Spine,0,1,1,100000003,610000017547,
0.543489,µm,Spine,1,2,1,100000004,610000017550,
0.485287,µm,Spine,6,2,1,100000003,610000017554,
0.357273,µm,Spine,1,1,1,100000003,610000017556,
0.372475,µm,Spine,1,1,1,100000004,610000017561,
0.364017,µm,Spine,4,1,1,100000004,610000017565,
0.336582,µm,Spine,4,2,1,100000003,610000017567,
0.274292,µm,Spine,3,2,1,100000003,610000017569,
0.308351,µm,Spine,2,2,1,100000004,610000017571,
0.359406,µm,Spine,8,6,1,100000003,610000017575,
0.328981,µm,Spine,2,2,1,100000004,610000017577,
0.320583,µm,Spine,5,1,1,100000003,610000017580,
0.18152,µm,Spine,0,1,1,100000003,610000017583,
0.642246,µm,Spine,0,1,1,100000004,610000017587,
0.352259,µm,Spine,1,1,1,100000003,610000017591,
0.40724,µm,Spine,2,2,1,100000003,610000017594,
0.245695,µm,Spine,3,2,1,100000004,610000017598,
0.310086,µm,Spine,0,1,1,100000003,610000017602,
0.347204,µm,Spine,0,1,1,100000003,610000017604,
0.149838,µm,Spine,2,1,1,100000005,610000017609,
0.481355,µm,Spine,0,1,1,100000003,610000017614,
0.176924,µm,Spine,2,1,1,100000005,610000017616,
0.488068,µm,Spine,0,1,1,100000004,610000017620,
0.374979,µm,Spine,8,4,1,100000004,610000017622,
0.409107,µm,Spine,1,1,1,100000005,610000017626,
0.383087,µm,Spine,15,4,1,100000003,610000017629,
0.382012,µm,Spine,3,2,1,100000003,610000017631,
0.18292,µm,Spine,0,1,1,100000003,610000017633,
0.281003,µm,Spine,1,1,1,100000004,610000017637,
0.394606,µm,Spine,1,2,1,100000004,610000017644,
0.363617,µm,Spine,4,2,1,100000003,610000017648,
0.25684,µm,Spine,0,1,1,100000003,610000017653,
0.313423,µm,Spine,9,3,1,100000003,610000017655,
0.316793,µm,Spine,5,1,1,100000003,610000017662,
0.372533,µm,Spine,15,4,1,100000003,610000017674,
0.19038,µm,Spine,0,1,1,100000004,610000017680,
0.390183,µm,Spine,0,1,1,100000003,610000017684,
0.293593,µm,Spine,1,1,1,100000003,610000017686,
0.245495,µm,Spine,1,1,1,100000003,610000017688,
0.324839,µm,Spine,0,1,1,100000004,610000017696,
0.242796,µm,Spine,0,1,1,100000004,610000017721,
0.267217,µm,Spine,13,5,1,100000003,610000017735,
0.289296,µm,Spine,13,4,1,100000003,610000017736,
0.377843,µm,Spine,13,3,1,100000003,610000017737,
0.278927,µm,Spine,11,4,1,100000003,610000017738,
0.221877,µm,Spine,10,3,1,100000003,610000017739,
0.226551,µm,Spine,19,5,1,100000003,610000017740,
0.361226,µm,Spine,21,5,1,100000003,610000017741,
0.355412,µm,Spine,21,5,1,100000003,610000017742,
0.287626,µm,Spine,20,4,1,100000003,610000017743,
0.31689,µm,Spine,15,4,1,100000003,610000017744,
0.223988,µm,Spine,15,4,1,100000003,610000017745,
0.370172,µm,Spine,12,4,1,100000003,610000017746,
0.206025,µm,Spine,9,3,1,100000003,610000017747,
0.284872,µm,Spine,5,1,1,100000003,610000017748,
0.21336,µm,Spine,4,3,1,100000003,610000017749,
0.215343,µm,Spine,3,2,1,100000003,610000017750,
0.181702,µm,Spine,3,2,1,100000003,610000017751,
0.339725,µm,Spine,3,2,1,100000003,610000017752,
0.221127,µm,Spine,2,1,1,100000003,610000017753,
0.254509,µm,Spine,2,2,1,100000003,610000017754,
0.30504,µm,Spine,0,1,1,100000003,610000017755,
0.227288,µm,Spine,0,1,1,100000003,610000017756,
0.376936,µm,Spine,0,1,1,100000003,610000017757,
0.199496,µm,Spine,9,3,1,100000003,610000017758,
0.322593,µm,Spine,8,3,1,100000003,610000017759,
0.28229,µm,Spine,4,2,1,100000003,610000017760,
0.299439,µm,Spine,4,2,1,100000003,610000017761,
0.277375,µm,Spine,3,1,1,100000003,610000017762,
0.273299,µm,Spine,3,1,1,100000003,610000017763,
0.273871,µm,Spine,2,2,1,100000003,610000017764,
0.246458,µm,Spine,1,1,1,100000003,610000017765,
0.290735,µm,Spine,1,1,1,100000003,610000017766,
0.287395,µm,Spine,10,6,1,100000003,610000017769,
0.244294,µm,Spine,8,6,1,100000003,610000017770,
0.248817,µm,Spine,7,6,1,100000003,610000017771,
0.283738,µm,Spine,6,4,1,100000003,610000017772,
0.230867,µm,Spine,6,4,1,100000003,610000017773,
0.313859,µm,Spine,5,3,1,100000003,610000017774,
0.315198,µm,Spine,5,3,1,100000003,610000017775,
0.227503,µm,Spine,4,2,1,100000003,610000017776,
0.272093,µm,Spine,7,2,1,100000003,610000017777,
0.326716,µm,Spine,7,3,1,100000003,610000017778,
0.172119,µm,Spine,4,2,1,100000003,610000017779,
0.235176,µm,Spine,2,1,1,100000003,610000017780,
0.207855,µm,Spine,1,1,1,100000003,610000017781,
0.164629,µm,Spine,1,1,1,100000003,610000017782,
0.304511,µm,Spine,1,1,1,100000003,610000017783,
0.243642,µm,Spine,0,1,1,100000003,610000017784,
0.407312,µm,Spine,0,1,1,100000003,610000017785,
0.260033,µm,Spine,0,1,1,100000003,610000017786,
0.259085,µm,Spine,5,2,1,100000004,610000017788,
0.340362,µm,Spine,2,1,1,100000004,610000017789,
0.33829,µm,Spine,2,2,1,100000004,610000017790,
0.278369,µm,Spine,0,1,1,100000004,610000017791,
0.225012,µm,Spine,4,2,1,100000004,610000017792,
0.296879,µm,Spine,4,4,1,100000004,610000017793,
0.192402,µm,Spine,2,2,1,100000004,610000017794,
0.281171,µm,Spine,3,1,1,100000004,610000017795,
0.204506,µm,Spine,1,1,1,100000004,610000017796,
0.292929,µm,Spine,3,3,1,100000004,610000017798,
0.173705,µm,Spine,2,2,1,100000004,610000017799,
0.263926,µm,Spine,2,1,1,100000004,610000017800,
0.226423,µm,Spine,2,1,1,100000004,610000017801,
0.32644,µm,Spine,0,1,1,100000004,610000017802,
0.200174,µm,Spine,0,1,1,100000004,610000017803,
0.367216,µm,Spine,15,7,1,100000004,610000017806,
0.167884,µm,Spine,14,5,1,100000004,610000017807,
0.252209,µm,Spine,13,5,1,100000004,610000017808,
0.386518,µm,Spine,12,5,1,100000004,610000017809,
0.224471,µm,Spine,10,4,1,100000004,610000017810,
0.366491,µm,Spine,8,4,1,100000004,610000017811,
0.244433,µm,Spine,7,2,1,100000004,610000017812,
0.274025,µm,Spine,4,2,1,100000004,610000017813,
