
Spine Terminal Pt Position
 ==================== 
Spine Terminal Pt Position X,Spine Terminal Pt Position Y,Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-16840.9,19643.9,1472.88,µm,Spine,Spine Terminal Pt Position,,,1,,610000017321,
-16839.8,19642.1,1472.98,µm,Spine,Spine Terminal Pt Position,,,1,,610000017330,
-16839.6,19641.9,1472.88,µm,Spine,Spine Terminal Pt Position,,,1,,610000017353,
-16842.5,19643.9,1472.68,µm,Spine,Spine Terminal Pt Position,,,1,,610000017371,
-16839.8,19641.9,1472.78,µm,Spine,Spine Terminal Pt Position,,,1,,610000017423,
-16807.6,19636.7,1475.31,µm,Spine,Spine Terminal Pt Position,,,1,,610000017484,
-16805.8,19636,1475.68,µm,Spine,Spine Terminal Pt Position,,,1,,610000017492,
-16806.8,19636.2,1474.08,µm,Spine,Spine Terminal Pt Position,,,1,,610000017499,
-16843,19643.6,1472.48,µm,Spine,Spine Terminal Pt Position,,,1,,610000017505,
-16807.1,19657.4,1475.48,µm,Spine,Spine Terminal Pt Position,,,1,,610000017881,
-16806.3,19657.6,1476.18,µm,Spine,Spine Terminal Pt Position,,,1,,610000017883,
-16807,19657.5,1474.68,µm,Spine,Spine Terminal Pt Position,,,1,,610000017884,
-16806.5,19636.4,1474.18,µm,Spine,Spine Terminal Pt Position,,,1,,610000017901,
-16842.6,19643.8,1472.68,µm,Spine,Spine Terminal Pt Position,,,1,,610000017910,
-16839.9,19641.7,1472.48,µm,Spine,Spine Terminal Pt Position,,,1,,610000017911,
-16842.8,19643.6,1472.4,µm,Spine,Spine Terminal Pt Position,,,1,,610000017912,
-16804,19660.6,1476.37,µm,Spine,Spine Terminal Pt Position,0,1,1,100000005,610000017298,
-16803.6,19660.2,1475.88,µm,Spine,Spine Terminal Pt Position,0,1,1,100000005,610000017358,
-16806.7,19635.2,1473.58,µm,Spine,Spine Terminal Pt Position,0,1,1,100000004,610000017472,
-16805.6,19639.2,1475.16,µm,Spine,Spine Terminal Pt Position,0,1,1,100000004,610000017526,
-16805.5,19639.2,1475.18,µm,Spine,Spine Terminal Pt Position,0,1,1,100000004,610000017587,
-16840.2,19644.7,1472.48,µm,Spine,Spine Terminal Pt Position,0,1,1,100000003,610000017614,
-16806,19635.4,1473.68,µm,Spine,Spine Terminal Pt Position,0,1,1,100000004,610000017620,
-16839.2,19642.7,1471.88,µm,Spine,Spine Terminal Pt Position,0,1,1,100000003,610000017684,
-16807.4,19635.8,1475.58,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017860,
-16807.5,19657.5,1474.68,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017861,
-16808.4,19657.7,1474.98,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017863,
-16803.7,19660.2,1475.99,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017873,
-16804.5,19660.2,1475.99,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017874,
-16802.8,19657.3,1475.88,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017877,
-16802.5,19657.7,1476.08,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017879,
-16840.5,19644.4,1472.98,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017880,
-16840.1,19644.4,1472.56,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017881,
-16806.2,19635.4,1473.58,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017882,
-16803.6,19639.5,1475.88,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017887,
-16840.5,19641.2,1472.51,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017891,
-16803.4,19638.2,1475.38,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000017900,
-16838.4,19642.1,1473.18,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017293,
-16837.7,19646,1472.22,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017316,
-16806.2,19639.3,1475.28,µm,Spine,Spine Terminal Pt Position,1,1,1,100000004,610000017379,
-16804.6,19658.8,1473.18,µm,Spine,Spine Terminal Pt Position,1,1,1,100000005,610000017410,
-16838.4,19645.1,1473.18,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017418,
-16837.9,19645.9,1472.26,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017429,
-16838.5,19643,1473.28,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017434,
-16808.7,19655.7,1474.08,µm,Spine,Spine Terminal Pt Position,1,1,1,100000005,610000017437,
-16802.1,19657.8,1476.38,µm,Spine,Spine Terminal Pt Position,1,1,1,100000005,610000017447,
-16839.8,19639.1,1472.38,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017449,
-16837.4,19642.5,1473.48,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017464,
-16838.9,19642.9,1471.68,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017531,
-16838,19645.8,1472.44,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017540,
-16839.7,19639.9,1473.08,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017556,
-16801.9,19640.2,1475.98,µm,Spine,Spine Terminal Pt Position,1,1,1,100000004,610000017561,
-16837.6,19642.5,1473.38,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017591,
-16804.5,19659.1,1473.38,µm,Spine,Spine Terminal Pt Position,1,1,1,100000005,610000017626,
-16806,19639.5,1474.88,µm,Spine,Spine Terminal Pt Position,1,1,1,100000004,610000017637,
-16838.2,19645.6,1472.38,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017686,
-16839,19643.1,1471.78,µm,Spine,Spine Terminal Pt Position,1,1,1,100000003,610000017688,
-16805,19635.7,1475.03,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017864,
-16804.9,19659,1473.48,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017871,
-16807.1,19658.3,1475.93,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017872,
-16801.9,19658.8,1474.38,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017875,
-16838.5,19642.9,1473.18,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017882,
-16837.2,19641.6,1473.96,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017883,
-16801.4,19639.8,1475.98,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017889,
-16801.4,19639.9,1475.78,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017890,
-16839.3,19639.4,1472.48,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017898,
-16839.8,19639.5,1472.58,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017899,
-16839.9,19640,1472.98,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000017900,
-16806.5,19634.5,1473.58,µm,Spine,Spine Terminal Pt Position,1,2,1,100000004,610000017550,
-16806.5,19634.6,1473.48,µm,Spine,Spine Terminal Pt Position,1,2,1,100000004,610000017644,
-16835.3,19653.4,1475.94,µm,Spine,Spine Terminal Pt Position,10,3,1,,610000017875,
-16814.8,19642.8,1473.4,µm,Spine,Spine Terminal Pt Position,10,4,1,100000004,610000017469,
-16814,19643,1473.12,µm,Spine,Spine Terminal Pt Position,10,4,1,,610000017878,
-16846.6,19637,1472.98,µm,Spine,Spine Terminal Pt Position,10,6,1,,610000017908,
-16846.5,19637,1473.28,µm,Spine,Spine Terminal Pt Position,10,7,1,100000003,610000017503,
-16835.9,19654.3,1475.78,µm,Spine,Spine Terminal Pt Position,11,4,1,,610000017876,
-16833.3,19655,1472.78,µm,Spine,Spine Terminal Pt Position,12,4,1,100000003,610000017395,
-16833.3,19654.7,1472.78,µm,Spine,Spine Terminal Pt Position,12,4,1,,610000017873,
-16816.3,19644,1473.27,µm,Spine,Spine Terminal Pt Position,12,5,1,,610000017877,
-16835.5,19656,1474.94,µm,Spine,Spine Terminal Pt Position,13,3,1,,610000017877,
-16837.2,19653.6,1475.68,µm,Spine,Spine Terminal Pt Position,13,4,1,100000003,610000017361,
-16836.9,19653.4,1475.66,µm,Spine,Spine Terminal Pt Position,13,4,1,,610000017878,
-16815.2,19645.1,1471.68,µm,Spine,Spine Terminal Pt Position,13,5,1,100000004,610000017347,
-16816,19644,1473.78,µm,Spine,Spine Terminal Pt Position,13,5,1,,610000017876,
-16837.3,19650,1476.08,µm,Spine,Spine Terminal Pt Position,13,5,1,,610000017879,
-16817.5,19644.5,1473.58,µm,Spine,Spine Terminal Pt Position,13,6,1,100000004,610000017516,
-16815.9,19644.5,1473.78,µm,Spine,Spine Terminal Pt Position,14,5,1,,610000017875,
