
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
40.0625,,Segment,3,6,Image 1,2,1,100000004,510000013977,
48.0625,,Segment,3,13,Image 1,5,1,100000004,510000013988,
39.0625,,Segment,3,12,Image 1,5,1,100000004,510000014003,
58.0625,,Segment,3,11,Image 1,4,1,100000004,510000014008,
35.0625,,Segment,3,8,Image 1,2,1,100000004,510000014035,
29.0625,,Segment,3,7,Image 1,2,1,100000004,510000014074,
33.0625,,Segment,3,12,Image 1,3,1,100000004,510000014088,
45.125,,Segment,3,11,Image 1,2,1,100000004,510000014118,
15.0625,,Segment,3,16,Image 1,6,1,100000004,510000014121,
42.0625,,Segment,3,15,Image 1,6,1,100000004,510000014129,
15.0625,,Segment,3,16,Image 1,7,1,100000004,510000014131,
38.0625,,Segment,3,13,Image 1,6,1,100000004,510000014147,
55.625,,Segment,3,13,Image 1,6,1,100000004,510000014151,
57.125,,Segment,3,12,Image 1,3,1,100000004,510000014169,
30.0625,,Segment,3,12,Image 1,2,1,100000004,510000014171,
54.125,,Segment,3,14,Image 1,5,1,100000004,510000014181,
45.0625,,Segment,3,8,Image 1,3,1,100000004,510000014186,
16.125,,Segment,3,12,Image 1,6,1,100000004,510000014189,
31.0625,,Segment,3,12,Image 1,4,1,100000004,510000014196,
52.125,,Segment,3,10,Image 1,5,1,100000004,510000014225,
48.0625,,Segment,3,10,Image 1,3,1,100000004,510000014245,
32.0625,,Segment,3,10,Image 1,2,1,100000004,510000014259,
30.0625,,Segment,3,9,Image 1,1,1,100000004,510000014261,
29.0625,,Segment,3,10,Image 1,1,1,100000004,510000014269,
29.5625,,Segment,3,9,Image 1,5,1,100000004,510000014271,
33.0625,,Segment,3,7,Image 1,2,1,100000004,510000014285,
47.0625,,Segment,3,9,Image 1,4,1,100000004,510000014292,
36.0625,,Segment,3,8,Image 1,3,1,100000004,510000014298,
36.0625,,Segment,3,3,Image 1,2,1,100000004,510000014323,
52.0625,,Segment,3,2,Image 1,2,1,100000004,510000014325,
44.125,,Segment,3,1,Image 1,2,1,100000004,510000014358,
41.0625,,Segment,3,9,Image 1,3,1,100000004,510000014361,
36.0625,,Segment,3,9,Image 1,3,1,100000004,510000014371,
45.0625,,Segment,3,8,Image 1,2,1,100000004,510000014375,
37.0625,,Segment,3,4,Image 1,3,1,100000004,510000014391,
48.5625,,Segment,3,3,Image 1,3,1,100000004,510000014395,
25.0625,,Segment,3,7,Image 1,4,1,100000004,510000014409,
39.5,,Segment,3,5,Image 1,2,1,100000004,510000014414,
34.0625,,Segment,3,2,Image 1,3,1,100000004,510000014418,
43.0625,,Segment,3,9,Image 1,2,1,100000004,510000014421,
