
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
11.7037,,Segment,1,13,Image 1,5,1,100000003,510000012526,
1.05235,,Segment,1,12,Image 1,4,1,100000003,510000012536,
0.5,,Segment,1,11,Image 1,3,1,100000003,510000012539,
2.21169,,Segment,1,10,Image 1,3,1,100000003,510000012566,
1.1767,,Segment,1,8,Image 1,2,1,100000003,510000012579,
0.745356,,Segment,1,7,Image 1,2,1,100000003,510000012584,
1.1547,,Segment,1,6,Image 1,2,1,100000003,510000012592,
1.69212,,Segment,1,5,Image 1,1,1,100000003,510000012620,
1.26886,,Segment,1,4,Image 1,1,1,100000003,510000012639,
1.81384,,Segment,1,2,Image 1,1,1,100000003,510000012659,
1.22643,,Segment,1,1,Image 1,1,1,100000003,510000012669,
1.21125,,Segment,1,0,Image 1,1,1,100000003,510000012689,
1.09734,,Segment,1,13,Image 1,3,1,100000003,510000012717,
3.78967,,Segment,1,12,Image 1,3,1,100000003,510000012741,
1.58114,,Segment,1,13,Image 1,4,1,100000003,510000012744,
0.942809,,Segment,1,13,Image 1,4,1,100000003,510000012746,
1.70783,,Segment,1,11,Image 1,4,1,100000003,510000012751,
0.687184,,Segment,1,6,Image 1,3,1,100000004,510000012756,
3.08221,,Segment,1,5,Image 1,2,1,100000004,510000012763,
2.93552,,Segment,1,4,Image 1,2,1,100000004,510000012771,
0.894427,,Segment,1,3,Image 1,2,1,100000004,510000012775,
7.97528,,Segment,1,2,Image 1,2,1,100000004,510000012823,
18.8597,,Segment,1,1,Image 1,1,1,100000004,510000012826,
1.59474,,Segment,1,0,Image 1,1,1,100000004,510000012837,
0.942809,,Segment,1,6,Image 1,2,1,100000004,510000012871,
3.5,,Segment,1,5,Image 1,3,1,100000004,510000012876,
0.57735,,Segment,1,4,Image 1,3,1,100000004,510000012881,
0.707107,,Segment,1,3,Image 1,3,1,100000004,510000012884,
3.64544,,Segment,1,5,Image 1,3,1,100000005,510000012916,
1.67819,,Segment,1,4,Image 1,3,1,100000005,510000012929,
3.16658,,Segment,1,3,Image 1,2,1,100000005,510000012949,
5.54388,,Segment,1,2,Image 1,2,1,100000005,510000012979,
1.46969,,Segment,1,1,Image 1,2,1,100000005,510000012983,
1.07497,,Segment,1,0,Image 1,1,1,100000005,510000012997,
2.32798,,Segment,1,5,Image 1,4,1,100000005,510000013063,
1.23872,,Segment,1,8,Image 1,6,1,100000005,510000013128,
1.20612,,Segment,1,7,Image 1,5,1,100000005,510000013158,
1.47254,,Segment,1,6,Image 1,4,1,100000005,510000013171,
0.981981,,Segment,1,5,Image 1,3,1,100000005,510000013184,
1.43839,,Segment,1,4,Image 1,2,1,100000005,510000013212,
0.471405,,Segment,1,8,Image 1,5,1,100000005,510000013214,
0.967178,,Segment,1,6,Image 1,2,1,100000005,510000013257,
1.08972,,Segment,1,7,Image 1,4,1,100000005,510000013269,
1.29565,,Segment,1,6,Image 1,3,1,100000005,510000013300,
1.24722,,Segment,1,6,Image 1,3,1,100000005,510000013305,
1.10804,,Segment,1,9,Image 1,3,1,100000003,510000013339,
1.1115,,Segment,1,8,Image 1,2,1,100000003,510000013423,
