
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.278615,µm,Spine,Spine Part Mean Diameter,3,2,1,100000004,610000017275,
0.242852,µm,Spine,Spine Part Mean Diameter,2,2,1,100000004,610000017278,
0.228176,µm,Spine,Spine Part Mean Diameter,5,3,1,100000003,610000017284,
0.228176,µm,Spine,Spine Part Mean Diameter,5,3,1,100000003,610000017288,
0.421425,µm,Spine,Spine Part Mean Diameter,2,2,1,100000004,610000017291,
0.301442,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000017293,
0.330354,µm,Spine,Spine Part Mean Diameter,7,2,1,100000004,610000017296,
0.300359,µm,Spine,Spine Part Mean Diameter,0,1,1,100000005,610000017298,
0.324149,µm,Spine,Spine Part Mean Diameter,4,2,1,100000003,610000017303,
0.517145,µm,Spine,Spine Part Mean Diameter,5,3,1,100000005,610000017307,
0.392515,µm,Spine,Spine Part Mean Diameter,8,4,1,100000004,610000017311,
0.292728,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000017316,
0.338227,µm,Spine,Spine Part Mean Diameter,4,2,1,100000005,610000017319,
0.261044,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000017325,
0.336079,µm,Spine,Spine Part Mean Diameter,15,4,1,100000003,610000017328,
0.266536,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000017335,
0.346995,µm,Spine,Spine Part Mean Diameter,6,2,1,100000003,610000017341,
0.310338,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000017343,
0.251719,µm,Spine,Spine Part Mean Diameter,4,4,1,100000004,610000017345,
0.187211,µm,Spine,Spine Part Mean Diameter,13,5,1,100000004,610000017347,
0.290937,µm,Spine,Spine Part Mean Diameter,15,4,1,100000003,610000017351,
0.406041,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000017356,
0.351626,µm,Spine,Spine Part Mean Diameter,0,1,1,100000005,610000017358,
0.322113,µm,Spine,Spine Part Mean Diameter,13,4,1,100000003,610000017361,
0.377375,µm,Spine,Spine Part Mean Diameter,9,2,1,100000004,610000017366,
0.386563,µm,Spine,Spine Part Mean Diameter,15,4,1,100000003,610000017369,
0.233887,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000017373,
0.319666,µm,Spine,Spine Part Mean Diameter,3,2,1,100000004,610000017376,
0.57178,µm,Spine,Spine Part Mean Diameter,1,1,1,100000004,610000017379,
0.346303,µm,Spine,Spine Part Mean Diameter,9,3,1,100000003,610000017382,
0.361501,µm,Spine,Spine Part Mean Diameter,5,2,1,100000004,610000017386,
0.403377,µm,Spine,Spine Part Mean Diameter,8,4,1,100000004,610000017389,
