
Spine Part Length Ground
 ==================== 
Spine Part Length Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.310972,µm,Spine,Spine Part Length,3,2,1,100000004,610000017275,
0.323465,µm,Spine,Spine Part Length,2,2,1,100000004,610000017278,
0.316614,µm,Spine,Spine Part Length,5,3,1,100000003,610000017284,
0.319999,µm,Spine,Spine Part Length,5,3,1,100000003,610000017288,
0.182386,µm,Spine,Spine Part Length,2,2,1,100000004,610000017291,
0.256887,µm,Spine,Spine Part Length,1,1,1,100000003,610000017293,
0.282884,µm,Spine,Spine Part Length,7,2,1,100000004,610000017296,
0.230537,µm,Spine,Spine Part Length,0,1,1,100000005,610000017298,
0.255038,µm,Spine,Spine Part Length,4,2,1,100000003,610000017303,
0.311579,µm,Spine,Spine Part Length,5,3,1,100000005,610000017307,
0.361549,µm,Spine,Spine Part Length,8,4,1,100000004,610000017311,
0.476164,µm,Spine,Spine Part Length,1,1,1,100000003,610000017316,
0.260667,µm,Spine,Spine Part Length,4,2,1,100000005,610000017319,
0.440278,µm,Spine,Spine Part Length,0,1,1,100000003,610000017325,
0.206908,µm,Spine,Spine Part Length,15,4,1,100000003,610000017328,
0.295644,µm,Spine,Spine Part Length,0,1,1,100000003,610000017335,
0.290654,µm,Spine,Spine Part Length,6,2,1,100000003,610000017341,
0.362,µm,Spine,Spine Part Length,2,2,1,100000003,610000017343,
0.319111,µm,Spine,Spine Part Length,4,4,1,100000004,610000017345,
0.416581,µm,Spine,Spine Part Length,13,5,1,100000004,610000017347,
0.489612,µm,Spine,Spine Part Length,15,4,1,100000003,610000017351,
0.509371,µm,Spine,Spine Part Length,0,1,1,100000003,610000017356,
0.44789,µm,Spine,Spine Part Length,0,1,1,100000005,610000017358,
0.284379,µm,Spine,Spine Part Length,13,4,1,100000003,610000017361,
0.19898,µm,Spine,Spine Part Length,9,2,1,100000004,610000017366,
0.261584,µm,Spine,Spine Part Length,15,4,1,100000003,610000017369,
0.380371,µm,Spine,Spine Part Length,0,1,1,100000003,610000017373,
0.214483,µm,Spine,Spine Part Length,3,2,1,100000004,610000017376,
0.164609,µm,Spine,Spine Part Length,1,1,1,100000004,610000017379,
0.311219,µm,Spine,Spine Part Length,9,3,1,100000003,610000017382,
0.262135,µm,Spine,Spine Part Length,5,2,1,100000004,610000017386,
0.254244,µm,Spine,Spine Part Length,8,4,1,100000004,610000017389,
0.227069,µm,Spine,Spine Part Length,20,5,1,100000003,610000017392,
0.304684,µm,Spine,Spine Part Length,12,4,1,100000003,610000017395,
