
Soma Intensity Center Ch=1 Img=1
 ==================== 
Soma Intensity Center,Unit,Category,Channel,Image,Time,FilamentID,ID,
1,,Soma,1,Image 1,1,100000003,800001193,
0,,Soma,1,Image 1,1,100000004,800001194,
0,,Soma,1,Image 1,1,100000005,800001195,
