
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
25888.6,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000004,610000017278,
25915.2,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000003,610000017288,
25886.3,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000004,610000017291,
25913.7,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017293,
25895.3,µm,Spine,Spine Attachment Pt Distance from Origin,7,2,1,100000004,610000017296,
25905.3,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000005,610000017298,
25908.5,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000005,610000017307,
25909.4,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000005,610000017319,
25922.6,µm,Spine,Spine Attachment Pt Distance from Origin,15,4,1,100000003,610000017328,
25913.7,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000003,610000017343,
25883.5,µm,Spine,Spine Attachment Pt Distance from Origin,4,4,1,100000004,610000017345,
25900.4,µm,Spine,Spine Attachment Pt Distance from Origin,13,5,1,100000004,610000017347,
25896.1,µm,Spine,Spine Attachment Pt Distance from Origin,9,2,1,100000004,610000017366,
25919.9,µm,Spine,Spine Attachment Pt Distance from Origin,15,4,1,100000003,610000017369,
25890.5,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000004,610000017376,
25922.6,µm,Spine,Spine Attachment Pt Distance from Origin,15,4,1,100000003,610000017399,
25919.9,µm,Spine,Spine Attachment Pt Distance from Origin,15,4,1,100000003,610000017401,
25908.1,µm,Spine,Spine Attachment Pt Distance from Origin,4,3,1,100000005,610000017404,
25896,µm,Spine,Spine Attachment Pt Distance from Origin,8,4,1,100000004,610000017406,
25886.5,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000004,610000017415,
25916,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017418,
25894.9,µm,Spine,Spine Attachment Pt Distance from Origin,6,2,1,100000004,610000017441,
25905.1,µm,Spine,Spine Attachment Pt Distance from Origin,9,3,1,100000003,610000017444,
25901.9,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000005,610000017447,
25912.2,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017449,
25910.2,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000003,610000017460,
25924.1,µm,Spine,Spine Attachment Pt Distance from Origin,17,4,1,100000003,610000017462,
25913,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017464,
25910.3,µm,Spine,Spine Attachment Pt Distance from Origin,8,6,1,100000005,610000017467,
25899,µm,Spine,Spine Attachment Pt Distance from Origin,10,4,1,100000004,610000017469,
25924.2,µm,Spine,Spine Attachment Pt Distance from Origin,20,5,1,100000003,610000017474,
25918.6,µm,Spine,Spine Attachment Pt Distance from Origin,8,2,1,100000003,610000017482,
25915,µm,Spine,Spine Attachment Pt Distance from Origin,10,7,1,100000003,610000017503,
25901.8,µm,Spine,Spine Attachment Pt Distance from Origin,13,6,1,100000004,610000017516,
25910.8,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000003,610000017520,
25914.9,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017531,
25911.1,µm,Spine,Spine Attachment Pt Distance from Origin,4,1,1,100000003,610000017533,
25916.1,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017540,
25912.4,µm,Spine,Spine Attachment Pt Distance from Origin,6,4,1,100000003,610000017542,
25911,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000003,610000017544,
25910.4,µm,Spine,Spine Attachment Pt Distance from Origin,6,2,1,100000003,610000017554,
25888.2,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000004,610000017561,
25892.7,µm,Spine,Spine Attachment Pt Distance from Origin,4,1,1,100000004,610000017565,
25915.4,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000003,610000017567,
25917.3,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000003,610000017569,
25886.4,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000004,610000017577,
25916.8,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000003,610000017580,
25913.4,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017591,
25885.1,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000004,610000017598,
25887.8,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000004,610000017620,
25895.7,µm,Spine,Spine Attachment Pt Distance from Origin,8,4,1,100000004,610000017622,
25921.9,µm,Spine,Spine Attachment Pt Distance from Origin,15,4,1,100000003,610000017629,
25890.9,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000004,610000017637,
25887.4,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,100000004,610000017644,
25912.3,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000003,610000017648,
25917.5,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000003,610000017662,
25920.2,µm,Spine,Spine Attachment Pt Distance from Origin,15,4,1,100000003,610000017674,
25914.8,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000003,610000017684,
25916,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017686,
25914.9,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000003,610000017688,
25890,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000004,610000017696,
25916.1,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,,610000017860,
25905.9,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,,610000017860,
25888.6,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000017860,
25888.4,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,,610000017861,
25915.8,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,,610000017861,
25905.2,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000017862,
25917.7,µm,Spine,Spine Attachment Pt Distance from Origin,4,3,1,,610000017862,
25916.9,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,,610000017863,
