
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.251367,µm,Spine,9,3,1,100000003,610000017655,
0.347044,µm,Spine,5,1,1,100000003,610000017662,
0.358861,µm,Spine,15,4,1,100000003,610000017674,
0.413867,µm,Spine,0,1,1,100000004,610000017680,
0.1625,µm,Spine,0,1,1,100000003,610000017684,
0.1625,µm,Spine,1,1,1,100000003,610000017686,
0.188871,µm,Spine,1,1,1,100000003,610000017688,
0.295544,µm,Spine,0,1,1,100000004,610000017696,
0.521585,µm,Spine,0,1,1,100000004,610000017721,
0.182153,µm,Spine,13,5,1,100000003,610000017735,
0.319225,µm,Spine,13,4,1,100000003,610000017736,
0.267784,µm,Spine,13,3,1,100000003,610000017737,
0.30283,µm,Spine,11,4,1,100000003,610000017738,
0.213281,µm,Spine,10,3,1,100000003,610000017739,
0.370084,µm,Spine,19,5,1,100000003,610000017740,
0.281833,µm,Spine,21,5,1,100000003,610000017741,
0.198485,µm,Spine,21,5,1,100000003,610000017742,
0.294151,µm,Spine,20,4,1,100000003,610000017743,
0.1625,µm,Spine,15,4,1,100000003,610000017744,
0.325163,µm,Spine,15,4,1,100000003,610000017745,
0.307227,µm,Spine,12,4,1,100000003,610000017746,
0.351184,µm,Spine,9,3,1,100000003,610000017747,
0.36224,µm,Spine,5,1,1,100000003,610000017748,
0.282296,µm,Spine,4,3,1,100000003,610000017749,
0.26662,µm,Spine,3,2,1,100000003,610000017750,
0.332891,µm,Spine,3,2,1,100000003,610000017751,
0.246913,µm,Spine,3,2,1,100000003,610000017752,
0.467025,µm,Spine,2,1,1,100000003,610000017753,
0.326498,µm,Spine,2,2,1,100000003,610000017754,
0.308248,µm,Spine,0,1,1,100000003,610000017755,
0.26792,µm,Spine,0,1,1,100000003,610000017756,
0.293641,µm,Spine,0,1,1,100000003,610000017757,
0.213281,µm,Spine,9,3,1,100000003,610000017758,
0.241528,µm,Spine,8,3,1,100000003,610000017759,
0.240066,µm,Spine,4,2,1,100000003,610000017760,
0.289909,µm,Spine,4,2,1,100000003,610000017761,
0.284315,µm,Spine,3,1,1,100000003,610000017762,
0.445605,µm,Spine,3,1,1,100000003,610000017763,
0.264349,µm,Spine,2,2,1,100000003,610000017764,
0.393533,µm,Spine,1,1,1,100000003,610000017765,
0.322957,µm,Spine,1,1,1,100000003,610000017766,
0.341782,µm,Spine,10,6,1,100000003,610000017769,
0.416546,µm,Spine,8,6,1,100000003,610000017770,
0.274219,µm,Spine,7,6,1,100000003,610000017771,
0.24375,µm,Spine,6,4,1,100000003,610000017772,
0.192969,µm,Spine,6,4,1,100000003,610000017773,
0.29882,µm,Spine,5,3,1,100000003,610000017774,
0.380483,µm,Spine,5,3,1,100000003,610000017775,
0.294722,µm,Spine,4,2,1,100000003,610000017776,
0.277111,µm,Spine,7,2,1,100000003,610000017777,
0.291436,µm,Spine,7,3,1,100000003,610000017778,
0.262793,µm,Spine,4,2,1,100000003,610000017779,
0.280635,µm,Spine,2,1,1,100000003,610000017780,
0.24375,µm,Spine,1,1,1,100000003,610000017781,
0.196294,µm,Spine,1,1,1,100000003,610000017782,
0.374371,µm,Spine,1,1,1,100000003,610000017783,
0.376418,µm,Spine,0,1,1,100000003,610000017784,
0.391759,µm,Spine,0,1,1,100000003,610000017785,
0.391759,µm,Spine,0,1,1,100000003,610000017786,
0.318095,µm,Spine,5,2,1,100000004,610000017788,
0.421046,µm,Spine,2,1,1,100000004,610000017789,
0.333635,µm,Spine,2,2,1,100000004,610000017790,
0.40192,µm,Spine,0,1,1,100000004,610000017791,
0.237402,µm,Spine,4,2,1,100000004,610000017792,
0.19043,µm,Spine,4,4,1,100000004,610000017793,
0.301496,µm,Spine,2,2,1,100000004,610000017794,
0.284375,µm,Spine,3,1,1,100000004,610000017795,
0.180781,µm,Spine,1,1,1,100000004,610000017796,
0.32832,µm,Spine,3,3,1,100000004,610000017798,
0.263765,µm,Spine,2,2,1,100000004,610000017799,
0.334376,µm,Spine,2,1,1,100000004,610000017800,
0.380012,µm,Spine,2,1,1,100000004,610000017801,
0.314844,µm,Spine,0,1,1,100000004,610000017802,
0.1625,µm,Spine,0,1,1,100000004,610000017803,
0.246476,µm,Spine,15,7,1,100000004,610000017806,
0.279297,µm,Spine,14,5,1,100000004,610000017807,
0.385289,µm,Spine,13,5,1,100000004,610000017808,
0.300191,µm,Spine,12,5,1,100000004,610000017809,
0.24375,µm,Spine,10,4,1,100000004,610000017810,
0.25765,µm,Spine,8,4,1,100000004,610000017811,
0.23032,µm,Spine,7,2,1,100000004,610000017812,
0.252902,µm,Spine,4,2,1,100000004,610000017813,
0.233594,µm,Spine,3,2,1,100000004,610000017814,
0.401172,µm,Spine,2,2,1,100000004,610000017815,
0.307133,µm,Spine,3,2,1,100000004,610000017816,
0.353897,µm,Spine,3,2,1,100000004,610000017817,
0.234127,µm,Spine,5,3,1,100000004,610000017818,
0.237904,µm,Spine,5,3,1,100000004,610000017819,
0.252271,µm,Spine,3,3,1,100000004,610000017820,
0.279201,µm,Spine,3,3,1,100000004,610000017821,
0.22535,µm,Spine,4,2,1,100000004,610000017822,
0.270986,µm,Spine,4,3,1,100000004,610000017823,
0.2304,µm,Spine,3,2,1,100000004,610000017824,
0.312302,µm,Spine,2,2,1,100000004,610000017825,
0.361111,µm,Spine,3,1,1,100000004,610000017826,
0.296533,µm,Spine,1,1,1,100000004,610000017827,
