
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.459043,µm,Segment,3,2,1,100000002,510000000087,
0.838526,µm,Segment,2,1,1,100000002,510000000093,
0.337801,µm,Segment,1,1,1,100000002,510000000112,
0.392845,µm,Segment,0,1,1,100000002,510000000131,
0.563945,µm,Segment,2,2,1,100000002,510000000139,
0.318992,µm,Segment,4,4,1,100000000,510000000167,
0.42224,µm,Segment,3,3,1,100000000,510000000191,
0.494393,µm,Segment,2,2,1,100000000,510000000204,
0.471936,µm,Segment,1,1,1,100000000,510000000217,
0.390659,µm,Segment,0,1,1,100000000,510000000247,
0.44223,µm,Segment,2,2,1,100000002,510000000252,
0.425427,µm,Segment,1,1,1,100000002,510000000277,
0.328651,µm,Segment,0,1,1,100000002,510000000292,
0.309184,µm,Segment,5,3,1,100000001,510000000334,
0.330206,µm,Segment,4,3,1,100000001,510000000352,
0.300637,µm,Segment,3,3,1,100000001,510000000356,
0.354369,µm,Segment,2,2,1,100000001,510000000362,
0.409765,µm,Segment,1,1,1,100000001,510000000366,
0.410363,µm,Segment,0,1,1,100000001,510000000386,
0.469408,µm,Segment,2,1,1,100000002,510000000429,
0.272973,µm,Segment,5,4,1,100000001,510000000437,
0.275797,µm,Segment,6,4,1,100000001,510000000444,
0.417738,µm,Segment,5,3,1,100000001,510000000455,
0.401803,µm,Segment,4,3,1,100000001,510000000461,
0.385901,µm,Segment,3,2,1,100000001,510000000472,
0.342716,µm,Segment,6,3,1,100000001,510000000477,
0.322422,µm,Segment,1,2,1,100000002,510000000499,
0.381958,µm,Segment,3,1,1,100000001,510000000535,
0.402057,µm,Segment,2,1,1,100000001,510000000545,
0.430457,µm,Segment,1,1,1,100000001,510000000594,
0.438997,µm,Segment,0,1,1,100000001,510000000633,
0.31811,µm,Segment,4,2,1,100000001,510000000649,
0.36435,µm,Segment,3,2,1,100000001,510000000668,
0.254263,µm,Segment,4,3,1,100000001,510000000673,
0.330152,µm,Segment,4,3,1,100000000,510000000683,
0.312404,µm,Segment,4,4,1,100000001,510000000692,
0.32556,µm,Segment,5,4,1,100000001,510000000704,
0.262861,µm,Segment,5,4,1,100000001,510000000708,
0.293703,µm,Segment,3,4,1,100000001,510000000744,
0.402799,µm,Segment,2,3,1,100000001,510000000748,
0.444752,µm,Segment,0,1,1,100000001,510000000768,
0.30439,µm,Segment,1,2,1,100000001,510000000808,
0.386957,µm,Segment,0,1,1,100000001,510000000816,
0.396959,µm,Segment,2,2,1,100000001,510000000820,
0.311389,µm,Segment,1,1,1,100000001,510000000828,
0.36798,µm,Segment,0,1,1,100000001,510000000853,
0.305795,µm,Segment,1,2,1,100000002,510000000881,
0.272759,µm,Segment,1,2,1,100000001,510000000887,
0.476316,µm,Segment,2,1,1,100000001,510000000890,
0.350772,µm,Segment,2,3,1,100000001,510000000900,
0.320881,µm,Segment,1,2,1,100000001,510000000905,
0.341239,µm,Segment,0,1,1,100000002,510000000918,
0.514878,µm,Segment,3,2,1,100000000,510000000962,
0.255145,µm,Segment,4,4,1,100000001,510000000968,
0.305784,µm,Segment,3,3,1,100000001,510000000976,
0.331574,µm,Segment,1,2,1,100000002,510000000985,
0.410462,µm,Segment,0,1,1,100000002,510000001011,
0.355376,µm,Segment,1,2,1,100000001,510000001020,
0.354669,µm,Segment,1,1,1,100000002,510000001031,
0.346407,µm,Segment,1,1,1,100000000,510000001045,
0.361662,µm,Segment,0,1,1,100000000,510000001058,
0.311268,µm,Segment,4,3,1,100000001,510000001060,
0.279806,µm,Segment,1,2,1,100000000,510000001066,
0.411596,µm,Segment,2,2,1,100000001,510000001075,
0.316459,µm,Segment,0,1,1,100000001,510000001089,
0.36291,µm,Segment,1,1,1,100000001,510000001128,
0.644519,µm,Segment,1,1,1,100000001,510000001132,
0.342686,µm,Segment,1,2,1,100000000,510000001156,
0.528939,µm,Segment,2,1,1,100000000,510000001157,
0.407684,µm,Segment,4,2,1,100000001,510000001158,
0.373312,µm,Segment,2,2,1,100000001,510000001159,
0.61012,µm,Segment,1,2,1,100000001,510000001163,
0.743824,µm,Segment,3,1,1,100000002,510000001165,
