
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20276.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001281,
20279.1,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000001,610000001289,
20276.5,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001291,
20274.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,100000001,610000001298,
20241.7,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000002,610000001300,
20236.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000002,610000001311,
20279.4,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000001,610000001314,
20276.5,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001316,
20242.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001320,
20275.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000001328,
20276.1,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001330,
20277,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,100000001,610000001338,
20239.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000002,610000001349,
20277.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000001,610000001352,
20271.7,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000001,610000001354,
20269.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000001,610000001357,
20275.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001359,
20267.3,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000001363,
20266.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000001366,
20275.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001371,
20237.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000002,610000001375,
20271.9,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000001,610000001377,
20267.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000001,610000001380,
20272.3,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000001382,
20267.8,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000001,610000001384,
20266.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000001390,
20236.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,100000002,610000001392,
20276.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000001,610000001394,
20272.4,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000001398,
20274.1,µm,Spine,Spine Terminal Pt Distance from Origin,3,4,1,100000001,610000001400,
20267.5,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000001407,
20281.9,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000000,610000001413,
20278.4,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000001,610000001415,
20267.5,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000001419,
20275.6,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000001422,
20266.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000001426,
20239.1,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000002,610000001430,
20277.3,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,100000001,610000001435,
20267.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000001446,
20266.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000001461,
20275.6,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000001528,
20239.7,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000001528,
20279.9,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000001528,
20275.3,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000001529,
20237.5,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000001529,
20279.6,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000001529,
20276.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,,610000001530,
20243.8,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000001530,
