
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
20283.4,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000000,800000000,
20274.7,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000001,800000001,
20241.7,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000002,800000002,
20279.3,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000003,
20279.5,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000004,
20279.3,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000005,
20279.7,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000006,
20281,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000007,
20280.2,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000008,
20280.5,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000009,
20284.6,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000000,800000010,
20284.3,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000011,
20281.2,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000000,800000012,
20279.9,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000013,
20284.6,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000000,800000014,
20279.9,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000001,800000015,
20278.2,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000001,800000016,
20276.9,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000001,800000017,
20276.5,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000001,800000018,
20276.1,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000001,800000019,
20275.9,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000001,800000020,
20278.7,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000001,800000021,
20278.9,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000001,800000022,
20278.5,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000001,800000023,
20277.7,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000001,800000024,
20277.2,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000001,800000025,
20278.7,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000001,800000026,
20267.6,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000001,800000027,
20267.6,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000001,800000028,
