
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
196455,,Surface,5,Image 1,1,0,
136101,,Surface,5,Image 1,1,1,
52723,,Surface,5,Image 1,1,2,
39080,,Surface,5,Image 1,1,3,
