
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.40268,,Surface,3,Image 1,1,0,
2.4353,,Surface,3,Image 1,1,1,
1.52078,,Surface,3,Image 1,1,2,
3.16321,,Surface,3,Image 1,1,3,
