
Spine Center Intensity Min Ch=2 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
16,,Spine,2,20,Image 1,9,1,100000000,610000006851,
36,,Spine,2,1,Image 1,2,1,100000001,610000006853,
17,,Spine,2,17,Image 1,4,1,100000000,610000006855,
46,,Spine,2,0,Image 1,1,1,100000003,610000006859,
50,,Spine,2,0,Image 1,1,1,100000002,610000006863,
26,,Spine,2,4,Image 1,2,1,100000002,610000006867,
37,,Spine,2,7,Image 1,4,1,100000002,610000006870,
26,,Spine,2,4,Image 1,2,1,100000002,610000006873,
15,,Spine,2,2,Image 1,2,1,100000000,610000006876,
43,,Spine,2,1,Image 1,2,1,100000001,610000006878,
26,,Spine,2,0,Image 1,1,1,100000002,610000006881,
36,,Spine,2,1,Image 1,2,1,100000001,610000006883,
53,,Spine,2,2,Image 1,2,1,100000001,610000006886,
41,,Spine,2,8,Image 1,6,1,100000000,610000006890,
30,,Spine,2,0,Image 1,1,1,100000002,610000006893,
42,,Spine,2,14,Image 1,4,1,100000000,610000006896,
25,,Spine,2,0,Image 1,1,1,100000000,610000006898,
72,,Spine,2,1,Image 1,2,1,100000001,610000006904,
32,,Spine,2,5,Image 1,5,1,100000000,610000006909,
12,,Spine,2,4,Image 1,4,1,100000000,610000006911,
64,,Spine,2,0,Image 1,1,1,100000000,610000006913,
40,,Spine,2,9,Image 1,5,1,100000000,610000006915,
33,,Spine,2,2,Image 1,2,1,100000002,610000006918,
39,,Spine,2,20,Image 1,8,1,100000000,610000006922,
47,,Spine,2,5,Image 1,5,1,100000002,610000006925,
26,,Spine,2,4,Image 1,4,1,100000000,610000006929,
33,,Spine,2,2,Image 1,2,1,100000002,610000006931,
66,,Spine,2,0,Image 1,1,1,100000002,610000006933,
42,,Spine,2,0,Image 1,1,1,100000002,610000006937,
69,,Spine,2,0,Image 1,1,1,100000000,610000006940,
20,,Spine,2,5,Image 1,5,1,100000002,610000006944,
34,,Spine,2,1,Image 1,2,1,100000002,610000006947,
56,,Spine,2,1,Image 1,2,1,100000001,610000006951,
60,,Spine,2,0,Image 1,1,1,100000001,610000006955,
25,,Spine,2,16,Image 1,6,1,100000000,610000006958,
40,,Spine,2,9,Image 1,6,1,100000003,610000006963,
35,,Spine,2,2,Image 1,1,1,100000000,610000006965,
21,,Spine,2,0,Image 1,1,1,100000000,610000006969,
63,,Spine,2,0,Image 1,1,1,100000002,610000006971,
47,,Spine,2,0,Image 1,1,1,100000000,610000006975,
41,,Spine,2,6,Image 1,3,1,100000002,610000006981,
81,,Spine,2,1,Image 1,2,1,100000001,610000006985,
28,,Spine,2,0,Image 1,1,1,100000002,610000006990,
17,,Spine,2,4,Image 1,3,1,100000000,610000006993,
38,,Spine,2,0,Image 1,1,1,100000003,610000006996,
35,,Spine,2,4,Image 1,3,1,100000000,610000006999,
17,,Spine,2,20,Image 1,8,1,100000000,610000007004,
31,,Spine,2,2,Image 1,1,1,100000002,610000007006,
47,,Spine,2,0,Image 1,1,1,100000002,610000007010,
55,,Spine,2,0,Image 1,1,1,100000003,610000007012,
31,,Spine,2,0,Image 1,1,1,100000001,610000007017,
40,,Spine,2,6,Image 1,6,1,100000003,610000007020,
41,,Spine,2,1,Image 1,2,1,100000002,610000007022,
51,,Spine,2,0,Image 1,1,1,100000002,610000007025,
70,,Spine,2,0,Image 1,1,1,100000002,610000007030,
40,,Spine,2,0,Image 1,1,1,100000002,610000007032,
43,,Spine,2,15,Image 1,6,1,100000000,610000007036,
42,,Spine,2,0,Image 1,1,1,100000000,610000007042,
39,,Spine,2,10,Image 1,3,1,100000002,610000007046,
38,,Spine,2,4,Image 1,3,1,100000000,610000007048,
48,,Spine,2,10,Image 1,8,1,100000003,610000007051,
69,,Spine,2,3,Image 1,1,1,100000000,610000007053,
43,,Spine,2,10,Image 1,4,1,100000000,610000007056,
87,,Spine,2,0,Image 1,1,1,100000000,610000007059,
23,,Spine,2,0,Image 1,1,1,100000003,610000007067,
57,,Spine,2,7,Image 1,3,1,100000002,610000007071,
76,,Spine,2,0,Image 1,1,1,100000002,610000007073,
67,,Spine,2,0,Image 1,1,1,100000003,610000007076,
76,,Spine,2,1,Image 1,2,1,100000001,610000007082,
96,,Spine,2,0,Image 1,1,1,100000002,610000007091,
79,,Spine,2,5,Image 1,5,1,100000000,610000007094,
89,,Spine,2,0,Image 1,1,1,100000000,610000007112,
103,,Spine,2,0,Image 1,1,1,100000002,610000007119,
55,,Spine,2,6,Image 1,3,1,100000000,610000007126,
70,,Spine,2,0,Image 1,1,1,100000003,610000007131,
63,,Spine,2,3,Image 1,2,1,100000000,610000007140,
123,,Spine,2,0,Image 1,1,1,100000003,610000007143,
59,,Spine,2,2,Image 1,2,1,100000002,610000007146,
43,,Spine,2,1,Image 1,1,1,100000001,610000007150,
86,,Spine,2,0,Image 1,1,1,100000002,610000007168,
98,,Spine,2,0,Image 1,1,1,100000003,610000007171,
