
Spine Terminal Pt Time
 ==================== 
Spine Terminal Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,16,7,1,100000000,610000006488,
0,s,Spine,3,2,1,100000003,610000006491,
0,s,Spine,20,9,1,100000000,610000006494,
0,s,Spine,1,2,1,100000000,610000006499,
0,s,Spine,6,5,1,100000003,610000006503,
0,s,Spine,3,2,1,100000003,610000006507,
0,s,Spine,1,2,1,100000000,610000006511,
0,s,Spine,0,1,1,100000000,610000006518,
0,s,Spine,9,3,1,100000002,610000006520,
0,s,Spine,2,2,1,100000000,610000006524,
0,s,Spine,6,4,1,100000002,610000006528,
0,s,Spine,1,2,1,100000000,610000006531,
0,s,Spine,7,3,1,100000002,610000006536,
0,s,Spine,1,1,1,100000003,610000006539,
0,s,Spine,7,3,1,100000002,610000006542,
0,s,Spine,0,1,1,100000001,610000006545,
0,s,Spine,0,1,1,100000000,610000006550,
0,s,Spine,1,2,1,100000001,610000006554,
0,s,Spine,2,2,1,100000000,610000006559,
0,s,Spine,7,3,1,100000002,610000006562,
0,s,Spine,5,3,1,100000002,610000006565,
0,s,Spine,7,4,1,100000002,610000006568,
0,s,Spine,10,3,1,100000002,610000006574,
0,s,Spine,7,5,1,100000003,610000006577,
0,s,Spine,3,1,1,100000000,610000006583,
0,s,Spine,,,1,,610000006586,
0,s,Spine,,,1,,610000006591,
0,s,Spine,10,5,1,100000002,610000006597,
0,s,Spine,13,4,1,100000000,610000006602,
0,s,Spine,5,5,1,100000000,610000006607,
0,s,Spine,5,3,1,100000002,610000006609,
0,s,Spine,16,7,1,100000000,610000006611,
0,s,Spine,5,3,1,100000000,610000006615,
0,s,Spine,3,1,1,100000000,610000006620,
0,s,Spine,,,1,,610000006622,
0,s,Spine,,,1,,610000006625,
0,s,Spine,5,3,1,100000002,610000006631,
0,s,Spine,1,1,1,100000000,610000006633,
0,s,Spine,7,3,1,100000002,610000006636,
0,s,Spine,3,2,1,100000000,610000006638,
0,s,Spine,,,1,,610000006640,
0,s,Spine,4,2,1,100000002,610000006645,
0,s,Spine,7,2,1,100000002,610000006647,
0,s,Spine,3,2,1,100000002,610000006650,
0,s,Spine,4,2,1,100000002,610000006654,
0,s,Spine,5,1,1,100000002,610000006656,
0,s,Spine,7,3,1,100000002,610000006660,
0,s,Spine,9,3,1,100000000,610000006664,
0,s,Spine,15,6,1,100000000,610000006666,
0,s,Spine,1,1,1,100000002,610000006669,
0,s,Spine,,,1,,610000006672,
0,s,Spine,,,1,,610000006676,
0,s,Spine,,,1,,610000006679,
0,s,Spine,0,1,1,100000002,610000006683,
0,s,Spine,4,2,1,100000002,610000006686,
0,s,Spine,7,3,1,100000002,610000006689,
0,s,Spine,,,1,,610000006691,
0,s,Spine,12,6,1,100000001,610000006695,
0,s,Spine,,,1,,610000006697,
0,s,Spine,5,5,1,100000003,610000006703,
0,s,Spine,2,2,1,100000001,610000006709,
0,s,Spine,7,2,1,100000002,610000006711,
0,s,Spine,,,1,,610000006713,
0,s,Spine,8,2,1,100000002,610000006720,
0,s,Spine,10,8,1,100000003,610000006723,
0,s,Spine,3,2,1,100000000,610000006726,
0,s,Spine,4,3,1,100000000,610000006728,
0,s,Spine,10,3,1,100000002,610000006731,
0,s,Spine,,,1,,610000006733,
0,s,Spine,,,1,,610000006738,
0,s,Spine,2,1,1,100000002,610000006743,
0,s,Spine,3,2,1,100000000,610000006745,
0,s,Spine,5,3,1,100000000,610000006747,
0,s,Spine,8,2,1,100000001,610000006749,
0,s,Spine,9,5,1,100000000,610000006754,
0,s,Spine,9,5,1,100000001,610000006756,
0,s,Spine,2,2,1,100000000,610000006765,
0,s,Spine,,,1,,610000006771,
