
Filament No. Spine Terminal Pts
 ==================== 
Filament No. Spine Terminal Pts,Unit,Category,Time,ID,
140,,Filament,1,100000000,
71,,Filament,1,100000001,
163,,Filament,1,100000002,
60,,Filament,1,100000003,
