
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
8,,Segment,12,8,1,100000003,510000000033,
8,,Segment,11,8,1,100000003,510000000035,
7,,Segment,10,7,1,100000003,510000000063,
7,,Segment,9,7,1,100000003,510000000081,
6,,Segment,8,6,1,100000003,510000000130,
6,,Segment,7,6,1,100000003,510000000133,
5,,Segment,6,5,1,100000003,510000000174,
4,,Segment,4,4,1,100000003,510000000184,
3,,Segment,3,3,1,100000003,510000000248,
2,,Segment,2,2,1,100000003,510000000250,
2,,Segment,1,2,1,100000003,510000000259,
1,,Segment,0,1,1,100000003,510000000270,
7,,Segment,11,7,1,100000003,510000000292,
9,,Segment,12,9,1,100000003,510000000296,
8,,Segment,10,8,1,100000003,510000000308,
6,,Segment,9,6,1,100000003,510000000326,
6,,Segment,6,6,1,100000003,510000000350,
5,,Segment,5,5,1,100000003,510000000469,
5,,Segment,6,5,1,100000003,510000000513,
3,,Segment,7,3,1,100000000,510000000520,
3,,Segment,6,3,1,100000000,510000000527,
3,,Segment,5,3,1,100000000,510000000562,
3,,Segment,3,3,1,100000000,510000000599,
2,,Segment,2,2,1,100000000,510000000608,
1,,Segment,1,1,1,100000000,510000000617,
1,,Segment,0,1,1,100000000,510000000635,
4,,Segment,7,4,1,100000000,510000000658,
4,,Segment,6,4,1,100000000,510000000666,
4,,Segment,5,4,1,100000000,510000000670,
4,,Segment,4,4,1,100000000,510000000673,
5,,Segment,7,5,1,100000003,510000000685,
7,,Segment,8,7,1,100000003,510000000689,
5,,Segment,5,5,1,100000003,510000000694,
4,,Segment,6,4,1,100000003,510000000696,
6,,Segment,8,6,1,100000000,510000000714,
6,,Segment,7,6,1,100000000,510000000753,
5,,Segment,6,5,1,100000000,510000000767,
3,,Segment,4,3,1,100000000,510000000862,
3,,Segment,3,3,1,100000000,510000000867,
2,,Segment,2,2,1,100000000,510000000899,
1,,Segment,1,1,1,100000000,510000000903,
1,,Segment,0,1,1,100000000,510000000944,
5,,Segment,11,5,1,100000000,510000000950,
5,,Segment,10,5,1,100000000,510000000955,
5,,Segment,9,5,1,100000000,510000000968,
5,,Segment,8,5,1,100000000,510000000973,
5,,Segment,7,5,1,100000000,510000000980,
7,,Segment,8,7,1,100000000,510000000984,
6,,Segment,11,6,1,100000000,510000000989,
6,,Segment,9,6,1,100000000,510000001003,
6,,Segment,10,6,1,100000000,510000001005,
