
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-2.5345,5.79715,µm^3,Cumulative Volume,Image 1,1,,
-2.3975,23.0634,µm^3,Cumulative Volume,Image 1,1,,
-2.2605,57.1973,µm^3,Cumulative Volume,Image 1,1,,
-2.1235,103.52,µm^3,Cumulative Volume,Image 1,1,,
-1.9865,166.514,µm^3,Cumulative Volume,Image 1,1,,
-1.8495,250.509,µm^3,Cumulative Volume,Image 1,1,,
-1.7125,347.016,µm^3,Cumulative Volume,Image 1,1,,
-1.5755,463.136,µm^3,Cumulative Volume,Image 1,1,,
-1.4385,605.617,µm^3,Cumulative Volume,Image 1,1,,
-1.3015,764.599,µm^3,Cumulative Volume,Image 1,1,,
-1.1645,947.279,µm^3,Cumulative Volume,Image 1,1,,
-1.0275,1135.81,µm^3,Cumulative Volume,Image 1,1,,
-0.8905,1344.43,µm^3,Cumulative Volume,Image 1,1,,
-0.7535,1580.59,µm^3,Cumulative Volume,Image 1,1,,
-0.6165,1822.21,µm^3,Cumulative Volume,Image 1,1,,
-0.4795,2080.16,µm^3,Cumulative Volume,Image 1,1,,
-0.3425,2366.71,µm^3,Cumulative Volume,Image 1,1,,
-0.2055,2642.99,µm^3,Cumulative Volume,Image 1,1,,
-0.0685,2920.42,µm^3,Cumulative Volume,Image 1,1,,
0.0685,3204.61,µm^3,Cumulative Volume,Image 1,1,,
0.2055,3453.97,µm^3,Cumulative Volume,Image 1,1,,
0.3425,3696.41,µm^3,Cumulative Volume,Image 1,1,,
0.4795,3912.99,µm^3,Cumulative Volume,Image 1,1,,
0.6165,4120.24,µm^3,Cumulative Volume,Image 1,1,,
0.7535,4323.66,µm^3,Cumulative Volume,Image 1,1,,
0.8905,4514.82,µm^3,Cumulative Volume,Image 1,1,,
1.0275,4695.91,µm^3,Cumulative Volume,Image 1,1,,
1.1645,4872.64,µm^3,Cumulative Volume,Image 1,1,,
1.3015,5042.15,µm^3,Cumulative Volume,Image 1,1,,
1.4385,5204.79,µm^3,Cumulative Volume,Image 1,1,,
1.5755,5360.11,µm^3,Cumulative Volume,Image 1,1,,
1.7125,5509.42,µm^3,Cumulative Volume,Image 1,1,,
1.8495,5654.38,µm^3,Cumulative Volume,Image 1,1,,
1.9865,5794.06,µm^3,Cumulative Volume,Image 1,1,,
2.1235,5929.25,µm^3,Cumulative Volume,Image 1,1,,
2.2605,6061.49,µm^3,Cumulative Volume,Image 1,1,,
2.3975,6191.12,µm^3,Cumulative Volume,Image 1,1,,
2.5345,6318.25,µm^3,Cumulative Volume,Image 1,1,,
2.6715,6443.71,µm^3,Cumulative Volume,Image 1,1,,
2.8085,6567.09,µm^3,Cumulative Volume,Image 1,1,,
2.9455,6688.4,µm^3,Cumulative Volume,Image 1,1,,
3.0825,6807.42,µm^3,Cumulative Volume,Image 1,1,,
3.2195,6924.57,µm^3,Cumulative Volume,Image 1,1,,
3.3565,7039.31,µm^3,Cumulative Volume,Image 1,1,,
3.4935,7150.25,µm^3,Cumulative Volume,Image 1,1,,
