
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-2.5345,5.79715,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.3975,23.0634,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.2605,57.1973,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.1235,103.52,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.9865,166.514,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.8495,250.509,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.7125,347.016,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.5755,463.136,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.4385,605.617,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.3015,764.599,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.1645,947.279,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.0275,1135.81,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.8905,1344.43,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.7535,1580.59,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.6165,1822.21,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.4795,2080.16,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.3425,2366.71,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.2055,2642.99,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.0685,2920.42,µm^3,Cumulative Volume Inside,Image 1,1,,
