
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.242961,µm,Spine,16,7,1,100000000,610000006488,
0.267929,µm,Spine,3,2,1,100000003,610000006491,
0.325,µm,Spine,20,9,1,100000000,610000006494,
0.294047,µm,Spine,1,2,1,100000000,610000006499,
0.337314,µm,Spine,6,5,1,100000003,610000006503,
0.263322,µm,Spine,3,2,1,100000003,610000006507,
0.294047,µm,Spine,1,2,1,100000000,610000006511,
0.294122,µm,Spine,0,1,1,100000000,610000006518,
0.237661,µm,Spine,9,3,1,100000002,610000006520,
0.443264,µm,Spine,2,2,1,100000000,610000006524,
0.353519,µm,Spine,6,4,1,100000002,610000006528,
0.294047,µm,Spine,1,2,1,100000000,610000006531,
0.389721,µm,Spine,7,3,1,100000002,610000006536,
0.397976,µm,Spine,1,1,1,100000003,610000006539,
0.35304,µm,Spine,7,3,1,100000002,610000006542,
0.490794,µm,Spine,0,1,1,100000001,610000006545,
0.294122,µm,Spine,0,1,1,100000000,610000006550,
0.462032,µm,Spine,1,2,1,100000001,610000006554,
0.443264,µm,Spine,2,2,1,100000000,610000006559,
0.336996,µm,Spine,7,3,1,100000002,610000006562,
0.325,µm,Spine,5,3,1,100000002,610000006565,
0.331724,µm,Spine,7,4,1,100000002,610000006568,
0.390508,µm,Spine,10,3,1,100000002,610000006574,
0.331681,µm,Spine,7,5,1,100000003,610000006577,
0.381587,µm,Spine,3,1,1,100000000,610000006583,
0.163908,µm,Spine,0,1,1,100000002,610000006589,
0.614843,µm,Spine,0,1,1,100000001,610000006595,
0.335244,µm,Spine,10,5,1,100000002,610000006597,
0.494093,µm,Spine,13,4,1,100000000,610000006602,
0.344475,µm,Spine,5,5,1,100000000,610000006607,
0.27317,µm,Spine,5,3,1,100000002,610000006609,
0.36164,µm,Spine,16,7,1,100000000,610000006611,
0.316023,µm,Spine,5,3,1,100000000,610000006615,
0.381587,µm,Spine,3,1,1,100000000,610000006620,
0.830273,µm,Spine,0,1,1,100000001,610000006623,
0.392977,µm,Spine,0,1,1,100000002,610000006629,
0.249447,µm,Spine,5,3,1,100000002,610000006631,
0.4186,µm,Spine,1,1,1,100000000,610000006633,
0.336996,µm,Spine,7,3,1,100000002,610000006636,
0.284323,µm,Spine,3,2,1,100000000,610000006638,
0.714787,µm,Spine,0,1,1,100000001,610000006642,
0.404005,µm,Spine,4,2,1,100000002,610000006645,
0.341906,µm,Spine,7,2,1,100000002,610000006647,
0.276727,µm,Spine,3,2,1,100000002,610000006650,
0.325,µm,Spine,4,2,1,100000002,610000006654,
0.290434,µm,Spine,5,1,1,100000002,610000006656,
0.389721,µm,Spine,7,3,1,100000002,610000006660,
