
Filament No. Segment Branch Pts
 ==================== 
Filament No. Segment Branch Pts,Unit,Category,Time,ID,
69,,Filament,1,100000000,
27,,Filament,1,100000001,
66,,Filament,1,100000002,
22,,Filament,1,100000003,
