
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
25996.6,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000000,800000000,
25972.9,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000001,800000001,
25985.4,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000002,800000002,
26016.5,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000003,800000003,
25996.8,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000004,
25996.5,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000005,
25995.9,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000006,
25995.2,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000007,
25995.3,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000008,
25997.6,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000009,
25998,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000010,
25997.3,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000011,
25996.7,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000012,
25995.7,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000000,800000013,
25994.8,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000014,
25995.2,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000000,800000015,
26004.6,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000000,800000016,
26006.1,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000000,800000017,
26006.9,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000018,
26006.1,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000019,
26006.1,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000020,
26002.9,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000021,
26002.6,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000022,
25999.7,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000023,
25999.4,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000024,
26009.2,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000000,800000025,
26009.3,µm,Point,Pt Distance from Origin,10,1,Segment Branch,100000000,800000026,
26009,µm,Point,Pt Distance from Origin,10,1,Segment,100000000,800000027,
26008.9,µm,Point,Pt Distance from Origin,9,1,Segment Branch,100000000,800000028,
26007.8,µm,Point,Pt Distance from Origin,8,1,Segment Branch,100000000,800000029,
26007.4,µm,Point,Pt Distance from Origin,7,1,Segment Branch,100000000,800000030,
26006.2,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000000,800000031,
26009.9,µm,Point,Pt Distance from Origin,11,1,Segment Terminal,100000000,800000032,
26007.2,µm,Point,Pt Distance from Origin,9,1,Segment Terminal,100000000,800000034,
26009.3,µm,Point,Pt Distance from Origin,10,1,Segment Terminal,100000000,800000035,
26007.1,µm,Point,Pt Distance from Origin,8,1,Segment Terminal,100000000,800000036,
26005.9,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000000,800000037,
26005.3,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000038,
25993.1,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000039,
25992.8,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000040,
25991.1,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000041,
25992.4,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000042,
25992.3,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000043,
25992.7,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000044,
25993,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000045,
25990.3,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000046,
25990.9,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000047,
25990.9,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000000,800000048,
25993,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000049,
25991.9,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000000,800000050,
25992.2,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000051,
25992.1,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000052,
