
Soma BoundingBoxOO Length A
 ==================== 
Soma BoundingBoxOO Length A,Unit,Category,Collection,Time,FilamentID,ID,
2.02246,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
1.78613,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
1.48694,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
1.71289,µm,Soma,Soma BoundingBoxOO Length,1,100000003,800000003,
