
Soma Distance to Image Border XY Img=1
 ==================== 
Soma Distance to Image Border XY,Unit,Category,Image,Time,FilamentID,ID,
16.5449,µm,Soma,Image 1,1,100000000,800000000,
1.41016,µm,Soma,Image 1,1,100000001,800000001,
11.4297,µm,Soma,Image 1,1,100000002,800000002,
3.13672,µm,Soma,Image 1,1,100000003,800000003,
