
Filament No. Segment Segments
 ==================== 
Filament No. Segment Segments,Unit,Category,Time,ID,
157,,Filament,1,100000000,
60,,Filament,1,100000001,
143,,Filament,1,100000002,
51,,Filament,1,100000003,
