
Soma Intensity Median Ch=2 Img=1
 ==================== 
Soma Intensity Median,Unit,Category,Channel,Image,Time,FilamentID,ID,
42.0625,,Soma,2,Image 1,1,100000000,800000000,
47.0625,,Soma,2,Image 1,1,100000001,800000001,
55.0625,,Soma,2,Image 1,1,100000002,800000002,
66.0625,,Soma,2,Image 1,1,100000003,800000003,
