
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2.00195,,Spine,2,0,Image 1,1,1,100000000,610000003540,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003542,
2,,Spine,2,0,Image 1,1,1,100000000,610000003544,
3.50195,,Spine,2,0,Image 1,1,1,100000001,610000003549,
10.5078,,Spine,2,0,Image 1,1,1,100000000,610000003554,
0.500977,,Spine,2,0,Image 1,1,1,100000001,610000003556,
5.00391,,Spine,2,0,Image 1,1,1,100000000,610000003559,
3.50098,,Spine,2,0,Image 1,1,1,100000000,610000003561,
1,,Spine,2,0,Image 1,1,1,100000001,610000003563,
2.00195,,Spine,2,9,Image 1,3,1,100000002,610000003570,
2.00391,,Spine,2,0,Image 1,1,1,100000001,610000003572,
4.50195,,Spine,2,0,Image 1,1,1,100000000,610000003576,
0.500977,,Spine,2,0,Image 1,1,1,100000001,610000003583,
14.0078,,Spine,2,0,Image 1,1,1,100000000,610000003588,
6.50391,,Spine,2,0,Image 1,1,1,100000000,610000003595,
3.00195,,Spine,2,7,Image 1,3,1,100000000,610000003619,
2,,Spine,2,7,Image 1,4,1,100000000,610000003620,
53.5625,,Spine,2,6,Image 1,3,1,100000000,610000003621,
62.5625,,Spine,2,5,Image 1,2,1,100000000,610000003622,
8.00195,,Spine,2,5,Image 1,2,1,100000000,610000003623,
23.502,,Spine,2,4,Image 1,2,1,100000000,610000003624,
1.50195,,Spine,2,2,Image 1,2,1,100000000,610000003625,
27.5156,,Spine,2,1,Image 1,2,1,100000000,610000003626,
13.0156,,Spine,2,0,Image 1,1,1,100000000,610000003627,
8.00391,,Spine,2,0,Image 1,1,1,100000000,610000003628,
7.00391,,Spine,2,8,Image 1,4,1,100000000,610000003629,
2,,Spine,2,7,Image 1,5,1,100000000,610000003630,
5.50391,,Spine,2,5,Image 1,4,1,100000000,610000003631,
7.00781,,Spine,2,5,Image 1,3,1,100000000,610000003632,
2.00195,,Spine,2,2,Image 1,2,1,100000000,610000003633,
31.0312,,Spine,2,0,Image 1,1,1,100000000,610000003634,
1.50098,,Spine,2,0,Image 1,1,1,100000000,610000003635,
10.502,,Spine,2,13,Image 1,5,1,100000000,610000003646,
9.00391,,Spine,2,13,Image 1,5,1,100000000,610000003647,
13.0078,,Spine,2,13,Image 1,5,1,100000000,610000003648,
19.0156,,Spine,2,12,Image 1,5,1,100000000,610000003649,
4.00195,,Spine,2,11,Image 1,5,1,100000000,610000003650,
44.5312,,Spine,2,11,Image 1,5,1,100000000,610000003651,
2.00195,,Spine,2,9,Image 1,3,1,100000000,610000003652,
1.50098,,Spine,2,11,Image 1,2,1,100000000,610000003653,
2,,Spine,2,9,Image 1,2,1,100000000,610000003654,
69.0625,,Spine,2,6,Image 1,2,1,100000000,610000003655,
3.00195,,Spine,2,5,Image 1,3,1,100000000,610000003656,
5.50195,,Spine,2,4,Image 1,2,1,100000000,610000003657,
5.00391,,Spine,2,2,Image 1,2,1,100000000,610000003658,
11.5078,,Spine,2,2,Image 1,2,1,100000000,610000003659,
1,,Spine,2,3,Image 1,4,1,100000000,610000003663,
20.0156,,Spine,2,3,Image 1,4,1,100000000,610000003664,
5.00391,,Spine,2,2,Image 1,2,1,100000000,610000003665,
5.50195,,Spine,2,3,Image 1,1,1,100000000,610000003666,
4.00195,,Spine,2,0,Image 1,1,1,100000000,610000003667,
1.50098,,Spine,2,1,Image 1,1,1,100000001,610000003673,
1.50098,,Spine,2,0,Image 1,1,1,100000001,610000003674,
2.00195,,Spine,2,9,Image 1,5,1,100000001,610000003675,
1,,Spine,2,9,Image 1,6,1,100000001,610000003676,
0,,Spine,2,7,Image 1,4,1,100000001,610000003677,
2.50098,,Spine,2,8,Image 1,4,1,100000001,610000003678,
4,,Spine,2,6,Image 1,3,1,100000001,610000003679,
3,,Spine,2,5,Image 1,3,1,100000001,610000003680,
0.500977,,Spine,2,5,Image 1,3,1,100000001,610000003681,
1.00195,,Spine,2,4,Image 1,3,1,100000001,610000003682,
3,,Spine,2,12,Image 1,4,1,100000001,610000003683,
3.00391,,Spine,2,12,Image 1,5,1,100000001,610000003684,
6.50098,,Spine,2,11,Image 1,4,1,100000001,610000003685,
2.50098,,Spine,2,10,Image 1,4,1,100000001,610000003686,
0.500977,,Spine,2,10,Image 1,4,1,100000001,610000003687,
5.00195,,Spine,2,6,Image 1,2,1,100000001,610000003688,
2.50098,,Spine,2,8,Image 1,2,1,100000001,610000003689,
0.500977,,Spine,2,5,Image 1,2,1,100000001,610000003690,
0.500977,,Spine,2,2,Image 1,1,1,100000001,610000003691,
1.50098,,Spine,2,0,Image 1,1,1,100000001,610000003692,
1.50098,,Spine,2,6,Image 1,3,1,100000001,610000003693,
20.5156,,Spine,2,5,Image 1,3,1,100000001,610000003694,
2.00391,,Spine,2,4,Image 1,3,1,100000001,610000003695,
1.00195,,Spine,2,3,Image 1,2,1,100000001,610000003696,
2.50195,,Spine,2,1,Image 1,1,1,100000001,610000003697,
0.500977,,Spine,2,1,Image 1,2,1,100000001,610000003698,
1.50098,,Spine,2,1,Image 1,2,1,100000001,610000003699,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003700,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003701,
3.50098,,Spine,2,1,Image 1,1,1,100000001,610000003704,
1.50098,,Spine,2,10,Image 1,3,1,100000002,610000003709,
3,,Spine,2,9,Image 1,3,1,100000002,610000003710,
1.50098,,Spine,2,9,Image 1,3,1,100000002,610000003711,
1,,Spine,2,9,Image 1,3,1,100000002,610000003712,
11.5156,,Spine,2,5,Image 1,2,1,100000002,610000003713,
33.0156,,Spine,2,5,Image 1,2,1,100000002,610000003714,
26.5312,,Spine,2,5,Image 1,2,1,100000002,610000003715,
8.50098,,Spine,2,5,Image 1,2,1,100000002,610000003716,
5.00195,,Spine,2,4,Image 1,2,1,100000002,610000003717,
0,,Spine,2,2,Image 1,1,1,100000002,610000003718,
2.50098,,Spine,2,1,Image 1,1,1,100000002,610000003719,
6.00781,,Spine,2,1,Image 1,1,1,100000002,610000003720,
10.002,,Spine,2,1,Image 1,1,1,100000002,610000003721,
0,,Spine,2,1,Image 1,2,1,100000002,610000003722,
