
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1466.68,µm,Segment,Segment Position,5,2,1,100000001,510000001168,
1467.63,µm,Segment,Segment Position,5,2,1,100000001,510000001187,
1467.31,µm,Segment,Segment Position,6,2,1,100000001,510000001193,
1467.56,µm,Segment,Segment Position,11,6,1,100000001,510000001205,
1467.02,µm,Segment,Segment Position,10,5,1,100000001,510000001226,
1466.98,µm,Segment,Segment Position,9,4,1,100000001,510000001240,
1466.95,µm,Segment,Segment Position,8,4,1,100000001,510000001243,
1466.96,µm,Segment,Segment Position,7,4,1,100000001,510000001257,
1466.63,µm,Segment,Segment Position,6,3,1,100000001,510000001272,
1467.47,µm,Segment,Segment Position,11,5,1,100000001,510000001275,
1466.8,µm,Segment,Segment Position,10,4,1,100000001,510000001289,
1467.15,µm,Segment,Segment Position,9,5,1,100000001,510000001293,
1466.14,µm,Segment,Segment Position,9,4,1,100000001,510000001296,
1465.8,µm,Segment,Segment Position,8,4,1,100000001,510000001315,
1466.04,µm,Segment,Segment Position,9,5,1,100000001,510000001317,
1466.86,µm,Segment,Segment Position,8,5,1,100000001,510000001320,
1466.91,µm,Segment,Segment Position,7,3,1,100000001,510000001323,
1466.73,µm,Segment,Segment Position,9,5,1,100000001,510000001333,
1466.46,µm,Segment,Segment Position,7,5,1,100000001,510000001342,
1467.29,µm,Segment,Segment Position,9,6,1,100000001,510000001354,
1466.66,µm,Segment,Segment Position,8,6,1,100000001,510000001356,
1466.24,µm,Segment,Segment Position,5,4,1,100000001,510000001361,
1465.04,µm,Segment,Segment Position,3,2,1,100000001,510000001368,
1464.82,µm,Segment,Segment Position,2,2,1,100000001,510000001382,
1464.64,µm,Segment,Segment Position,1,2,1,100000001,510000001387,
1464.07,µm,Segment,Segment Position,13,5,1,100000000,510000001414,
1463.62,µm,Segment,Segment Position,12,5,1,100000000,510000001423,
1463.39,µm,Segment,Segment Position,11,5,1,100000000,510000001470,
1463.76,µm,Segment,Segment Position,9,4,1,100000000,510000001478,
1463.94,µm,Segment,Segment Position,8,3,1,100000000,510000001480,
1464.1,µm,Segment,Segment Position,7,3,1,100000000,510000001490,
1464.17,µm,Segment,Segment Position,6,2,1,100000000,510000001518,
1464.1,µm,Segment,Segment Position,5,2,1,100000000,510000001521,
1464.1,µm,Segment,Segment Position,4,2,1,100000000,510000001541,
1464.04,µm,Segment,Segment Position,3,1,1,100000000,510000001543,
