
Spine Number of Voxel Ch=1 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
123,,Spine,1,2,Image 1,3,1,100000000,610000003187,
65,,Spine,1,13,Image 1,5,1,100000000,610000003190,
63,,Spine,1,2,Image 1,3,1,100000000,610000003192,
98,,Spine,1,9,Image 1,3,1,100000000,610000003195,
107,,Spine,1,9,Image 1,6,1,100000001,610000003200,
94,,Spine,1,10,Image 1,7,1,100000001,610000003203,
922,,Spine,1,3,Image 1,1,1,100000001,610000003208,
53,,Spine,1,3,Image 1,1,1,100000000,610000003210,
365,,Spine,1,1,Image 1,1,1,100000002,610000003217,
149,,Spine,1,2,Image 1,2,1,100000001,610000003220,
364,,Spine,1,6,Image 1,2,1,100000000,610000003222,
1380,,Spine,1,0,Image 1,1,1,100000001,610000003229,
78,,Spine,1,11,Image 1,5,1,100000000,610000003232,
209,,Spine,1,0,Image 1,1,1,100000001,610000003237,
156,,Spine,1,8,Image 1,3,1,100000000,610000003241,
56,,Spine,1,10,Image 1,7,1,100000001,610000003244,
86,,Spine,1,5,Image 1,2,1,100000000,610000003246,
106,,Spine,1,8,Image 1,2,1,100000000,610000003248,
367,,Spine,1,1,Image 1,1,1,100000002,610000003254,
196,,Spine,1,1,Image 1,2,1,100000001,610000003258,
27,,Spine,1,0,Image 1,1,1,100000001,610000003262,
48,,Spine,1,11,Image 1,5,1,100000000,610000003267,
65,,Spine,1,0,Image 1,1,1,100000001,610000003271,
102,,Spine,1,11,Image 1,4,1,100000001,610000003276,
311,,Spine,1,0,Image 1,1,1,100000001,610000003282,
298,,Spine,1,1,Image 1,1,1,100000002,610000003288,
164,,Spine,1,4,Image 1,2,1,100000002,610000003292,
56,,Spine,1,10,Image 1,7,1,100000001,610000003294,
79,,Spine,1,0,Image 1,1,1,100000001,610000003298,
206,,Spine,1,12,Image 1,4,1,100000001,610000003302,
278,,Spine,1,1,Image 1,1,1,100000002,610000003306,
406,,Spine,1,0,Image 1,1,1,100000001,610000003312,
208,,Spine,1,10,Image 1,2,1,100000000,610000003316,
