
Spine Terminal Pt Time
 ==================== 
Spine Terminal Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,2,3,1,100000000,610000003187,
0,s,Spine,13,5,1,100000000,610000003190,
0,s,Spine,2,3,1,100000000,610000003192,
0,s,Spine,9,3,1,100000000,610000003195,
0,s,Spine,9,6,1,100000001,610000003200,
0,s,Spine,10,7,1,100000001,610000003203,
0,s,Spine,3,1,1,100000001,610000003208,
0,s,Spine,3,1,1,100000000,610000003210,
0,s,Spine,,,1,,610000003212,
0,s,Spine,2,2,1,100000001,610000003220,
0,s,Spine,6,2,1,100000000,610000003222,
0,s,Spine,,,1,,610000003224,
0,s,Spine,11,5,1,100000000,610000003232,
0,s,Spine,,,1,,610000003234,
0,s,Spine,8,3,1,100000000,610000003241,
0,s,Spine,10,7,1,100000001,610000003244,
0,s,Spine,5,2,1,100000000,610000003246,
0,s,Spine,8,2,1,100000000,610000003248,
0,s,Spine,1,2,1,100000001,610000003258,
0,s,Spine,,,1,,610000003260,
0,s,Spine,11,5,1,100000000,610000003267,
0,s,Spine,,,1,,610000003269,
0,s,Spine,11,4,1,100000001,610000003276,
0,s,Spine,,,1,,610000003278,
0,s,Spine,,,1,,610000003284,
0,s,Spine,4,2,1,100000002,610000003292,
0,s,Spine,10,7,1,100000001,610000003294,
0,s,Spine,0,1,1,100000001,610000003298,
0,s,Spine,12,4,1,100000001,610000003302,
0,s,Spine,1,1,1,100000002,610000003306,
0,s,Spine,10,2,1,100000000,610000003316,
0,s,Spine,11,5,1,100000000,610000003319,
0,s,Spine,6,3,1,100000001,610000003321,
0,s,Spine,9,6,1,100000001,610000003323,
0,s,Spine,10,4,1,100000001,610000003328,
0,s,Spine,1,2,1,100000001,610000003330,
0,s,Spine,5,3,1,100000000,610000003332,
0,s,Spine,5,2,1,100000000,610000003336,
0,s,Spine,12,4,1,100000001,610000003339,
0,s,Spine,4,2,1,100000002,610000003343,
0,s,Spine,11,8,1,100000001,610000003345,
0,s,Spine,2,2,1,100000001,610000003350,
0,s,Spine,0,1,1,100000001,610000003352,
0,s,Spine,1,2,1,100000000,610000003354,
0,s,Spine,7,3,1,100000000,610000003359,
0,s,Spine,4,3,1,100000001,610000003367,
0,s,Spine,9,3,1,100000002,610000003377,
0,s,Spine,0,1,1,100000000,610000003394,
0,s,Spine,1,2,1,100000001,610000003409,
0,s,Spine,11,4,1,100000001,610000003425,
0,s,Spine,10,2,1,100000000,610000003448,
0,s,Spine,2,1,1,100000001,610000003460,
0,s,Spine,3,1,1,100000001,610000003462,
0,s,Spine,0,1,1,100000000,610000003477,
0,s,Spine,0,1,1,100000000,610000003488,
0,s,Spine,5,2,1,100000000,610000003491,
0,s,Spine,3,2,1,100000001,610000003504,
0,s,Spine,2,2,1,100000000,610000003509,
0,s,Spine,9,3,1,100000002,610000003516,
0,s,Spine,9,3,1,100000002,610000003570,
0,s,Spine,1,1,1,,610000003725,
0,s,Spine,9,5,1,,610000003725,
0,s,Spine,2,1,1,,610000003726,
0,s,Spine,9,6,1,,610000003726,
0,s,Spine,7,4,1,,610000003727,
0,s,Spine,1,2,1,,610000003727,
0,s,Spine,4,2,1,,610000003727,
0,s,Spine,2,2,1,,610000003728,
0,s,Spine,8,4,1,,610000003728,
0,s,Spine,5,2,1,,610000003728,
0,s,Spine,4,2,1,,610000003729,
0,s,Spine,5,2,1,,610000003729,
0,s,Spine,6,3,1,,610000003729,
0,s,Spine,5,3,1,,610000003730,
0,s,Spine,5,2,1,,610000003730,
0,s,Spine,5,3,1,,610000003731,
0,s,Spine,5,2,1,,610000003731,
0,s,Spine,7,3,1,,610000003732,
0,s,Spine,4,3,1,,610000003732,
0,s,Spine,9,3,1,,610000003732,
0,s,Spine,7,4,1,,610000003733,
0,s,Spine,9,3,1,,610000003733,
0,s,Spine,12,4,1,,610000003733,
0,s,Spine,6,3,1,,610000003734,
0,s,Spine,12,5,1,,610000003734,
0,s,Spine,9,3,1,,610000003734,
0,s,Spine,2,2,1,,610000003735,
0,s,Spine,11,4,1,,610000003735,
0,s,Spine,10,3,1,,610000003735,
0,s,Spine,2,2,1,,610000003736,
0,s,Spine,1,2,1,,610000003736,
0,s,Spine,10,4,1,,610000003736,
0,s,Spine,1,1,1,,610000003737,
0,s,Spine,4,2,1,,610000003737,
0,s,Spine,10,4,1,,610000003737,
0,s,Spine,1,1,1,,610000003738,
0,s,Spine,5,3,1,,610000003738,
0,s,Spine,6,2,1,,610000003738,
0,s,Spine,6,2,1,,610000003739,
0,s,Spine,8,2,1,,610000003739,
0,s,Spine,5,2,1,,610000003740,
0,s,Spine,11,2,1,,610000003740,
0,s,Spine,2,1,1,,610000003741,
0,s,Spine,9,2,1,,610000003741,
0,s,Spine,9,3,1,,610000003742,
0,s,Spine,0,1,1,,610000003743,
0,s,Spine,11,5,1,,610000003743,
0,s,Spine,1,1,1,,610000003744,
0,s,Spine,11,5,1,,610000003744,
0,s,Spine,0,1,1,,610000003745,
0,s,Spine,12,5,1,,610000003745,
0,s,Spine,0,1,1,,610000003746,
0,s,Spine,13,5,1,,610000003746,
0,s,Spine,1,2,1,,610000003747,
0,s,Spine,13,5,1,,610000003747,
0,s,Spine,1,2,1,,610000003748,
0,s,Spine,13,5,1,,610000003748,
0,s,Spine,1,1,1,,610000003749,
0,s,Spine,0,1,1,,610000003750,
0,s,Spine,3,2,1,,610000003750,
0,s,Spine,2,2,1,,610000003751,
0,s,Spine,4,3,1,,610000003751,
0,s,Spine,5,3,1,,610000003752,
0,s,Spine,5,4,1,,610000003753,
0,s,Spine,6,3,1,,610000003753,
0,s,Spine,1,1,1,,610000003754,
0,s,Spine,7,5,1,,610000003754,
0,s,Spine,,,1,,610000003755,
0,s,Spine,8,4,1,,610000003755,
0,s,Spine,0,1,1,,610000003756,
0,s,Spine,,,1,,610000003756,
0,s,Spine,2,2,1,,610000003757,
0,s,Spine,3,1,1,,610000003758,
0,s,Spine,3,4,1,,610000003759,
0,s,Spine,3,4,1,,610000003760,
0,s,Spine,,,1,,610000003761,
0,s,Spine,,,1,,610000003766,
