
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
20113.4,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20113.4,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20113.4,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20113.5,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20113.5,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
20094,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20093.9,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20094,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20093.7,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20093.7,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
20137.6,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20138.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20137.7,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20138.4,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
20138.4,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
