
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
26092.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,100000000,610000003187,
26098.7,µm,Spine,Spine Terminal Pt Distance from Origin,13,5,1,100000000,610000003190,
26092.6,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,100000000,610000003192,
26102.1,µm,Spine,Spine Terminal Pt Distance from Origin,9,3,1,100000000,610000003195,
26094.4,µm,Spine,Spine Terminal Pt Distance from Origin,9,6,1,100000001,610000003200,
26092.5,µm,Spine,Spine Terminal Pt Distance from Origin,10,7,1,100000001,610000003203,
26097,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000001,610000003208,
26090.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000000,610000003210,
26131.6,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000003212,
26092.1,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000001,610000003220,
26100.4,µm,Spine,Spine Terminal Pt Distance from Origin,6,2,1,100000000,610000003222,
26096.5,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000003224,
26098.8,µm,Spine,Spine Terminal Pt Distance from Origin,11,5,1,100000000,610000003232,
26096.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000003234,
26099.6,µm,Spine,Spine Terminal Pt Distance from Origin,8,3,1,100000000,610000003241,
26091.7,µm,Spine,Spine Terminal Pt Distance from Origin,10,7,1,100000001,610000003244,
26087.4,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000000,610000003246,
26100,µm,Spine,Spine Terminal Pt Distance from Origin,8,2,1,100000000,610000003248,
26092,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000001,610000003258,
26094.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000003260,
26098.5,µm,Spine,Spine Terminal Pt Distance from Origin,11,5,1,100000000,610000003267,
26096.2,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000003269,
26107.8,µm,Spine,Spine Terminal Pt Distance from Origin,11,4,1,100000001,610000003276,
26095.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000003278,
26131.4,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000003284,
26132.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000002,610000003292,
26091.7,µm,Spine,Spine Terminal Pt Distance from Origin,10,7,1,100000001,610000003294,
26097.1,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000001,610000003298,
26108.2,µm,Spine,Spine Terminal Pt Distance from Origin,12,4,1,100000001,610000003302,
26132.3,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000002,610000003306,
26100.4,µm,Spine,Spine Terminal Pt Distance from Origin,10,2,1,100000000,610000003316,
26098.4,µm,Spine,Spine Terminal Pt Distance from Origin,11,5,1,100000000,610000003319,
26097,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000001,610000003321,
26094.8,µm,Spine,Spine Terminal Pt Distance from Origin,9,6,1,100000001,610000003323,
26108.9,µm,Spine,Spine Terminal Pt Distance from Origin,10,4,1,100000001,610000003328,
26096.2,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000001,610000003330,
26085.4,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,100000000,610000003332,
26088.7,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000000,610000003336,
26108.3,µm,Spine,Spine Terminal Pt Distance from Origin,12,4,1,100000001,610000003339,
26132.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000002,610000003343,
