
Spine Attachment Pt Diameter
 ==================== 
Spine Attachment Pt Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.446719,µm,Spine,0,1,1,100000000,610000003420,
0.325,µm,Spine,1,1,1,100000002,610000003423,
0.280818,µm,Spine,11,4,1,100000001,610000003425,
0.265332,µm,Spine,0,1,1,100000001,610000003430,
0.26706,µm,Spine,0,1,1,100000000,610000003435,
0.448983,µm,Spine,0,1,1,100000001,610000003439,
0.538281,µm,Spine,0,1,1,100000000,610000003442,
0.352895,µm,Spine,0,1,1,100000001,610000003446,
0.475821,µm,Spine,10,2,1,100000000,610000003448,
0.325,µm,Spine,0,1,1,100000000,610000003452,
0.351112,µm,Spine,0,1,1,100000000,610000003456,
0.568356,µm,Spine,2,1,1,100000001,610000003460,
0.434318,µm,Spine,3,1,1,100000001,610000003462,
0.414472,µm,Spine,0,1,1,100000000,610000003466,
0.43976,µm,Spine,0,1,1,100000001,610000003468,
0.422754,µm,Spine,0,1,1,100000001,610000003472,
0.439332,µm,Spine,0,1,1,100000000,610000003477,
0.298062,µm,Spine,0,1,1,100000000,610000003480,
0.356409,µm,Spine,0,1,1,100000000,610000003486,
0.47157,µm,Spine,0,1,1,100000000,610000003488,
0.420206,µm,Spine,5,2,1,100000000,610000003491,
0.325,µm,Spine,0,1,1,100000000,610000003493,
0.572037,µm,Spine,3,2,1,100000001,610000003504,
0.270364,µm,Spine,2,2,1,100000000,610000003509,
0.349121,µm,Spine,0,1,1,100000001,610000003511,
0.227805,µm,Spine,1,1,1,100000002,610000003514,
0.37544,µm,Spine,9,3,1,100000002,610000003516,
0.316488,µm,Spine,0,1,1,100000001,610000003518,
0.373226,µm,Spine,0,1,1,100000000,610000003521,
0.427216,µm,Spine,0,1,1,100000001,610000003525,
0.368875,µm,Spine,0,1,1,100000001,610000003531,
0.361816,µm,Spine,0,1,1,100000001,610000003534,
0.453438,µm,Spine,0,1,1,100000001,610000003536,
0.422309,µm,Spine,0,1,1,100000000,610000003540,
0.435257,µm,Spine,0,1,1,100000001,610000003542,
0.301858,µm,Spine,0,1,1,100000000,610000003544,
0.446418,µm,Spine,0,1,1,100000001,610000003549,
0.285144,µm,Spine,0,1,1,100000000,610000003554,
0.262383,µm,Spine,0,1,1,100000001,610000003556,
0.233594,µm,Spine,0,1,1,100000000,610000003559,
0.255565,µm,Spine,0,1,1,100000000,610000003561,
0.565136,µm,Spine,0,1,1,100000001,610000003563,
0.322552,µm,Spine,9,3,1,100000002,610000003570,
0.385454,µm,Spine,0,1,1,100000001,610000003572,
0.367019,µm,Spine,0,1,1,100000000,610000003576,
0.380273,µm,Spine,0,1,1,100000001,610000003583,
0.462582,µm,Spine,0,1,1,100000000,610000003588,
0.308925,µm,Spine,0,1,1,100000000,610000003595,
0.256696,µm,Spine,7,3,1,100000000,610000003619,
0.194257,µm,Spine,7,4,1,100000000,610000003620,
0.253363,µm,Spine,6,3,1,100000000,610000003621,
0.310266,µm,Spine,5,2,1,100000000,610000003622,
0.420206,µm,Spine,5,2,1,100000000,610000003623,
0.321047,µm,Spine,4,2,1,100000000,610000003624,
0.283868,µm,Spine,2,2,1,100000000,610000003625,
0.406884,µm,Spine,1,2,1,100000000,610000003626,
0.249952,µm,Spine,0,1,1,100000000,610000003627,
0.249952,µm,Spine,0,1,1,100000000,610000003628,
0.375246,µm,Spine,8,4,1,100000000,610000003629,
0.256637,µm,Spine,7,5,1,100000000,610000003630,
0.259256,µm,Spine,5,4,1,100000000,610000003631,
0.375771,µm,Spine,5,3,1,100000000,610000003632,
0.246864,µm,Spine,2,2,1,100000000,610000003633,
0.262734,µm,Spine,0,1,1,100000000,610000003634,
0.474823,µm,Spine,0,1,1,100000000,610000003635,
0.243124,µm,Spine,13,5,1,100000000,610000003646,
0.244132,µm,Spine,13,5,1,100000000,610000003647,
0.3286,µm,Spine,13,5,1,100000000,610000003648,
0.299663,µm,Spine,12,5,1,100000000,610000003649,
0.207467,µm,Spine,11,5,1,100000000,610000003650,
0.22496,µm,Spine,11,5,1,100000000,610000003651,
0.352178,µm,Spine,9,3,1,100000000,610000003652,
0.428263,µm,Spine,11,2,1,100000000,610000003653,
0.385627,µm,Spine,9,2,1,100000000,610000003654,
0.39598,µm,Spine,6,2,1,100000000,610000003655,
0.271007,µm,Spine,5,3,1,100000000,610000003656,
0.417628,µm,Spine,4,2,1,100000000,610000003657,
0.322468,µm,Spine,2,2,1,100000000,610000003658,
0.313384,µm,Spine,2,2,1,100000000,610000003659,
0.307521,µm,Spine,3,4,1,100000000,610000003663,
0.251582,µm,Spine,3,4,1,100000000,610000003664,
0.38571,µm,Spine,2,2,1,100000000,610000003665,
0.274548,µm,Spine,3,1,1,100000000,610000003666,
0.35574,µm,Spine,0,1,1,100000000,610000003667,
0.331614,µm,Spine,1,1,1,100000001,610000003673,
0.321812,µm,Spine,0,1,1,100000001,610000003674,
0.212624,µm,Spine,9,5,1,100000001,610000003675,
0.283427,µm,Spine,9,6,1,100000001,610000003676,
0.343332,µm,Spine,7,4,1,100000001,610000003677,
0.323588,µm,Spine,8,4,1,100000001,610000003678,
0.327571,µm,Spine,6,3,1,100000001,610000003679,
0.324017,µm,Spine,5,3,1,100000001,610000003680,
0.386812,µm,Spine,5,3,1,100000001,610000003681,
0.28124,µm,Spine,4,3,1,100000001,610000003682,
0.304982,µm,Spine,12,4,1,100000001,610000003683,
0.322636,µm,Spine,12,5,1,100000001,610000003684,
0.280818,µm,Spine,11,4,1,100000001,610000003685,
0.303281,µm,Spine,10,4,1,100000001,610000003686,
0.370157,µm,Spine,10,4,1,100000001,610000003687,
0.346812,µm,Spine,6,2,1,100000001,610000003688,
0.325,µm,Spine,8,2,1,100000001,610000003689,
0.290835,µm,Spine,5,2,1,100000001,610000003690,
0.33642,µm,Spine,2,1,1,100000001,610000003691,
0.436332,µm,Spine,0,1,1,100000001,610000003692,
0.311664,µm,Spine,6,3,1,100000001,610000003693,
0.26016,µm,Spine,5,3,1,100000001,610000003694,
0.249941,µm,Spine,4,3,1,100000001,610000003695,
0.382066,µm,Spine,3,2,1,100000001,610000003696,
0.460966,µm,Spine,1,1,1,100000001,610000003697,
0.359189,µm,Spine,1,2,1,100000001,610000003698,
0.284114,µm,Spine,1,2,1,100000001,610000003699,
0.574909,µm,Spine,0,1,1,100000001,610000003700,
0.574909,µm,Spine,0,1,1,100000001,610000003701,
0.352206,µm,Spine,1,1,1,100000001,610000003704,
0.303141,µm,Spine,10,3,1,100000002,610000003709,
0.322552,µm,Spine,9,3,1,100000002,610000003710,
0.325,µm,Spine,9,3,1,100000002,610000003711,
0.312047,µm,Spine,9,3,1,100000002,610000003712,
0.319471,µm,Spine,5,2,1,100000002,610000003713,
0.383326,µm,Spine,5,2,1,100000002,610000003714,
0.400705,µm,Spine,5,2,1,100000002,610000003715,
0.429612,µm,Spine,5,2,1,100000002,610000003716,
0.417682,µm,Spine,4,2,1,100000002,610000003717,
0.455912,µm,Spine,2,1,1,100000002,610000003718,
0.463305,µm,Spine,1,1,1,100000002,610000003719,
0.405588,µm,Spine,1,1,1,100000002,610000003720,
0.24375,µm,Spine,1,1,1,100000002,610000003721,
0.28596,µm,Spine,1,2,1,100000002,610000003722,
