
Spine Part Min Diameter Neck
 ==================== 
Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.268938,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000003187,
0.1625,µm,Spine,Spine Part Min Diameter,13,5,1,100000000,610000003190,
0,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000003192,
0.192993,µm,Spine,Spine Part Min Diameter,9,3,1,100000000,610000003195,
0.249495,µm,Spine,Spine Part Min Diameter,9,6,1,100000001,610000003200,
0.255035,µm,Spine,Spine Part Min Diameter,10,7,1,100000001,610000003203,
0.19795,µm,Spine,Spine Part Min Diameter,3,1,1,100000001,610000003208,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000003210,
0.416584,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003217,
0.290584,µm,Spine,Spine Part Min Diameter,2,2,1,100000001,610000003220,
0,µm,Spine,Spine Part Min Diameter,6,2,1,100000000,610000003222,
0.261321,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003229,
0,µm,Spine,Spine Part Min Diameter,11,5,1,100000000,610000003232,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003237,
0,µm,Spine,Spine Part Min Diameter,8,3,1,100000000,610000003241,
0.179114,µm,Spine,Spine Part Min Diameter,10,7,1,100000001,610000003244,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000000,610000003246,
0,µm,Spine,Spine Part Min Diameter,8,2,1,100000000,610000003248,
0.650358,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003254,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003258,
0.1625,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003262,
0.24375,µm,Spine,Spine Part Min Diameter,11,5,1,100000000,610000003267,
0.238631,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003271,
0.214593,µm,Spine,Spine Part Min Diameter,11,4,1,100000001,610000003276,
0.284375,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003282,
0.360349,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003288,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000003292,
0,µm,Spine,Spine Part Min Diameter,10,7,1,100000001,610000003294,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003298,
0,µm,Spine,Spine Part Min Diameter,12,4,1,100000001,610000003302,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003306,
0.352895,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003312,
0,µm,Spine,Spine Part Min Diameter,10,2,1,100000000,610000003316,
0.1625,µm,Spine,Spine Part Min Diameter,11,5,1,100000000,610000003319,
0,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000003321,
0,µm,Spine,Spine Part Min Diameter,9,6,1,100000001,610000003323,
0.263211,µm,Spine,Spine Part Min Diameter,10,4,1,100000001,610000003328,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003330,
0,µm,Spine,Spine Part Min Diameter,5,3,1,100000000,610000003332,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000000,610000003336,
0.283776,µm,Spine,Spine Part Min Diameter,12,4,1,100000001,610000003339,
0.349041,µm,Spine,Spine Part Min Diameter,4,2,1,100000002,610000003343,
0,µm,Spine,Spine Part Min Diameter,11,8,1,100000001,610000003345,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000001,610000003350,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003352,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000003354,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003356,
0.387027,µm,Spine,Spine Part Min Diameter,7,3,1,100000000,610000003359,
0.462582,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003365,
0,µm,Spine,Spine Part Min Diameter,4,3,1,100000001,610000003367,
0.462582,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003374,
0,µm,Spine,Spine Part Min Diameter,9,3,1,100000002,610000003377,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003383,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003388,
0.723684,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003392,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003394,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003398,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003402,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003405,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003407,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003409,
0.308925,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003415,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003420,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003423,
0,µm,Spine,Spine Part Min Diameter,11,4,1,100000001,610000003425,
0.396094,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003430,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003435,
0.385454,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003439,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003442,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003446,
0,µm,Spine,Spine Part Min Diameter,10,2,1,100000000,610000003448,
0.338904,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003452,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003456,
0,µm,Spine,Spine Part Min Diameter,2,1,1,100000001,610000003460,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000001,610000003462,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003466,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003468,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003472,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003477,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003480,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003486,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003488,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000000,610000003491,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003493,
0,µm,Spine,Spine Part Min Diameter,3,2,1,100000001,610000003504,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003509,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003511,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000003514,
0,µm,Spine,Spine Part Min Diameter,9,3,1,100000002,610000003516,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003518,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003521,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003525,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003531,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003534,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003536,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003540,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003542,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003544,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003549,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003554,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003556,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003559,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003561,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003563,
0,µm,Spine,Spine Part Min Diameter,9,3,1,100000002,610000003570,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003572,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003576,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003583,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003588,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003595,
0,µm,Spine,Spine Part Min Diameter,7,3,1,100000000,610000003619,
0,µm,Spine,Spine Part Min Diameter,7,4,1,100000000,610000003620,
0,µm,Spine,Spine Part Min Diameter,6,3,1,100000000,610000003621,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000000,610000003622,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000000,610000003623,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000003624,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003625,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000003626,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003627,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003628,
0,µm,Spine,Spine Part Min Diameter,8,4,1,100000000,610000003629,
0,µm,Spine,Spine Part Min Diameter,7,5,1,100000000,610000003630,
0,µm,Spine,Spine Part Min Diameter,5,4,1,100000000,610000003631,
0,µm,Spine,Spine Part Min Diameter,5,3,1,100000000,610000003632,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003633,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003634,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003635,
0,µm,Spine,Spine Part Min Diameter,13,5,1,100000000,610000003646,
0,µm,Spine,Spine Part Min Diameter,13,5,1,100000000,610000003647,
0,µm,Spine,Spine Part Min Diameter,13,5,1,100000000,610000003648,
0,µm,Spine,Spine Part Min Diameter,12,5,1,100000000,610000003649,
0,µm,Spine,Spine Part Min Diameter,11,5,1,100000000,610000003650,
0,µm,Spine,Spine Part Min Diameter,11,5,1,100000000,610000003651,
0,µm,Spine,Spine Part Min Diameter,9,3,1,100000000,610000003652,
0,µm,Spine,Spine Part Min Diameter,11,2,1,100000000,610000003653,
0,µm,Spine,Spine Part Min Diameter,9,2,1,100000000,610000003654,
0,µm,Spine,Spine Part Min Diameter,6,2,1,100000000,610000003655,
0,µm,Spine,Spine Part Min Diameter,5,3,1,100000000,610000003656,
0,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000003657,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003658,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003659,
0,µm,Spine,Spine Part Min Diameter,3,4,1,100000000,610000003663,
0,µm,Spine,Spine Part Min Diameter,3,4,1,100000000,610000003664,
0,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000003665,
0,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000003666,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000003667,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003673,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003674,
0,µm,Spine,Spine Part Min Diameter,9,5,1,100000001,610000003675,
0,µm,Spine,Spine Part Min Diameter,9,6,1,100000001,610000003676,
0,µm,Spine,Spine Part Min Diameter,7,4,1,100000001,610000003677,
0,µm,Spine,Spine Part Min Diameter,8,4,1,100000001,610000003678,
0,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000003679,
0,µm,Spine,Spine Part Min Diameter,5,3,1,100000001,610000003680,
0,µm,Spine,Spine Part Min Diameter,5,3,1,100000001,610000003681,
0,µm,Spine,Spine Part Min Diameter,4,3,1,100000001,610000003682,
0,µm,Spine,Spine Part Min Diameter,12,4,1,100000001,610000003683,
0,µm,Spine,Spine Part Min Diameter,12,5,1,100000001,610000003684,
0,µm,Spine,Spine Part Min Diameter,11,4,1,100000001,610000003685,
0,µm,Spine,Spine Part Min Diameter,10,4,1,100000001,610000003686,
0,µm,Spine,Spine Part Min Diameter,10,4,1,100000001,610000003687,
0,µm,Spine,Spine Part Min Diameter,6,2,1,100000001,610000003688,
0,µm,Spine,Spine Part Min Diameter,8,2,1,100000001,610000003689,
0,µm,Spine,Spine Part Min Diameter,5,2,1,100000001,610000003690,
0,µm,Spine,Spine Part Min Diameter,2,1,1,100000001,610000003691,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003692,
0,µm,Spine,Spine Part Min Diameter,6,3,1,100000001,610000003693,
0,µm,Spine,Spine Part Min Diameter,5,3,1,100000001,610000003694,
0,µm,Spine,Spine Part Min Diameter,4,3,1,100000001,610000003695,
0,µm,Spine,Spine Part Min Diameter,3,2,1,100000001,610000003696,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003697,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003698,
0,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000003699,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003700,
0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000003701,
0,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000003704,
0,µm,Spine,Spine Part Min Diameter,10,3,1,100000002,610000003709,
0,µm,Spine,Spine Part Min Diameter,9,3,1,100000002,610000003710,
