
Soma Center of Image Mass Ch=4 Img=1
 ==================== 
Soma Center of Image Mass X,Soma Center of Image Mass Y,Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
-18208.4,15665.3,1497.02,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
-18189.6,15657.9,1497.32,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
-18179.1,15635.2,1495.91,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
