
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
13.0312,,Spine,2,4,Image 1,1,1,100000002,610000002341,
13.0312,,Spine,2,7,Image 1,3,1,100000002,610000002343,
19.0156,,Spine,2,2,Image 1,3,1,100000001,610000002345,
32.0312,,Spine,2,7,Image 1,3,1,100000000,610000002349,
28.0078,,Spine,2,3,Image 1,1,1,100000001,610000002351,
44.5625,,Spine,2,1,Image 1,1,1,100000001,610000002356,
19.5312,,Spine,2,2,Image 1,2,1,100000002,610000002359,
21.5156,,Spine,2,2,Image 1,3,1,100000001,610000002362,
15.0078,,Spine,2,5,Image 1,1,1,100000002,610000002364,
48.5312,,Spine,2,5,Image 1,1,1,100000002,610000002370,
33.0625,,Spine,2,1,Image 1,2,1,100000001,610000002373,
8.00781,,Spine,2,2,Image 1,2,1,100000002,610000002375,
30.0156,,Spine,2,7,Image 1,3,1,100000002,610000002378,
33,,Spine,2,6,Image 1,3,1,100000002,610000002380,
10.0312,,Spine,2,7,Image 1,3,1,100000002,610000002382,
42.0312,,Spine,2,3,Image 1,2,1,100000002,610000002386,
22.0312,,Spine,2,7,Image 1,3,1,100000002,610000002388,
25.0625,,Spine,2,4,Image 1,2,1,100000001,610000002390,
28.0625,,Spine,2,1,Image 1,1,1,100000002,610000002394,
26.0312,,Spine,2,5,Image 1,2,1,100000000,610000002396,
14.0625,,Spine,2,0,Image 1,1,1,100000002,610000002398,
25.0312,,Spine,2,4,Image 1,1,1,100000001,610000002400,
17.0312,,Spine,2,4,Image 1,2,1,100000002,610000002402,
13.0312,,Spine,2,2,Image 1,3,1,100000002,610000002405,
61.5312,,Spine,2,0,Image 1,1,1,100000000,610000002415,
22.0156,,Spine,2,2,Image 1,2,1,100000002,610000002417,
23.0312,,Spine,2,4,Image 1,2,1,100000001,610000002421,
20.0312,,Spine,2,2,Image 1,2,1,100000002,610000002424,
28.0312,,Spine,2,2,Image 1,1,1,100000002,610000002426,
23.0078,,Spine,2,7,Image 1,3,1,100000002,610000002428,
13.0625,,Spine,2,3,Image 1,2,1,100000002,610000002430,
16.0312,,Spine,2,4,Image 1,2,1,100000001,610000002432,
37.0156,,Spine,2,7,Image 1,3,1,100000002,610000002434,
32.0312,,Spine,2,4,Image 1,3,1,100000001,610000002438,
48.0625,,Spine,2,8,Image 1,5,1,100000002,610000002444,
43.5625,,Spine,2,1,Image 1,2,1,100000001,610000002447,
24.0625,,Spine,2,2,Image 1,2,1,100000002,610000002451,
57.0625,,Spine,2,3,Image 1,2,1,100000001,610000002453,
63.125,,Spine,2,3,Image 1,2,1,100000002,610000002457,
35.0625,,Spine,2,1,Image 1,2,1,100000002,610000002459,
84.0625,,Spine,2,0,Image 1,1,1,100000001,610000002468,
19.0312,,Spine,2,3,Image 1,2,1,100000000,610000002470,
26.0625,,Spine,2,4,Image 1,3,1,100000002,610000002474,
33.0625,,Spine,2,0,Image 1,1,1,100000001,610000002478,
31.0312,,Spine,2,3,Image 1,4,1,100000001,610000002480,
60.0625,,Spine,2,1,Image 1,1,1,100000002,610000002483,
22.0625,,Spine,2,1,Image 1,1,1,100000002,610000002485,
33.0625,,Spine,2,2,Image 1,2,1,100000002,610000002488,
20.5312,,Spine,2,2,Image 1,2,1,100000002,610000002493,
53.0625,,Spine,2,0,Image 1,1,1,100000000,610000002497,
20.0156,,Spine,2,4,Image 1,2,1,100000001,610000002499,
34.0625,,Spine,2,1,Image 1,2,1,100000001,610000002504,
39.5625,,Spine,2,0,Image 1,1,1,100000002,610000002507,
14.0625,,Spine,2,4,Image 1,2,1,100000002,610000002509,
18.0312,,Spine,2,4,Image 1,2,1,100000002,610000002512,
40.0078,,Spine,2,6,Image 1,3,1,100000002,610000002514,
10.0312,,Spine,2,2,Image 1,2,1,100000002,610000002516,
9.00781,,Spine,2,2,Image 1,2,1,100000002,610000002518,
20.5312,,Spine,2,0,Image 1,1,1,100000002,610000002521,
42.0625,,Spine,2,2,Image 1,1,1,100000002,610000002524,
11.0625,,Spine,2,4,Image 1,2,1,100000002,610000002526,
31.5156,,Spine,2,5,Image 1,2,1,100000001,610000002529,
15.0078,,Spine,2,6,Image 1,3,1,100000002,610000002531,
29.0312,,Spine,2,5,Image 1,3,1,100000001,610000002535,
22.0312,,Spine,2,0,Image 1,1,1,100000000,610000002537,
56.125,,Spine,2,3,Image 1,2,1,100000002,610000002539,
13.0625,,Spine,2,4,Image 1,2,1,100000002,610000002541,
27.0312,,Spine,2,2,Image 1,3,1,100000002,610000002545,
14.0625,,Spine,2,3,Image 1,3,1,100000000,610000002548,
50.0625,,Spine,2,4,Image 1,3,1,100000001,610000002551,
70.5312,,Spine,2,0,Image 1,1,1,100000000,610000002557,
10.0156,,Spine,2,3,Image 1,1,1,100000001,610000002560,
31.0312,,Spine,2,7,Image 1,4,1,100000002,610000002563,
73.0156,,Spine,2,0,Image 1,1,1,100000000,610000002569,
20.0625,,Spine,2,3,Image 1,2,1,100000002,610000002571,
52.0625,,Spine,2,4,Image 1,3,1,100000002,610000002573,
38.0625,,Spine,2,5,Image 1,3,1,100000002,610000002578,
19.0078,,Spine,2,7,Image 1,3,1,100000000,610000002580,
34.5625,,Spine,2,4,Image 1,3,1,100000001,610000002583,
19,,Spine,2,2,Image 1,3,1,100000001,610000002585,
22.0312,,Spine,2,1,Image 1,1,1,100000001,610000002587,
35.0625,,Spine,2,3,Image 1,2,1,100000002,610000002590,
