
Soma Ellipsoid Axis Length B
 ==================== 
Soma Ellipsoid Axis Length B,Unit,Category,Time,FilamentID,ID,
1.45274,µm,Soma,1,100000000,800000000,
1.31001,µm,Soma,1,100000001,800000001,
1.14187,µm,Soma,1,100000002,800000002,
