
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1497,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1497.03,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1497.02,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1497.02,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1497.02,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1497.38,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1497.4,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1497.4,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1497.32,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1497.32,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1495.66,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1495.45,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1495.45,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1495.91,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1495.92,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
