
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
26,,Segment,3,4,Image 1,2,1,100000001,510000001319,
0,,Segment,3,6,Image 1,3,1,100000002,510000001323,
26,,Segment,3,5,Image 1,2,1,100000001,510000001326,
23,,Segment,3,5,Image 1,4,1,100000002,510000001329,
0,,Segment,3,4,Image 1,3,1,100000001,510000001345,
61,,Segment,3,4,Image 1,2,1,100000001,510000001347,
0,,Segment,3,2,Image 1,2,1,100000001,510000001349,
0,,Segment,3,4,Image 1,3,1,100000002,510000001367,
23,,Segment,3,1,Image 1,2,1,100000001,510000001393,
0,,Segment,3,2,Image 1,3,1,100000002,510000001407,
48,,Segment,3,1,Image 1,2,1,100000002,510000001414,
58,,Segment,3,0,Image 1,1,1,100000002,510000001429,
34,,Segment,3,3,Image 1,3,1,100000002,510000001456,
53,,Segment,3,2,Image 1,2,1,100000002,510000001468,
92,,Segment,3,1,Image 1,1,1,100000002,510000001474,
81,,Segment,3,0,Image 1,1,1,100000002,510000001487,
10,,Segment,3,0,Image 1,1,1,100000002,510000001518,
23,,Segment,3,3,Image 1,3,1,100000002,510000001525,
14,,Segment,3,3,Image 1,3,1,100000002,510000001532,
19,,Segment,3,4,Image 1,2,1,100000002,510000001536,
7,,Segment,3,2,Image 1,3,1,100000002,510000001546,
30,,Segment,3,2,Image 1,3,1,100000002,510000001552,
28,,Segment,3,3,Image 1,2,1,100000002,510000001574,
41,,Segment,3,2,Image 1,1,1,100000002,510000001576,
21,,Segment,3,1,Image 1,1,1,100000002,510000001585,
51,,Segment,3,3,Image 1,3,1,100000002,510000001590,
54,,Segment,3,3,Image 1,1,1,100000002,510000001598,
60,,Segment,3,3,Image 1,2,1,100000002,510000001605,
0,,Segment,3,2,Image 1,2,1,100000002,510000001617,
66,,Segment,3,3,Image 1,2,1,100000002,510000001620,
20,,Segment,3,0,Image 1,1,1,100000000,510000001629,
58,,Segment,3,1,Image 1,1,1,100000000,510000001632,
23,,Segment,3,2,Image 1,2,1,100000001,510000001634,
0,,Segment,3,2,Image 1,1,1,100000002,510000001637,
20,,Segment,3,2,Image 1,2,1,100000002,510000001642,
84,,Segment,3,2,Image 1,2,1,100000002,510000001644,
