
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1494.54,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000002029,
1493.31,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000002048,
1494.36,µm,Spine,Spine Attachment Pt Position,4,2,1,100000002,610000002111,
1496.3,µm,Spine,Spine Attachment Pt Position,7,3,1,100000002,610000002128,
1493.95,µm,Spine,Spine Attachment Pt Position,7,4,1,100000002,610000002139,
1493.89,µm,Spine,Spine Attachment Pt Position,4,2,1,100000000,610000002156,
1494.28,µm,Spine,Spine Attachment Pt Position,4,4,1,100000000,610000002195,
1497.58,µm,Spine,Spine Attachment Pt Position,5,1,1,100000002,610000002210,
1494.42,µm,Spine,Spine Attachment Pt Position,4,2,1,100000001,610000002215,
1494.45,µm,Spine,Spine Attachment Pt Position,4,1,1,100000001,610000002217,
1495.47,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000002234,
1496.62,µm,Spine,Spine Attachment Pt Position,3,1,1,100000002,610000002243,
1497.03,µm,Spine,Spine Attachment Pt Position,2,3,1,100000002,610000002247,
1494.07,µm,Spine,Spine Attachment Pt Position,4,3,1,100000002,610000002268,
1495.17,µm,Spine,Spine Attachment Pt Position,3,3,1,100000002,610000002270,
1496.43,µm,Spine,Spine Attachment Pt Position,3,3,1,100000000,610000002272,
1496.28,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000002275,
1496.54,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000002280,
1497.06,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000002283,
1497.32,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000002285,
1497.15,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000002289,
1494.24,µm,Spine,Spine Attachment Pt Position,4,4,1,100000000,610000002306,
1497.56,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000002313,
1496.03,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000002318,
1496,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000002321,
1496.78,µm,Spine,Spine Attachment Pt Position,2,3,1,100000001,610000002336,
1496.93,µm,Spine,Spine Attachment Pt Position,4,1,1,100000002,610000002341,
1494.66,µm,Spine,Spine Attachment Pt Position,3,1,1,100000001,610000002351,
1497.14,µm,Spine,Spine Attachment Pt Position,5,1,1,100000002,610000002364,
1496.3,µm,Spine,Spine Attachment Pt Position,7,3,1,100000002,610000002388,
1494.93,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000002398,
1495.88,µm,Spine,Spine Attachment Pt Position,2,2,1,100000002,610000002417,
1495.7,µm,Spine,Spine Attachment Pt Position,2,2,1,100000002,610000002424,
