
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.185159,µm,Spine,7,3,1,100000002,610000002002,
0.207539,µm,Spine,3,2,1,100000002,610000002008,
0.281046,µm,Spine,2,2,1,100000000,610000002012,
0.247317,µm,Spine,8,5,1,100000002,610000002018,
0.253642,µm,Spine,7,3,1,100000002,610000002020,
0.21823,µm,Spine,3,2,1,100000002,610000002025,
0.387139,µm,Spine,3,2,1,100000000,610000002029,
0.162331,µm,Spine,4,4,1,100000000,610000002031,
0.293158,µm,Spine,2,2,1,100000000,610000002035,
0.235589,µm,Spine,5,1,1,100000002,610000002045,
0.193158,µm,Spine,5,2,1,100000001,610000002048,
0.215803,µm,Spine,1,2,1,100000001,610000002051,
0.21823,µm,Spine,3,2,1,100000002,610000002056,
0.423341,µm,Spine,7,3,1,100000002,610000002059,
0.352962,µm,Spine,3,1,1,100000002,610000002064,
0.260425,µm,Spine,7,3,1,100000002,610000002068,
0.207986,µm,Spine,7,3,1,100000002,610000002071,
0.260302,µm,Spine,7,3,1,100000002,610000002076,
0.33503,µm,Spine,0,1,1,100000002,610000002080,
0.230814,µm,Spine,7,4,1,100000002,610000002082,
0.444191,µm,Spine,1,1,1,100000002,610000002086,
0.252445,µm,Spine,3,4,1,100000001,610000002089,
0.244829,µm,Spine,5,1,1,100000002,610000002094,
0.162331,µm,Spine,4,2,1,100000002,610000002097,
0.431312,µm,Spine,4,2,1,100000002,610000002100,
0.2194,µm,Spine,0,1,1,100000001,610000002102,
0.293311,µm,Spine,7,3,1,100000002,610000002106,
0.292658,µm,Spine,4,3,1,100000000,610000002109,
0.298815,µm,Spine,4,2,1,100000002,610000002111,
0.418728,µm,Spine,0,1,1,100000001,610000002118,
0.360579,µm,Spine,1,2,1,100000001,610000002122,
0.241625,µm,Spine,7,3,1,100000002,610000002128,
0.256508,µm,Spine,3,2,1,100000001,610000002132,
0.282434,µm,Spine,6,3,1,100000002,610000002136,
0.191128,µm,Spine,7,4,1,100000002,610000002139,
0.225386,µm,Spine,3,2,1,100000002,610000002142,
0.308405,µm,Spine,2,1,1,100000002,610000002144,
0.274648,µm,Spine,0,1,1,100000001,610000002154,
0.162331,µm,Spine,4,2,1,100000000,610000002156,
0.303311,µm,Spine,1,1,1,100000000,610000002165,
0.311766,µm,Spine,0,1,1,100000001,610000002172,
0.162331,µm,Spine,7,3,1,100000002,610000002175,
0.268012,µm,Spine,3,3,1,100000002,610000002178,
0.317861,µm,Spine,7,3,1,100000002,610000002182,
0.284057,µm,Spine,1,2,1,100000000,610000002184,
0.460576,µm,Spine,2,1,1,100000001,610000002189,
0.410853,µm,Spine,4,2,1,100000002,610000002193,
0.31654,µm,Spine,4,4,1,100000000,610000002195,
0.38088,µm,Spine,3,2,1,100000002,610000002197,
0.316267,µm,Spine,3,2,1,100000002,610000002200,
0.2066,µm,Spine,5,2,1,100000001,610000002206,
