
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.238112,µm,Spine,4,2,1,100000001,610000005245,
0.238112,µm,Spine,4,2,1,100000001,610000005257,
0.217217,µm,Spine,4,2,1,100000001,610000005268,
0.230124,µm,Spine,13,5,1,100000003,610000005274,
0.180761,µm,Spine,4,2,1,100000001,610000005278,
0.221551,µm,Spine,5,3,1,100000000,610000005285,
0.216374,µm,Spine,5,3,1,100000000,610000005290,
0.31387,µm,Spine,1,2,1,100000003,610000005295,
0.235494,µm,Spine,7,4,1,100000003,610000005300,
0.164193,µm,Spine,7,5,1,100000003,610000005304,
0.328574,µm,Spine,9,4,1,100000000,610000005309,
0.273287,µm,Spine,11,5,1,100000000,610000005312,
0.183363,µm,Spine,7,4,1,100000001,610000005317,
0.302477,µm,Spine,0,1,1,100000000,610000005319,
0.208316,µm,Spine,5,4,1,100000000,610000005321,
0.256474,µm,Spine,6,4,1,100000003,610000005324,
0.284375,µm,Spine,3,1,1,100000000,610000005327,
0.176052,µm,Spine,1,2,1,100000003,610000005330,
0.203697,µm,Spine,9,5,1,100000000,610000005333,
0.251501,µm,Spine,8,4,1,100000000,610000005335,
0.268436,µm,Spine,13,5,1,100000003,610000005339,
0.287993,µm,Spine,5,3,1,100000000,610000005342,
0.437786,µm,Spine,1,2,1,100000003,610000005345,
0.270832,µm,Spine,3,2,1,100000003,610000005347,
0.299177,µm,Spine,1,1,1,100000000,610000005352,
0.29411,µm,Spine,7,4,1,100000003,610000005357,
0.30794,µm,Spine,3,1,1,100000000,610000005359,
0.365625,µm,Spine,4,2,1,100000001,610000005362,
0.262782,µm,Spine,3,2,1,100000003,610000005365,
0.24375,µm,Spine,3,3,1,100000003,610000005367,
0.284878,µm,Spine,2,2,1,100000000,610000005370,
0.289857,µm,Spine,2,2,1,100000003,610000005373,
0,µm,Spine,1,2,1,100000003,610000005375,
0.247361,µm,Spine,4,4,1,100000000,610000005377,
0.201892,µm,Spine,3,3,1,100000000,610000005379,
0.329389,µm,Spine,3,1,1,100000000,610000005382,
0.3695,µm,Spine,0,1,1,100000002,610000005385,
0.29499,µm,Spine,3,1,1,100000003,610000005388,
0.246609,µm,Spine,6,4,1,100000003,610000005390,
0.192969,µm,Spine,2,3,1,100000000,610000005392,
0.291146,µm,Spine,3,1,1,100000003,610000005396,
0.290232,µm,Spine,0,1,1,100000003,610000005398,
0.239848,µm,Spine,6,2,1,100000001,610000005400,
0.332237,µm,Spine,5,3,1,100000000,610000005402,
0.234894,µm,Spine,1,1,1,100000003,610000005407,
0.447022,µm,Spine,0,1,1,100000000,610000005413,
0.549173,µm,Spine,0,1,1,100000001,610000005421,
0.235494,µm,Spine,7,4,1,100000003,610000005426,
0.32373,µm,Spine,8,3,1,100000001,610000005429,
0.23796,µm,Spine,1,2,1,100000003,610000005431,
0.339991,µm,Spine,7,3,1,100000000,610000005433,
0.294538,µm,Spine,12,6,1,100000003,610000005439,
0.259536,µm,Spine,0,1,1,100000001,610000005448,
0.204687,µm,Spine,5,4,1,100000000,610000005450,
0.200336,µm,Spine,11,5,1,100000003,610000005453,
0.38337,µm,Spine,6,2,1,100000001,610000005455,
0.381658,µm,Spine,0,1,1,100000001,610000005463,
0.19043,µm,Spine,6,4,1,100000003,610000005465,
0.333544,µm,Spine,0,1,1,100000000,610000005472,
0,µm,Spine,0,1,1,100000003,610000005474,
0.434763,µm,Spine,0,1,1,100000000,610000005478,
0.512256,µm,Spine,0,1,1,100000001,610000005483,
0.332237,µm,Spine,5,3,1,100000000,610000005485,
0.318867,µm,Spine,0,1,1,100000002,610000005488,
0.269795,µm,Spine,3,1,1,100000000,610000005491,
0.23469,µm,Spine,1,2,1,100000003,610000005493,
0,µm,Spine,3,1,1,100000003,610000005495,
0.397326,µm,Spine,0,1,1,100000003,610000005501,
0.314844,µm,Spine,6,4,1,100000003,610000005503,
0.184883,µm,Spine,1,1,1,100000003,610000005505,
