
Soma BoundingBoxAA Length Y
 ==================== 
Soma BoundingBoxAA Length Y,Unit,Category,Collection,Time,FilamentID,ID,
2.79492,µm,Soma,Soma BoundingBoxAA Length,1,100000000,800000000,
2.98828,µm,Soma,Soma BoundingBoxAA Length,1,100000001,800000001,
2.92383,µm,Soma,Soma BoundingBoxAA Length,1,100000002,800000002,
2.33984,µm,Soma,Soma BoundingBoxAA Length,1,100000003,800000003,
