
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
19630.3,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19630.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19629.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19630.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19629.1,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19638.6,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19638.6,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19638.6,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19638.6,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19638.6,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19657,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19657,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19657.3,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19657,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19657.6,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19651.2,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000003,
19651.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000003,
19651.9,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
19651.1,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000003,
19651.9,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000003,
