
Soma Position
 ==================== 
Soma Position X,Soma Position Y,Soma Position Z,Unit,Category,Collection,Time,FilamentID,ID,
-16947.8,19630.2,1473.87,µm,Soma,Soma Position,1,100000000,800000000,
-16973,19638.6,1472.12,µm,Soma,Soma Position,1,100000001,800000001,
-16955.1,19657,1473.84,µm,Soma,Soma Position,1,100000002,800000002,
-16946.4,19651.1,1473.63,µm,Soma,Soma Position,1,100000003,800000003,
