
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
9.928e+07,,Surface,3,Image 1,1,0,
4.84765e+07,,Surface,3,Image 1,1,1,
1.42077e+07,,Surface,3,Image 1,1,2,
1.00012e+08,,Surface,3,Image 1,1,3,
