
Spine Position Y
 ==================== 
Spine Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19635.7,µm,Spine,Spine Position,4,2,1,100000001,610000005245,
19635.7,µm,Spine,Spine Position,4,2,1,100000001,610000005257,
19635.8,µm,Spine,Spine Position,4,2,1,100000001,610000005268,
19643.5,µm,Spine,Spine Position,13,5,1,100000003,610000005274,
19636.1,µm,Spine,Spine Position,4,2,1,100000001,610000005278,
19632.5,µm,Spine,Spine Position,5,3,1,100000000,610000005285,
19632.7,µm,Spine,Spine Position,5,3,1,100000000,610000005290,
19648.8,µm,Spine,Spine Position,1,2,1,100000003,610000005295,
19647.7,µm,Spine,Spine Position,7,4,1,100000003,610000005300,
19646.9,µm,Spine,Spine Position,7,5,1,100000003,610000005304,
19636.6,µm,Spine,Spine Position,9,4,1,100000000,610000005309,
19637.5,µm,Spine,Spine Position,11,5,1,100000000,610000005312,
19638.3,µm,Spine,Spine Position,7,4,1,100000001,610000005317,
19632.6,µm,Spine,Spine Position,0,1,1,100000000,610000005319,
19632.7,µm,Spine,Spine Position,5,4,1,100000000,610000005321,
19650.9,µm,Spine,Spine Position,6,4,1,100000003,610000005324,
19634.8,µm,Spine,Spine Position,3,1,1,100000000,610000005327,
19648.9,µm,Spine,Spine Position,1,2,1,100000003,610000005330,
19631.8,µm,Spine,Spine Position,9,5,1,100000000,610000005333,
19637.2,µm,Spine,Spine Position,8,4,1,100000000,610000005335,
19643.5,µm,Spine,Spine Position,13,5,1,100000003,610000005339,
19632.6,µm,Spine,Spine Position,5,3,1,100000000,610000005342,
19648.9,µm,Spine,Spine Position,1,2,1,100000003,610000005345,
19646.8,µm,Spine,Spine Position,3,2,1,100000003,610000005347,
19630.5,µm,Spine,Spine Position,1,1,1,100000000,610000005352,
19647.7,µm,Spine,Spine Position,7,4,1,100000003,610000005357,
19630.6,µm,Spine,Spine Position,3,1,1,100000000,610000005359,
19636.8,µm,Spine,Spine Position,4,2,1,100000001,610000005362,
19649.5,µm,Spine,Spine Position,3,2,1,100000003,610000005365,
19649.3,µm,Spine,Spine Position,3,3,1,100000003,610000005367,
19636.4,µm,Spine,Spine Position,2,2,1,100000000,610000005370,
19652.7,µm,Spine,Spine Position,2,2,1,100000003,610000005373,
19651.9,µm,Spine,Spine Position,1,2,1,100000003,610000005375,
19633,µm,Spine,Spine Position,4,4,1,100000000,610000005377,
19631.9,µm,Spine,Spine Position,3,3,1,100000000,610000005379,
19626.7,µm,Spine,Spine Position,3,1,1,100000000,610000005382,
19657.3,µm,Spine,Spine Position,0,1,1,100000002,610000005385,
19647.4,µm,Spine,Spine Position,3,1,1,100000003,610000005388,
19650.7,µm,Spine,Spine Position,6,4,1,100000003,610000005390,
19630,µm,Spine,Spine Position,2,3,1,100000000,610000005392,
19647.6,µm,Spine,Spine Position,3,1,1,100000003,610000005396,
19652.3,µm,Spine,Spine Position,0,1,1,100000003,610000005398,
19637.3,µm,Spine,Spine Position,6,2,1,100000001,610000005400,
19632.6,µm,Spine,Spine Position,5,3,1,100000000,610000005402,
19651,µm,Spine,Spine Position,1,1,1,100000003,610000005407,
19630.5,µm,Spine,Spine Position,0,1,1,100000000,610000005413,
19638.9,µm,Spine,Spine Position,0,1,1,100000001,610000005421,
19647.7,µm,Spine,Spine Position,7,4,1,100000003,610000005426,
19636.2,µm,Spine,Spine Position,8,3,1,100000001,610000005429,
19655.8,µm,Spine,Spine Position,1,2,1,100000003,610000005431,
19637.5,µm,Spine,Spine Position,7,3,1,100000000,610000005433,
19646.1,µm,Spine,Spine Position,12,6,1,100000003,610000005439,
19638.1,µm,Spine,Spine Position,0,1,1,100000001,610000005448,
19640.8,µm,Spine,Spine Position,5,4,1,100000000,610000005450,
19645,µm,Spine,Spine Position,11,5,1,100000003,610000005453,
19637.4,µm,Spine,Spine Position,6,2,1,100000001,610000005455,
19639.1,µm,Spine,Spine Position,0,1,1,100000001,610000005463,
19650.3,µm,Spine,Spine Position,6,4,1,100000003,610000005465,
19630.6,µm,Spine,Spine Position,0,1,1,100000000,610000005472,
