
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1474.1,µm,Segment,Segment Position,1,2,1,100000003,510000001324,
1473.93,µm,Segment,Segment Position,0,1,1,100000003,510000001349,
1472.16,µm,Segment,Segment Position,4,3,1,100000003,510000001358,
1473.35,µm,Segment,Segment Position,3,3,1,100000003,510000001364,
1474.2,µm,Segment,Segment Position,1,1,1,100000003,510000001369,
1476.15,µm,Segment,Segment Position,6,2,1,100000000,510000001398,
1475.47,µm,Segment,Segment Position,5,1,1,100000000,510000001411,
1474.61,µm,Segment,Segment Position,4,1,1,100000000,510000001419,
1474.43,µm,Segment,Segment Position,3,1,1,100000000,510000001437,
1474.51,µm,Segment,Segment Position,2,1,1,100000000,510000001449,
1474.28,µm,Segment,Segment Position,1,1,1,100000000,510000001461,
1474.06,µm,Segment,Segment Position,0,1,1,100000000,510000001472,
1474.67,µm,Segment,Segment Position,14,8,1,100000000,510000001496,
1474.39,µm,Segment,Segment Position,13,8,1,100000000,510000001504,
1474.01,µm,Segment,Segment Position,12,7,1,100000000,510000001512,
1473.97,µm,Segment,Segment Position,11,6,1,100000000,510000001514,
1473.95,µm,Segment,Segment Position,10,5,1,100000000,510000001534,
1472.65,µm,Segment,Segment Position,9,4,1,100000000,510000001589,
1472.44,µm,Segment,Segment Position,8,4,1,100000000,510000001647,
1472.39,µm,Segment,Segment Position,7,3,1,100000000,510000001663,
1472.48,µm,Segment,Segment Position,6,3,1,100000000,510000001674,
1472.69,µm,Segment,Segment Position,5,3,1,100000000,510000001677,
1472.8,µm,Segment,Segment Position,4,3,1,100000000,510000001683,
1472.47,µm,Segment,Segment Position,3,2,1,100000000,510000001710,
1472.28,µm,Segment,Segment Position,2,2,1,100000000,510000001730,
1472.72,µm,Segment,Segment Position,1,1,1,100000000,510000001741,
1473.02,µm,Segment,Segment Position,0,1,1,100000000,510000001749,
1475.83,µm,Segment,Segment Position,14,9,1,100000000,510000001782,
1474.15,µm,Segment,Segment Position,13,8,1,100000000,510000001786,
1473.95,µm,Segment,Segment Position,13,7,1,100000000,510000001791,
1472.46,µm,Segment,Segment Position,12,6,1,100000000,510000001826,
1474.07,µm,Segment,Segment Position,11,5,1,100000000,510000001839,
1474.17,µm,Segment,Segment Position,10,4,1,100000000,510000001843,
1471.87,µm,Segment,Segment Position,9,5,1,100000000,510000001845,
1471.84,µm,Segment,Segment Position,8,3,1,100000000,510000001860,
1472.02,µm,Segment,Segment Position,8,4,1,100000000,510000001864,
1473.44,µm,Segment,Segment Position,5,4,1,100000000,510000001878,
1472.19,µm,Segment,Segment Position,7,4,1,100000000,510000001890,
1472.58,µm,Segment,Segment Position,6,4,1,100000000,510000001896,
1475.53,µm,Segment,Segment Position,5,3,1,100000003,510000001924,
1475.57,µm,Segment,Segment Position,4,2,1,100000003,510000001954,
1476.11,µm,Segment,Segment Position,2,2,1,100000003,510000001970,
1475.63,µm,Segment,Segment Position,1,1,1,100000003,510000002002,
1474.77,µm,Segment,Segment Position,0,1,1,100000003,510000002020,
1475.72,µm,Segment,Segment Position,5,2,1,100000003,510000002047,
1473.45,µm,Segment,Segment Position,6,3,1,100000002,510000002066,
1474.06,µm,Segment,Segment Position,5,2,1,100000002,510000002071,
1474.56,µm,Segment,Segment Position,4,2,1,100000002,510000002103,
1474.94,µm,Segment,Segment Position,3,1,1,100000002,510000002109,
1474.79,µm,Segment,Segment Position,2,1,1,100000002,510000002112,
1474.04,µm,Segment,Segment Position,0,1,1,100000002,510000002145,
1474.07,µm,Segment,Segment Position,6,2,1,100000002,510000002163,
1475.84,µm,Segment,Segment Position,2,2,1,100000002,510000002204,
1472.94,µm,Segment,Segment Position,7,5,1,100000000,510000002233,
1473.49,µm,Segment,Segment Position,6,4,1,100000000,510000002245,
1473.87,µm,Segment,Segment Position,5,4,1,100000000,510000002267,
1474,µm,Segment,Segment Position,4,4,1,100000000,510000002269,
1474.6,µm,Segment,Segment Position,3,3,1,100000000,510000002302,
1475.46,µm,Segment,Segment Position,2,3,1,100000000,510000002320,
1473.23,µm,Segment,Segment Position,8,5,1,100000000,510000002326,
1473.24,µm,Segment,Segment Position,7,4,1,100000000,510000002328,
1473.24,µm,Segment,Segment Position,8,4,1,100000000,510000002330,
1474.01,µm,Segment,Segment Position,5,3,1,100000000,510000002353,
1474,µm,Segment,Segment Position,4,3,1,100000000,510000002363,
1473.89,µm,Segment,Segment Position,6,5,1,100000000,510000002373,
1473.81,µm,Segment,Segment Position,5,4,1,100000000,510000002377,
1474.45,µm,Segment,Segment Position,5,5,1,100000000,510000002387,
1473.59,µm,Segment,Segment Position,11,3,1,100000000,510000002395,
1473.73,µm,Segment,Segment Position,9,2,1,100000000,510000002420,
1473.57,µm,Segment,Segment Position,8,2,1,100000000,510000002426,
1473.5,µm,Segment,Segment Position,7,2,1,100000000,510000002430,
1473.46,µm,Segment,Segment Position,6,2,1,100000000,510000002435,
1473.57,µm,Segment,Segment Position,5,2,1,100000000,510000002454,
1473.32,µm,Segment,Segment Position,4,2,1,100000000,510000002458,
1473.08,µm,Segment,Segment Position,3,2,1,100000000,510000002479,
1472.98,µm,Segment,Segment Position,2,1,1,100000000,510000002485,
1473.17,µm,Segment,Segment Position,1,1,1,100000000,510000002492,
1473.85,µm,Segment,Segment Position,0,1,1,100000000,510000002527,
1472.49,µm,Segment,Segment Position,7,3,1,100000000,510000002558,
1473.24,µm,Segment,Segment Position,10,3,1,100000000,510000002584,
1473.83,µm,Segment,Segment Position,11,2,1,100000000,510000002597,
1473.41,µm,Segment,Segment Position,6,3,1,100000000,510000002610,
1472.69,µm,Segment,Segment Position,2,2,1,100000003,510000002615,
1473.14,µm,Segment,Segment Position,1,2,1,100000003,510000002643,
1474.04,µm,Segment,Segment Position,0,1,1,100000003,510000002699,
1472.51,µm,Segment,Segment Position,2,3,1,100000003,510000002703,
1473.09,µm,Segment,Segment Position,9,3,1,100000000,510000002722,
1474.22,µm,Segment,Segment Position,5,4,1,100000000,510000002736,
1474.27,µm,Segment,Segment Position,5,4,1,100000000,510000002741,
1474.91,µm,Segment,Segment Position,4,4,1,100000000,510000002754,
1475.95,µm,Segment,Segment Position,3,2,1,100000001,510000002808,
1474.44,µm,Segment,Segment Position,2,2,1,100000001,510000002847,
1473.07,µm,Segment,Segment Position,1,1,1,100000001,510000002878,
1473.46,µm,Segment,Segment Position,6,3,1,100000000,510000002892,
1473.72,µm,Segment,Segment Position,8,3,1,100000000,510000002895,
1473.84,µm,Segment,Segment Position,7,2,1,100000000,510000002907,
1474.35,µm,Segment,Segment Position,5,2,1,100000000,510000002928,
1475.2,µm,Segment,Segment Position,3,4,1,100000000,510000002930,
1475.46,µm,Segment,Segment Position,3,2,1,100000003,510000002959,
1475.84,µm,Segment,Segment Position,2,1,1,100000003,510000002988,
1475.51,µm,Segment,Segment Position,1,1,1,100000003,510000002994,
1474.81,µm,Segment,Segment Position,0,1,1,100000003,510000003023,
1474.06,µm,Segment,Segment Position,3,4,1,100000000,510000003027,
1475.53,µm,Segment,Segment Position,5,2,1,100000003,510000003033,
1475.69,µm,Segment,Segment Position,4,1,1,100000003,510000003077,
1474.88,µm,Segment,Segment Position,6,2,1,100000000,510000003120,
1474.5,µm,Segment,Segment Position,4,2,1,100000000,510000003137,
1474.08,µm,Segment,Segment Position,7,3,1,100000000,510000003144,
1473.28,µm,Segment,Segment Position,3,2,1,100000003,510000003176,
1472.22,µm,Segment,Segment Position,2,1,1,100000003,510000003199,
1474.3,µm,Segment,Segment Position,6,3,1,100000000,510000003202,
1472.03,µm,Segment,Segment Position,7,3,1,100000002,510000003216,
1472.55,µm,Segment,Segment Position,6,3,1,100000002,510000003230,
1473.53,µm,Segment,Segment Position,5,3,1,100000002,510000003242,
1474.91,µm,Segment,Segment Position,6,4,1,100000001,510000003252,
1474.74,µm,Segment,Segment Position,4,4,1,100000001,510000003283,
1473.98,µm,Segment,Segment Position,3,3,1,100000001,510000003289,
1475.87,µm,Segment,Segment Position,4,3,1,100000003,510000003291,
1476.04,µm,Segment,Segment Position,3,3,1,100000003,510000003293,
1475.25,µm,Segment,Segment Position,7,4,1,100000002,510000003298,
1475.48,µm,Segment,Segment Position,6,3,1,100000002,510000003306,
1475.63,µm,Segment,Segment Position,5,2,1,100000002,510000003320,
1475.29,µm,Segment,Segment Position,4,1,1,100000002,510000003333,
1473.61,µm,Segment,Segment Position,1,1,1,100000003,510000003350,
1472.92,µm,Segment,Segment Position,4,2,1,100000001,510000003356,
1472.92,µm,Segment,Segment Position,3,2,1,100000001,510000003384,
1473.32,µm,Segment,Segment Position,2,1,1,100000001,510000003386,
1475.24,µm,Segment,Segment Position,4,3,1,100000001,510000003438,
1474.71,µm,Segment,Segment Position,6,5,1,100000001,510000003459,
1472.19,µm,Segment,Segment Position,6,2,1,100000000,510000003468,
1472.4,µm,Segment,Segment Position,5,1,1,100000000,510000003472,
1472.32,µm,Segment,Segment Position,4,1,1,100000000,510000003498,
1472.31,µm,Segment,Segment Position,3,1,1,100000000,510000003509,
1472.38,µm,Segment,Segment Position,2,1,1,100000000,510000003511,
1475.88,µm,Segment,Segment Position,5,1,1,100000003,510000003517,
1472.31,µm,Segment,Segment Position,7,4,1,100000002,510000003520,
1472.68,µm,Segment,Segment Position,6,4,1,100000002,510000003532,
1473.04,µm,Segment,Segment Position,4,3,1,100000000,510000003539,
1475.03,µm,Segment,Segment Position,5,5,1,100000001,510000003543,
1476.18,µm,Segment,Segment Position,6,1,1,100000000,510000003547,
1473.52,µm,Segment,Segment Position,5,3,1,100000000,510000003549,
1475.19,µm,Segment,Segment Position,6,2,1,100000002,510000003553,
1475.48,µm,Segment,Segment Position,7,3,1,100000002,510000003555,
1474.42,µm,Segment,Segment Position,7,2,1,100000002,510000003560,
1475.31,µm,Segment,Segment Position,6,2,1,100000002,510000003570,
1475.65,µm,Segment,Segment Position,5,1,1,100000002,510000003573,
1474.29,µm,Segment,Segment Position,6,3,1,100000000,510000003579,
1474.54,µm,Segment,Segment Position,0,1,1,100000002,510000003649,
1472.69,µm,Segment,Segment Position,4,3,1,100000000,510000003661,
1473.52,µm,Segment,Segment Position,3,2,1,100000000,510000003682,
1475.78,µm,Segment,Segment Position,2,1,1,100000003,510000003687,
1474.31,µm,Segment,Segment Position,5,3,1,100000000,510000003689,
1475.96,µm,Segment,Segment Position,4,2,1,100000003,510000003703,
1475.3,µm,Segment,Segment Position,3,3,1,100000001,510000003707,
1472.46,µm,Segment,Segment Position,4,2,1,100000000,510000003732,
1473.15,µm,Segment,Segment Position,4,2,1,100000000,510000003737,
1472.17,µm,Segment,Segment Position,3,1,1,100000003,510000003745,
1472.52,µm,Segment,Segment Position,6,1,1,100000000,510000003751,
1473.35,µm,Segment,Segment Position,0,1,1,100000002,510000003790,
1476.13,µm,Segment,Segment Position,4,2,1,100000003,510000003815,
1475.77,µm,Segment,Segment Position,3,1,1,100000003,510000003817,
1475.24,µm,Segment,Segment Position,2,1,1,100000003,510000003838,
1474.3,µm,Segment,Segment Position,0,1,1,100000003,510000003854,
1476.07,µm,Segment,Segment Position,4,1,1,100000003,510000003863,
1475.67,µm,Segment,Segment Position,7,1,1,100000002,510000003867,
1475.26,µm,Segment,Segment Position,2,2,1,100000003,510000003906,
1472.7,µm,Segment,Segment Position,3,1,1,100000000,510000003915,
1476.03,µm,Segment,Segment Position,7,2,1,100000002,510000003920,
1471.9,µm,Segment,Segment Position,4,2,1,100000000,510000003937,
1475.62,µm,Segment,Segment Position,3,2,1,100000003,510000003941,
1471.82,µm,Segment,Segment Position,4,4,1,100000003,510000003955,
1472.25,µm,Segment,Segment Position,3,3,1,100000003,510000003975,
1472.82,µm,Segment,Segment Position,2,2,1,100000003,510000003991,
1473.5,µm,Segment,Segment Position,0,1,1,100000003,510000004011,
1472.35,µm,Segment,Segment Position,5,2,1,100000000,510000004023,
1471.87,µm,Segment,Segment Position,4,3,1,100000003,510000004028,
1473.17,µm,Segment,Segment Position,2,2,1,100000000,510000004031,
1471.75,µm,Segment,Segment Position,3,2,1,100000000,510000004039,
1472.26,µm,Segment,Segment Position,2,1,1,100000000,510000004060,
1473.03,µm,Segment,Segment Position,0,1,1,100000000,510000004073,
1472.3,µm,Segment,Segment Position,4,2,1,100000000,510000004098,
1472.9,µm,Segment,Segment Position,3,1,1,100000000,510000004101,
1473.11,µm,Segment,Segment Position,2,1,1,100000000,510000004108,
1473.12,µm,Segment,Segment Position,1,1,1,100000000,510000004110,
1472.9,µm,Segment,Segment Position,0,1,1,100000000,510000004131,
1473.48,µm,Segment,Segment Position,4,3,1,100000001,510000004133,
1472.56,µm,Segment,Segment Position,4,3,1,100000003,510000004141,
1473.11,µm,Segment,Segment Position,1,2,1,100000000,510000004147,
1471.95,µm,Segment,Segment Position,4,2,1,100000003,510000004162,
1472.8,µm,Segment,Segment Position,4,1,1,100000000,510000004178,
1473.52,µm,Segment,Segment Position,1,2,1,100000003,510000004186,
1473.56,µm,Segment,Segment Position,3,2,1,100000003,510000004193,
1473.06,µm,Segment,Segment Position,2,1,1,100000003,510000004212,
1472.86,µm,Segment,Segment Position,1,1,1,100000003,510000004215,
1472.96,µm,Segment,Segment Position,0,1,1,100000003,510000004221,
1474.91,µm,Segment,Segment Position,1,2,1,100000002,510000004236,
1472.35,µm,Segment,Segment Position,1,2,1,100000000,510000004248,
1474.76,µm,Segment,Segment Position,2,2,1,100000000,510000004264,
1471.83,µm,Segment,Segment Position,3,1,1,100000000,510000004266,
1474.58,µm,Segment,Segment Position,0,1,1,100000002,510000004305,
1471.92,µm,Segment,Segment Position,1,2,1,100000003,510000004332,
1473.35,µm,Segment,Segment Position,3,2,1,100000000,510000004343,
1475.92,µm,Segment,Segment Position,1,1,1,100000000,510000004347,
1476.33,µm,Segment,Segment Position,2,2,1,100000000,510000004376,
1475.59,µm,Segment,Segment Position,1,1,1,100000000,510000004386,
1473.59,µm,Segment,Segment Position,2,2,1,100000003,510000004416,
1472.88,µm,Segment,Segment Position,0,1,1,100000000,510000004439,
1472.33,µm,Segment,Segment Position,2,2,1,100000000,510000004445,
1473.02,µm,Segment,Segment Position,3,1,1,100000001,510000004447,
1473.35,µm,Segment,Segment Position,3,1,1,100000003,510000004452,
1471.88,µm,Segment,Segment Position,3,3,1,100000000,510000004460,
1472.88,µm,Segment,Segment Position,1,2,1,100000003,510000004512,
1473.29,µm,Segment,Segment Position,0,1,1,100000003,510000004515,
1476.12,µm,Segment,Segment Position,2,2,1,100000003,510000004523,
1474.69,µm,Segment,Segment Position,1,2,1,100000003,510000004532,
1475.15,µm,Segment,Segment Position,1,2,1,100000003,510000004545,
1475.54,µm,Segment,Segment Position,1,2,1,100000003,510000004548,
1473.25,µm,Segment,Segment Position,2,3,1,100000001,510000004551,
1473.28,µm,Segment,Segment Position,2,2,1,100000000,510000004555,
1476.17,µm,Segment,Segment Position,2,1,1,100000000,510000004565,
1473.18,µm,Segment,Segment Position,1,2,1,100000000,510000004567,
1472.88,µm,Segment,Segment Position,1,1,1,100000003,510000004598,
1473.28,µm,Segment,Segment Position,0,1,1,100000000,510000004622,
1472.15,µm,Segment,Segment Position,3,2,1,100000000,510000004628,
1472.92,µm,Segment,Segment Position,0,1,1,100000002,510000004652,
1472.91,µm,Segment,Segment Position,2,1,1,100000003,510000004656,
1473.75,µm,Segment,Segment Position,1,2,1,100000000,510000004663,
1475.5,µm,Segment,Segment Position,2,2,1,100000000,510000004666,
1473.98,µm,Segment,Segment Position,0,1,1,100000002,510000004675,
1473.21,µm,Segment,Segment Position,0,1,1,100000000,510000004678,
1472.91,µm,Segment,Segment Position,2,2,1,100000003,510000004680,
1472.02,µm,Segment,Segment Position,0,1,1,100000001,510000004698,
1474.34,µm,Segment,Segment Position,0,1,1,100000002,510000004715,
1472.72,µm,Segment,Segment Position,1,2,1,100000003,510000004718,
1473.08,µm,Segment,Segment Position,0,1,1,100000003,510000004752,
1472.93,µm,Segment,Segment Position,1,2,1,100000000,510000004754,
1474.15,µm,Segment,Segment Position,6,2,1,100000000,510000004776,
1474.39,µm,Segment,Segment Position,5,2,1,100000000,510000004777,
1473.72,µm,Segment,Segment Position,10,2,1,100000000,510000004782,
1472.62,µm,Segment,Segment Position,1,1,1,100000000,510000004783,
1473.94,µm,Segment,Segment Position,9,4,1,100000001,510000004784,
1474.83,µm,Segment,Segment Position,5,4,1,100000001,510000004786,
1472.79,µm,Segment,Segment Position,4,3,1,100000001,510000004787,
1474.69,µm,Segment,Segment Position,1,1,1,100000002,510000004789,
1474.62,µm,Segment,Segment Position,7,3,1,100000002,510000004791,
1475.66,µm,Segment,Segment Position,6,1,1,100000002,510000004792,
1474.88,µm,Segment,Segment Position,3,2,1,100000002,510000004793,
1472.56,µm,Segment,Segment Position,4,3,1,100000003,510000004796,
1472.44,µm,Segment,Segment Position,10,4,1,100000003,510000004797,
1473.17,µm,Segment,Segment Position,1,1,1,100000003,510000004799,
1472.39,µm,Segment,Segment Position,3,2,1,100000003,510000004800,
1473.79,µm,Segment,Segment Position,2,3,1,100000003,510000004802,
1475.73,µm,Segment,Segment Position,3,1,1,100000003,510000004804,
1476,µm,Segment,Segment Position,3,2,1,100000003,510000004805,
1474.79,µm,Segment,Segment Position,1,1,1,100000003,510000004806,
