
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19632.9,µm,Segment,Segment Position,11,6,1,100000000,510000000013,
19632.4,µm,Segment,Segment Position,10,5,1,100000000,510000000020,
19632,µm,Segment,Segment Position,9,5,1,100000000,510000000029,
19632.2,µm,Segment,Segment Position,8,5,1,100000000,510000000043,
19632.4,µm,Segment,Segment Position,7,4,1,100000000,510000000045,
19633.1,µm,Segment,Segment Position,6,4,1,100000000,510000000087,
19632.9,µm,Segment,Segment Position,5,3,1,100000000,510000000112,
19632.1,µm,Segment,Segment Position,4,3,1,100000000,510000000116,
19632,µm,Segment,Segment Position,3,3,1,100000000,510000000120,
19630.7,µm,Segment,Segment Position,2,3,1,100000000,510000000194,
19629.7,µm,Segment,Segment Position,1,2,1,100000000,510000000204,
19629.6,µm,Segment,Segment Position,0,1,1,100000000,510000000212,
19632.9,µm,Segment,Segment Position,11,5,1,100000000,510000000218,
19632.1,µm,Segment,Segment Position,10,6,1,100000000,510000000228,
19631.6,µm,Segment,Segment Position,9,6,1,100000000,510000000249,
19633.2,µm,Segment,Segment Position,8,4,1,100000000,510000000270,
19632.4,µm,Segment,Segment Position,7,5,1,100000000,510000000273,
19642.9,µm,Segment,Segment Position,14,5,1,100000003,510000000285,
19643.3,µm,Segment,Segment Position,13,5,1,100000003,510000000294,
19643.9,µm,Segment,Segment Position,12,5,1,100000003,510000000301,
19644.1,µm,Segment,Segment Position,11,5,1,100000003,510000000307,
19644.1,µm,Segment,Segment Position,10,5,1,100000003,510000000330,
19644.6,µm,Segment,Segment Position,9,4,1,100000003,510000000337,
19645.3,µm,Segment,Segment Position,8,3,1,100000003,510000000344,
19646.4,µm,Segment,Segment Position,7,3,1,100000003,510000000379,
19648,µm,Segment,Segment Position,6,3,1,100000003,510000000386,
19649.2,µm,Segment,Segment Position,5,3,1,100000003,510000000405,
19649.8,µm,Segment,Segment Position,3,3,1,100000003,510000000439,
19650.4,µm,Segment,Segment Position,2,2,1,100000003,510000000491,
19650.6,µm,Segment,Segment Position,1,1,1,100000003,510000000505,
19651.3,µm,Segment,Segment Position,0,1,1,100000003,510000000543,
19642.5,µm,Segment,Segment Position,14,6,1,100000003,510000000561,
19643.6,µm,Segment,Segment Position,13,6,1,100000003,510000000565,
19643.5,µm,Segment,Segment Position,13,6,1,100000003,510000000567,
19646.6,µm,Segment,Segment Position,12,5,1,100000003,510000000577,
19645.2,µm,Segment,Segment Position,11,5,1,100000003,510000000603,
19646.2,µm,Segment,Segment Position,12,6,1,100000003,510000000607,
19644,µm,Segment,Segment Position,12,6,1,100000003,510000000612,
19644.3,µm,Segment,Segment Position,11,6,1,100000003,510000000618,
19643.5,µm,Segment,Segment Position,13,4,1,100000003,510000000624,
19643.8,µm,Segment,Segment Position,12,4,1,100000003,510000000626,
19644.2,µm,Segment,Segment Position,11,4,1,100000003,510000000631,
19643.6,µm,Segment,Segment Position,13,5,1,100000003,510000000633,
19643.8,µm,Segment,Segment Position,12,5,1,100000003,510000000636,
19647,µm,Segment,Segment Position,9,5,1,100000003,510000000647,
19647.6,µm,Segment,Segment Position,8,4,1,100000003,510000000650,
19647.5,µm,Segment,Segment Position,7,4,1,100000003,510000000655,
19647.9,µm,Segment,Segment Position,6,4,1,100000003,510000000667,
19647.1,µm,Segment,Segment Position,8,5,1,100000003,510000000674,
19647.2,µm,Segment,Segment Position,7,5,1,100000003,510000000681,
19647,µm,Segment,Segment Position,8,6,1,100000003,510000000683,
19649.9,µm,Segment,Segment Position,7,4,1,100000003,510000000722,
19650.6,µm,Segment,Segment Position,6,4,1,100000003,510000000735,
19649.9,µm,Segment,Segment Position,5,4,1,100000003,510000000740,
19647.4,µm,Segment,Segment Position,9,4,1,100000003,510000000742,
19644.7,µm,Segment,Segment Position,9,3,1,100000003,510000000758,
19647.7,µm,Segment,Segment Position,8,5,1,100000003,510000000760,
19645.9,µm,Segment,Segment Position,8,4,1,100000003,510000000768,
19650.8,µm,Segment,Segment Position,7,5,1,100000003,510000000771,
19647.5,µm,Segment,Segment Position,7,4,1,100000003,510000000774,
19650.4,µm,Segment,Segment Position,6,5,1,100000003,510000000783,
19649.8,µm,Segment,Segment Position,4,4,1,100000003,510000000785,
19649.1,µm,Segment,Segment Position,3,3,1,100000003,510000000803,
19649.9,µm,Segment,Segment Position,3,2,1,100000003,510000000810,
19639.4,µm,Segment,Segment Position,4,3,1,100000000,510000000864,
19637.2,µm,Segment,Segment Position,3,2,1,100000000,510000000876,
19636.1,µm,Segment,Segment Position,2,2,1,100000000,510000000928,
19634,µm,Segment,Segment Position,1,2,1,100000000,510000000960,
19631.9,µm,Segment,Segment Position,0,1,1,100000000,510000000993,
19636.7,µm,Segment,Segment Position,3,3,1,100000000,510000001031,
19637.9,µm,Segment,Segment Position,4,2,1,100000000,510000001036,
19637,µm,Segment,Segment Position,9,3,1,100000001,510000001044,
19636.5,µm,Segment,Segment Position,8,3,1,100000001,510000001070,
19636.2,µm,Segment,Segment Position,7,3,1,100000001,510000001074,
19636.1,µm,Segment,Segment Position,6,3,1,100000001,510000001098,
19636.1,µm,Segment,Segment Position,5,3,1,100000001,510000001102,
19636.6,µm,Segment,Segment Position,4,2,1,100000001,510000001129,
19637.2,µm,Segment,Segment Position,3,2,1,100000001,510000001150,
19637.4,µm,Segment,Segment Position,2,2,1,100000001,510000001167,
19637.3,µm,Segment,Segment Position,1,2,1,100000001,510000001189,
19637.4,µm,Segment,Segment Position,0,1,1,100000001,510000001197,
19638.3,µm,Segment,Segment Position,6,2,1,100000001,510000001252,
19636.7,µm,Segment,Segment Position,5,2,1,100000001,510000001265,
19638.2,µm,Segment,Segment Position,7,4,1,100000001,510000001269,
19637.7,µm,Segment,Segment Position,6,3,1,100000001,510000001275,
19636,µm,Segment,Segment Position,8,4,1,100000001,510000001281,
19638.4,µm,Segment,Segment Position,7,3,1,100000001,510000001285,
19636.3,µm,Segment,Segment Position,7,4,1,100000001,510000001288,
19636,µm,Segment,Segment Position,6,4,1,100000001,510000001290,
19649.4,µm,Segment,Segment Position,4,2,1,100000003,510000001297,
19649.4,µm,Segment,Segment Position,3,2,1,100000003,510000001306,
19649,µm,Segment,Segment Position,2,2,1,100000003,510000001308,
19649.1,µm,Segment,Segment Position,1,2,1,100000003,510000001324,
19649.7,µm,Segment,Segment Position,0,1,1,100000003,510000001349,
19649,µm,Segment,Segment Position,4,3,1,100000003,510000001358,
19649.2,µm,Segment,Segment Position,3,3,1,100000003,510000001364,
19649.3,µm,Segment,Segment Position,1,1,1,100000003,510000001369,
19625.7,µm,Segment,Segment Position,6,2,1,100000000,510000001398,
19625.4,µm,Segment,Segment Position,5,1,1,100000000,510000001411,
19625.4,µm,Segment,Segment Position,4,1,1,100000000,510000001419,
19626.4,µm,Segment,Segment Position,3,1,1,100000000,510000001437,
19627.5,µm,Segment,Segment Position,2,1,1,100000000,510000001449,
19628.6,µm,Segment,Segment Position,1,1,1,100000000,510000001461,
19629.1,µm,Segment,Segment Position,0,1,1,100000000,510000001472,
19639,µm,Segment,Segment Position,14,8,1,100000000,510000001496,
19638,µm,Segment,Segment Position,13,8,1,100000000,510000001504,
19637.6,µm,Segment,Segment Position,12,7,1,100000000,510000001512,
19637.3,µm,Segment,Segment Position,11,6,1,100000000,510000001514,
19636.7,µm,Segment,Segment Position,10,5,1,100000000,510000001534,
19636.3,µm,Segment,Segment Position,9,4,1,100000000,510000001589,
19636.8,µm,Segment,Segment Position,8,4,1,100000000,510000001647,
19635.5,µm,Segment,Segment Position,7,3,1,100000000,510000001663,
19635.1,µm,Segment,Segment Position,6,3,1,100000000,510000001674,
19634.8,µm,Segment,Segment Position,5,3,1,100000000,510000001677,
19634.3,µm,Segment,Segment Position,4,3,1,100000000,510000001683,
19633.6,µm,Segment,Segment Position,3,2,1,100000000,510000001710,
19632.1,µm,Segment,Segment Position,2,2,1,100000000,510000001730,
19630.8,µm,Segment,Segment Position,1,1,1,100000000,510000001741,
19630.4,µm,Segment,Segment Position,0,1,1,100000000,510000001749,
19637.2,µm,Segment,Segment Position,14,9,1,100000000,510000001782,
19637.8,µm,Segment,Segment Position,13,8,1,100000000,510000001786,
19638.2,µm,Segment,Segment Position,13,7,1,100000000,510000001791,
19638,µm,Segment,Segment Position,12,6,1,100000000,510000001826,
19637.7,µm,Segment,Segment Position,11,5,1,100000000,510000001839,
19636.7,µm,Segment,Segment Position,10,4,1,100000000,510000001843,
19637.4,µm,Segment,Segment Position,9,5,1,100000000,510000001845,
19636.1,µm,Segment,Segment Position,8,3,1,100000000,510000001860,
19636.3,µm,Segment,Segment Position,8,4,1,100000000,510000001864,
19634.5,µm,Segment,Segment Position,5,4,1,100000000,510000001878,
19635.7,µm,Segment,Segment Position,7,4,1,100000000,510000001890,
19635.2,µm,Segment,Segment Position,6,4,1,100000000,510000001896,
19645,µm,Segment,Segment Position,5,3,1,100000003,510000001924,
19646.9,µm,Segment,Segment Position,4,2,1,100000003,510000001954,
19648.3,µm,Segment,Segment Position,2,2,1,100000003,510000001970,
19649.3,µm,Segment,Segment Position,1,1,1,100000003,510000002002,
19650.6,µm,Segment,Segment Position,0,1,1,100000003,510000002020,
19645.6,µm,Segment,Segment Position,5,2,1,100000003,510000002047,
19655.5,µm,Segment,Segment Position,6,3,1,100000002,510000002066,
19655.6,µm,Segment,Segment Position,5,2,1,100000002,510000002071,
19654.8,µm,Segment,Segment Position,4,2,1,100000002,510000002103,
19654.2,µm,Segment,Segment Position,3,1,1,100000002,510000002109,
19654.4,µm,Segment,Segment Position,2,1,1,100000002,510000002112,
19655.9,µm,Segment,Segment Position,0,1,1,100000002,510000002145,
19655.4,µm,Segment,Segment Position,6,2,1,100000002,510000002163,
19655.7,µm,Segment,Segment Position,2,2,1,100000002,510000002204,
19642.4,µm,Segment,Segment Position,7,5,1,100000000,510000002233,
19641.7,µm,Segment,Segment Position,6,4,1,100000000,510000002245,
19640.3,µm,Segment,Segment Position,5,4,1,100000000,510000002267,
19639.5,µm,Segment,Segment Position,4,4,1,100000000,510000002269,
19638.1,µm,Segment,Segment Position,3,3,1,100000000,510000002302,
19636.1,µm,Segment,Segment Position,2,3,1,100000000,510000002320,
19642.8,µm,Segment,Segment Position,8,5,1,100000000,510000002326,
19642.4,µm,Segment,Segment Position,7,4,1,100000000,510000002328,
19642.5,µm,Segment,Segment Position,8,4,1,100000000,510000002330,
19638.6,µm,Segment,Segment Position,5,3,1,100000000,510000002353,
19639.2,µm,Segment,Segment Position,4,3,1,100000000,510000002363,
19641.3,µm,Segment,Segment Position,6,5,1,100000000,510000002373,
19639.2,µm,Segment,Segment Position,5,4,1,100000000,510000002377,
19639.7,µm,Segment,Segment Position,5,5,1,100000000,510000002387,
19639.3,µm,Segment,Segment Position,11,3,1,100000000,510000002395,
19638.6,µm,Segment,Segment Position,9,2,1,100000000,510000002420,
19638,µm,Segment,Segment Position,8,2,1,100000000,510000002426,
19637.7,µm,Segment,Segment Position,7,2,1,100000000,510000002430,
19637.3,µm,Segment,Segment Position,6,2,1,100000000,510000002435,
19636.3,µm,Segment,Segment Position,5,2,1,100000000,510000002454,
19635.3,µm,Segment,Segment Position,4,2,1,100000000,510000002458,
19634.3,µm,Segment,Segment Position,3,2,1,100000000,510000002479,
19633.6,µm,Segment,Segment Position,2,1,1,100000000,510000002485,
19633.1,µm,Segment,Segment Position,1,1,1,100000000,510000002492,
19632,µm,Segment,Segment Position,0,1,1,100000000,510000002527,
19637.4,µm,Segment,Segment Position,7,3,1,100000000,510000002558,
19638.9,µm,Segment,Segment Position,10,3,1,100000000,510000002584,
19639.5,µm,Segment,Segment Position,11,2,1,100000000,510000002597,
19634.5,µm,Segment,Segment Position,6,3,1,100000000,510000002610,
19657,µm,Segment,Segment Position,2,2,1,100000003,510000002615,
19656.2,µm,Segment,Segment Position,1,2,1,100000003,510000002643,
19653.9,µm,Segment,Segment Position,0,1,1,100000003,510000002699,
19657,µm,Segment,Segment Position,2,3,1,100000003,510000002703,
19639,µm,Segment,Segment Position,9,3,1,100000000,510000002722,
19632.6,µm,Segment,Segment Position,5,4,1,100000000,510000002736,
19632,µm,Segment,Segment Position,5,4,1,100000000,510000002741,
19632.5,µm,Segment,Segment Position,4,4,1,100000000,510000002754,
19630.3,µm,Segment,Segment Position,3,2,1,100000001,510000002808,
19633.6,µm,Segment,Segment Position,2,2,1,100000001,510000002847,
19636.1,µm,Segment,Segment Position,1,1,1,100000001,510000002878,
19636.8,µm,Segment,Segment Position,6,3,1,100000000,510000002892,
19637.8,µm,Segment,Segment Position,8,3,1,100000000,510000002895,
