
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.068,227.055,µm^3,Cumulative Volume Outside,Image 1,1,,
0.204,428.524,µm^3,Cumulative Volume Outside,Image 1,1,,
0.34,624.741,µm^3,Cumulative Volume Outside,Image 1,1,,
0.476,807.397,µm^3,Cumulative Volume Outside,Image 1,1,,
0.612,986.408,µm^3,Cumulative Volume Outside,Image 1,1,,
0.748,1162.34,µm^3,Cumulative Volume Outside,Image 1,1,,
0.884,1329.95,µm^3,Cumulative Volume Outside,Image 1,1,,
1.02,1491.58,µm^3,Cumulative Volume Outside,Image 1,1,,
1.156,1647.07,µm^3,Cumulative Volume Outside,Image 1,1,,
1.292,1794.82,µm^3,Cumulative Volume Outside,Image 1,1,,
1.428,1935.54,µm^3,Cumulative Volume Outside,Image 1,1,,
1.564,2069.45,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7,2197.33,µm^3,Cumulative Volume Outside,Image 1,1,,
1.836,2319.57,µm^3,Cumulative Volume Outside,Image 1,1,,
1.972,2437.85,µm^3,Cumulative Volume Outside,Image 1,1,,
2.108,2552.29,µm^3,Cumulative Volume Outside,Image 1,1,,
2.244,2664.04,µm^3,Cumulative Volume Outside,Image 1,1,,
2.38,2772.65,µm^3,Cumulative Volume Outside,Image 1,1,,
2.516,2878.12,µm^3,Cumulative Volume Outside,Image 1,1,,
2.652,2980.79,µm^3,Cumulative Volume Outside,Image 1,1,,
2.788,3081.22,µm^3,Cumulative Volume Outside,Image 1,1,,
2.924,3179.35,µm^3,Cumulative Volume Outside,Image 1,1,,
3.06,3276.05,µm^3,Cumulative Volume Outside,Image 1,1,,
3.196,3371.37,µm^3,Cumulative Volume Outside,Image 1,1,,
3.332,3465.26,µm^3,Cumulative Volume Outside,Image 1,1,,
3.468,3558.48,µm^3,Cumulative Volume Outside,Image 1,1,,
3.604,3650.79,µm^3,Cumulative Volume Outside,Image 1,1,,
3.74,3742.13,µm^3,Cumulative Volume Outside,Image 1,1,,
3.876,3833.08,µm^3,Cumulative Volume Outside,Image 1,1,,
4.012,3923.29,µm^3,Cumulative Volume Outside,Image 1,1,,
4.148,4012.8,µm^3,Cumulative Volume Outside,Image 1,1,,
4.284,4101.47,µm^3,Cumulative Volume Outside,Image 1,1,,
4.42,4188.74,µm^3,Cumulative Volume Outside,Image 1,1,,
4.556,4275.43,µm^3,Cumulative Volume Outside,Image 1,1,,
4.692,4361.45,µm^3,Cumulative Volume Outside,Image 1,1,,
4.828,4446.37,µm^3,Cumulative Volume Outside,Image 1,1,,
4.964,4530.12,µm^3,Cumulative Volume Outside,Image 1,1,,
5.1,4612.42,µm^3,Cumulative Volume Outside,Image 1,1,,
5.236,4692.97,µm^3,Cumulative Volume Outside,Image 1,1,,
5.372,4772.69,µm^3,Cumulative Volume Outside,Image 1,1,,
5.508,4851.39,µm^3,Cumulative Volume Outside,Image 1,1,,
5.644,4928.95,µm^3,Cumulative Volume Outside,Image 1,1,,
5.78,5005.27,µm^3,Cumulative Volume Outside,Image 1,1,,
5.916,5080.4,µm^3,Cumulative Volume Outside,Image 1,1,,
6.052,5155.23,µm^3,Cumulative Volume Outside,Image 1,1,,
6.188,5229.54,µm^3,Cumulative Volume Outside,Image 1,1,,
6.324,5303.13,µm^3,Cumulative Volume Outside,Image 1,1,,
