
Spine Part Volume
 ==================== 
Spine Part Volume Ground,Spine Part Volume Head,Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0150557,0.00778159,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005899,
0.0217929,0.00467151,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005901,
0.00495163,0.00142597,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005902,
0.0138274,0.0023347,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005909,
0.0219444,0.00468274,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005911,
0.0364763,0.00542028,0.00736324,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000005352,
0.0240601,0.00536059,0.00584222,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000005407,
0.00955404,0.00112339,0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000005505,
0.0161196,0.00289096,0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000005623,
0.0308868,0.0079852,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000005650,
0.0264194,0.00797451,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000005661,
0.0276063,0.0190459,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000005666,
0.0567389,0.0555897,0,µm^3,Spine,Spine Part Volume,1,1,1,100000002,610000005685,
0.0251437,0.0111625,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000005786,
0.0155502,0.00603881,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000005806,
0.0241039,0.00803349,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000005807,
0.00918205,0.00112339,0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000005882,
0.0186715,0.00403336,0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000005900,
0.00926148,0.00266359,0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000005910,
0.037264,0.0053821,0.00581968,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005295,
0.00643038,0.0023201,0.00309618,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005330,
0.0275588,0.00414478,0.00472545,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005345,
0.034021,0.00736792,0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005375,
0.0186231,0.00112338,0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005431,
0.0168177,0.00147533,0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005493,
0.0127638,0.0121405,0.00844801,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000005535,
0.0182468,0.00482819,0.00589765,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005549,
0.0190017,0.0155508,0.0125115,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000005715,
0.0107243,0.00188118,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000005814,
0.0148437,0.00713089,0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000005831,
0.00809664,0.00291055,0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005895,
0.0131579,0.00515915,0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000005908,
