
Spine Terminal Pt Diameter
 ==================== 
Spine Terminal Pt Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,4,4,1,100000003,610000005214,
0.201696,µm,Spine,2,1,1,100000004,610000005219,
0.245189,µm,Spine,0,1,1,100000003,610000005242,
0.212973,µm,Spine,0,1,1,100000003,610000005264,
0.248933,µm,Spine,0,1,1,100000003,610000005286,
0.242515,µm,Spine,0,1,1,100000003,610000005307,
0.1625,µm,Spine,4,4,1,100000003,610000005312,
0.176683,µm,Spine,2,2,1,100000004,610000005319,
0.20005,µm,Spine,0,1,1,100000003,610000005334,
0.260614,µm,Spine,0,1,1,100000003,610000005345,
0.1625,µm,Spine,2,1,1,100000005,610000005349,
0.1625,µm,Spine,12,7,1,100000005,610000005352,
0.238672,µm,Spine,10,3,1,100000004,610000005354,
0.1625,µm,Spine,12,7,1,100000005,610000005357,
0.209587,µm,Spine,2,2,1,100000004,610000005360,
0.1625,µm,Spine,2,2,1,100000005,610000005363,
0.186202,µm,Spine,6,3,1,100000003,610000005366,
0.268076,µm,Spine,2,2,1,100000005,610000005369,
0.191059,µm,Spine,1,1,1,100000005,610000005374,
0.277709,µm,Spine,1,1,1,100000005,610000005377,
0.195738,µm,Spine,2,2,1,100000003,610000005380,
0.1625,µm,Spine,12,7,1,100000005,610000005382,
0.202393,µm,Spine,2,2,1,100000005,610000005385,
0.426468,µm,Spine,4,2,1,100000005,610000005387,
0.302488,µm,Spine,2,2,1,100000005,610000005389,
0.1625,µm,Spine,10,4,1,100000005,610000005393,
0.339701,µm,Spine,9,5,1,100000005,610000005396,
0.207163,µm,Spine,2,2,1,100000005,610000005399,
0.24375,µm,Spine,6,3,1,100000003,610000005402,
0.462666,µm,Spine,5,1,1,100000005,610000005405,
0.311212,µm,Spine,5,1,1,100000005,610000005407,
0.249535,µm,Spine,5,1,1,100000005,610000005409,
0.18008,µm,Spine,0,1,1,100000003,610000005414,
0.169653,µm,Spine,8,3,1,100000004,610000005416,
0.287738,µm,Spine,3,1,1,100000005,610000005418,
0.350391,µm,Spine,0,1,1,100000004,610000005422,
0.23466,µm,Spine,3,1,1,100000005,610000005424,
0.24375,µm,Spine,1,1,1,100000003,610000005427,
0.192969,µm,Spine,1,1,1,100000005,610000005429,
0.323771,µm,Spine,5,2,1,100000005,610000005431,
0.539918,µm,Spine,0,1,1,100000004,610000005433,
0.1625,µm,Spine,0,1,1,100000003,610000005439,
0.656804,µm,Spine,0,1,1,100000004,610000005444,
0.193774,µm,Spine,0,1,1,100000004,610000005450,
0.320132,µm,Spine,0,1,1,100000003,610000005452,
0.471234,µm,Spine,0,1,1,100000003,610000005456,
0.24375,µm,Spine,3,3,1,100000003,610000005466,
0.24375,µm,Spine,1,2,1,100000004,610000005469,
0.230869,µm,Spine,1,1,1,100000005,610000005471,
0.483723,µm,Spine,0,1,1,100000003,610000005474,
0.325,µm,Spine,1,2,1,100000003,610000005476,
0.399724,µm,Spine,0,1,1,100000003,610000005479,
0.392825,µm,Spine,0,1,1,100000003,610000005481,
0.441797,µm,Spine,0,1,1,100000003,610000005483,
0.267871,µm,Spine,0,1,1,100000003,610000005486,
0.424023,µm,Spine,2,2,1,100000005,610000005489,
0.282816,µm,Spine,3,3,1,100000003,610000005491,
0.188472,µm,Spine,0,1,1,100000003,610000005493,
0.431641,µm,Spine,0,1,1,100000003,610000005497,
0.898983,µm,Spine,0,1,1,100000004,610000005500,
0.271187,µm,Spine,2,2,1,100000005,610000005502,
0.4277,µm,Spine,0,1,1,100000003,610000005507,
0.378143,µm,Spine,0,1,1,100000004,610000005510,
0.656804,µm,Spine,0,1,1,100000004,610000005513,
0.371973,µm,Spine,0,1,1,100000003,610000005515,
0.585338,µm,Spine,0,1,1,100000003,610000005517,
0.484312,µm,Spine,0,1,1,100000003,610000005519,
0.626866,µm,Spine,4,2,1,100000005,610000005521,
0.453194,µm,Spine,0,1,1,100000003,610000005523,
0.29419,µm,Spine,6,4,1,100000003,610000005526,
0.319195,µm,Spine,0,1,1,100000003,610000005532,
0.471938,µm,Spine,0,1,1,100000003,610000005541,
0.263379,µm,Spine,3,3,1,100000003,610000005544,
0.52608,µm,Spine,0,1,1,100000003,610000005551,
0.52608,µm,Spine,0,1,1,100000003,610000005555,
0.50743,µm,Spine,0,1,1,100000003,610000005573,
0.182812,µm,Spine,4,4,1,100000003,610000005580,
0.191237,µm,Spine,0,1,1,100000003,610000005586,
0.325,µm,Spine,0,1,1,100000003,610000005587,
0.289563,µm,Spine,3,1,1,100000003,610000005590,
0.24375,µm,Spine,4,4,1,100000003,610000005591,
0.28686,µm,Spine,3,3,1,100000003,610000005592,
0.195508,µm,Spine,10,2,1,100000004,610000005613,
0.171485,µm,Spine,10,3,1,100000004,610000005614,
0.288184,µm,Spine,8,3,1,100000004,610000005615,
0.352902,µm,Spine,4,2,1,100000004,610000005616,
0.294531,µm,Spine,2,1,1,100000004,610000005617,
0.201585,µm,Spine,3,2,1,100000004,610000005618,
0.340658,µm,Spine,3,2,1,100000004,610000005619,
0.360027,µm,Spine,3,2,1,100000004,610000005620,
0.324511,µm,Spine,1,2,1,100000004,610000005621,
0.178628,µm,Spine,10,7,1,100000005,610000005627,
0.407517,µm,Spine,9,5,1,100000005,610000005628,
0.453691,µm,Spine,6,4,1,100000005,610000005629,
0.298477,µm,Spine,4,3,1,100000005,610000005630,
0.325,µm,Spine,4,3,1,100000005,610000005631,
0.28103,µm,Spine,4,3,1,100000005,610000005632,
0.24375,µm,Spine,4,3,1,100000005,610000005633,
0.256566,µm,Spine,3,3,1,100000005,610000005634,
0.333425,µm,Spine,3,3,1,100000005,610000005635,
0.249063,µm,Spine,13,6,1,100000005,610000005636,
0.375719,µm,Spine,9,4,1,100000005,610000005637,
0.238215,µm,Spine,11,6,1,100000005,610000005638,
0.242394,µm,Spine,8,5,1,100000005,610000005639,
0.420551,µm,Spine,7,4,1,100000005,610000005640,
0.347007,µm,Spine,4,2,1,100000005,610000005641,
0.317465,µm,Spine,1,2,1,100000005,610000005642,
1.3,µm,Spine,1,2,1,100000005,610000005643,
0.437887,µm,Spine,2,2,1,100000005,610000005644,
0.349263,µm,Spine,2,2,1,100000005,610000005645,
0.360018,µm,Spine,2,2,1,100000005,610000005646,
0.370964,µm,Spine,2,2,1,100000005,610000005647,
0.217392,µm,Spine,3,1,1,100000005,610000005648,
