
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
21672.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,100000003,610000005214,
21648.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000004,610000005219,
21673.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005242,
21673.9,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005264,
21673.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005286,
21673.9,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005307,
21672.3,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,100000003,610000005312,
21645.9,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000004,610000005319,
21674,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005334,
21674.1,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005345,
21660.9,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000005,610000005349,
21655.1,µm,Spine,Spine Terminal Pt Distance from Origin,12,7,1,100000005,610000005352,
21643.1,µm,Spine,Spine Terminal Pt Distance from Origin,10,3,1,100000004,610000005354,
21655.3,µm,Spine,Spine Terminal Pt Distance from Origin,12,7,1,100000005,610000005357,
21646.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000004,610000005360,
21660.8,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005363,
21673.1,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000003,610000005366,
21661.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005369,
21660.6,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000005,610000005374,
21661,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000005,610000005377,
21674.1,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000003,610000005380,
21655.4,µm,Spine,Spine Terminal Pt Distance from Origin,12,7,1,100000005,610000005382,
21661.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005385,
21659,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000005,610000005387,
21661,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005389,
21658.5,µm,Spine,Spine Terminal Pt Distance from Origin,10,4,1,100000005,610000005393,
21658.1,µm,Spine,Spine Terminal Pt Distance from Origin,9,5,1,100000005,610000005396,
21661.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005399,
21673.4,µm,Spine,Spine Terminal Pt Distance from Origin,6,3,1,100000003,610000005402,
21659.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,1,1,100000005,610000005405,
21659.9,µm,Spine,Spine Terminal Pt Distance from Origin,5,1,1,100000005,610000005407,
21660,µm,Spine,Spine Terminal Pt Distance from Origin,5,1,1,100000005,610000005409,
21674.4,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005414,
21641.3,µm,Spine,Spine Terminal Pt Distance from Origin,8,3,1,100000004,610000005416,
21660.2,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000005,610000005418,
21660.5,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000005,610000005424,
21676.1,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000003,610000005427,
21660.9,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000005,610000005429,
21659.1,µm,Spine,Spine Terminal Pt Distance from Origin,5,2,1,100000005,610000005431,
21646.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000004,610000005450,
21673.2,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005452,
21676.9,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000005455,
21673.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000003,610000005466,
21648.3,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000004,610000005469,
21661.1,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000005,610000005471,
21675.8,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000003,610000005476,
21659,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005489,
21673.6,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000003,610000005491,
21678.2,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000005493,
21673.7,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000005496,
21644.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000005499,
21661,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005502,
21658.9,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000005,610000005521,
21673.4,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000003,610000005526,
21673.7,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000003,610000005544,
21657.3,µm,Spine,Spine Terminal Pt Distance from Origin,10,7,1,100000005,610000005627,
21659.1,µm,Spine,Spine Terminal Pt Distance from Origin,9,5,1,100000005,610000005628,
21658.2,µm,Spine,Spine Terminal Pt Distance from Origin,6,4,1,100000005,610000005629,
21657.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000005,610000005630,
21657.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000005,610000005631,
21657.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000005,610000005632,
21657.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000005,610000005633,
21658.1,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000005,610000005634,
21658.5,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000005,610000005635,
21654.7,µm,Spine,Spine Terminal Pt Distance from Origin,13,6,1,100000005,610000005636,
21657.7,µm,Spine,Spine Terminal Pt Distance from Origin,9,4,1,100000005,610000005637,
21653.6,µm,Spine,Spine Terminal Pt Distance from Origin,11,6,1,100000005,610000005638,
21658.3,µm,Spine,Spine Terminal Pt Distance from Origin,8,5,1,100000005,610000005639,
21659.3,µm,Spine,Spine Terminal Pt Distance from Origin,7,4,1,100000005,610000005640,
21658.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,100000005,610000005641,
21659.3,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000005,610000005642,
21659.4,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,100000005,610000005643,
21660.8,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005644,
21660.9,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005645,
21661.1,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005646,
21661.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000005,610000005647,
21660.4,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,100000005,610000005648,
21644.5,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000005649,
21672.7,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,,610000005649,
21643.2,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000005650,
21674.1,µm,Spine,Spine Terminal Pt Distance from Origin,4,4,1,,610000005650,
21674.9,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,,610000005651,
21643.3,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000005651,
21643.4,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000005652,
21680.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,1,1,,610000005652,
21677.6,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000005653,
21643.3,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,,610000005653,
21677.4,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000005654,
21641.4,µm,Spine,Spine Terminal Pt Distance from Origin,4,2,1,,610000005654,
21673.6,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000005655,
21641.4,µm,Spine,Spine Terminal Pt Distance from Origin,8,3,1,,610000005655,
21643.5,µm,Spine,Spine Terminal Pt Distance from Origin,10,3,1,,610000005656,
21642.4,µm,Spine,Spine Terminal Pt Distance from Origin,10,2,1,,610000005657,
21647,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000005658,
21645.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000005660,
