
Soma Intensity Max Ch=5 Img=1
 ==================== 
Soma Intensity Max,Unit,Category,Channel,Image,Time,FilamentID,ID,
188,,Soma,5,Image 1,1,100000003,800000306,
144,,Soma,5,Image 1,1,100000004,800000307,
