
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1372.3,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000306,
1372.46,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000306,
1372.46,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000306,
1371.79,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000306,
1372.46,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000306,
1371.76,µm,Soma,6,Soma Center of Image Mass,Image 1,1,100000003,800000306,
1374.48,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000004,800000307,
1374.56,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000004,800000307,
1374.57,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000004,800000307,
1374,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000004,800000307,
1374.57,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000004,800000307,
1373.96,µm,Soma,6,Soma Center of Image Mass,Image 1,1,100000004,800000307,
