
Soma BoundingBoxAA Length Y
 ==================== 
Soma BoundingBoxAA Length Y,Unit,Category,Collection,Time,FilamentID,ID,
3.83789,µm,Soma,Soma BoundingBoxAA Length,1,100000003,800000306,
3.12305,µm,Soma,Soma BoundingBoxAA Length,1,100000004,800000307,
