
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
3,,Segment,3,3,1,100000002,510000000048,
3,,Segment,2,3,1,100000002,510000000077,
2,,Segment,1,2,1,100000002,510000000109,
1,,Segment,0,1,1,100000002,510000000132,
2,,Segment,1,2,1,100000002,510000000184,
1,,Segment,0,1,1,100000002,510000000246,
3,,Segment,3,3,1,100000002,510000000295,
2,,Segment,2,2,1,100000002,510000000319,
1,,Segment,1,1,1,100000002,510000000331,
3,,Segment,2,3,1,100000000,510000000412,
2,,Segment,1,2,1,100000000,510000000420,
1,,Segment,0,1,1,100000000,510000000446,
2,,Segment,4,2,1,100000001,510000000481,
1,,Segment,3,1,1,100000001,510000000520,
1,,Segment,2,1,1,100000001,510000000537,
1,,Segment,1,1,1,100000001,510000000584,
1,,Segment,0,1,1,100000001,510000000597,
2,,Segment,3,2,1,100000002,510000000620,
1,,Segment,2,1,1,100000002,510000000648,
2,,Segment,3,2,1,100000000,510000000666,
2,,Segment,2,2,1,100000001,510000000702,
1,,Segment,1,1,1,100000001,510000000705,
1,,Segment,0,1,1,100000001,510000000723,
3,,Segment,3,3,1,100000002,510000000740,
2,,Segment,2,2,1,100000002,510000000765,
3,,Segment,3,3,1,100000000,510000000805,
2,,Segment,2,2,1,100000000,510000000825,
2,,Segment,1,2,1,100000000,510000000855,
1,,Segment,0,1,1,100000000,510000000890,
3,,Segment,2,3,1,100000001,510000000907,
2,,Segment,1,2,1,100000001,510000000956,
1,,Segment,0,1,1,100000001,510000001000,
1,,Segment,1,1,1,100000003,510000001002,
1,,Segment,0,1,1,100000003,510000001114,
2,,Segment,1,2,1,100000003,510000001130,
2,,Segment,2,2,1,100000001,510000001133,
3,,Segment,2,3,1,100000003,510000001218,
2,,Segment,1,2,1,100000003,510000001229,
1,,Segment,0,1,1,100000003,510000001252,
1,,Segment,0,1,1,100000000,510000001329,
3,,Segment,4,3,1,100000003,510000001355,
2,,Segment,3,2,1,100000003,510000001367,
1,,Segment,2,1,1,100000003,510000001379,
1,,Segment,1,1,1,100000003,510000001383,
1,,Segment,0,1,1,100000003,510000001412,
3,,Segment,4,3,1,100000002,510000001434,
2,,Segment,3,2,1,100000002,510000001439,
4,,Segment,3,4,1,100000002,510000001455,
2,,Segment,3,2,1,100000001,510000001486,
3,,Segment,3,3,1,100000000,510000001525,
2,,Segment,3,2,1,100000000,510000001531,
3,,Segment,2,3,1,100000000,510000001537,
2,,Segment,1,2,1,100000001,510000001637,
1,,Segment,0,1,1,100000002,510000001653,
2,,Segment,4,2,1,100000002,510000001667,
1,,Segment,4,1,1,100000001,510000001676,
2,,Segment,2,2,1,100000001,510000001680,
2,,Segment,4,2,1,100000003,510000001735,
1,,Segment,1,1,1,100000002,510000001739,
2,,Segment,1,2,1,100000001,510000001763,
1,,Segment,0,1,1,100000001,510000001790,
1,,Segment,1,1,1,100000000,510000001797,
1,,Segment,0,1,1,100000002,510000001817,
3,,Segment,4,3,1,100000003,510000001823,
3,,Segment,3,3,1,100000003,510000001837,
2,,Segment,2,2,1,100000003,510000001840,
4,,Segment,4,4,1,100000003,510000001844,
1,,Segment,0,1,1,100000000,510000001853,
2,,Segment,4,2,1,100000003,510000001920,
1,,Segment,3,1,1,100000003,510000001929,
1,,Segment,4,1,1,100000003,510000001932,
2,,Segment,2,2,1,100000003,510000001937,
2,,Segment,1,2,1,100000003,510000001947,
1,,Segment,0,1,1,100000002,510000001960,
1,,Segment,3,1,1,100000001,510000001991,
1,,Segment,2,1,1,100000001,510000002003,
1,,Segment,1,1,1,100000001,510000002053,
2,,Segment,3,2,1,100000001,510000002056,
2,,Segment,4,2,1,100000003,510000002066,
2,,Segment,3,2,1,100000003,510000002068,
1,,Segment,2,1,1,100000000,510000002090,
1,,Segment,1,1,1,100000000,510000002098,
1,,Segment,0,1,1,100000001,510000002127,
2,,Segment,1,2,1,100000001,510000002154,
2,,Segment,2,2,1,100000000,510000002168,
1,,Segment,1,1,1,100000001,510000002174,
1,,Segment,1,1,1,100000000,510000002183,
1,,Segment,0,1,1,100000000,510000002197,
1,,Segment,0,1,1,100000000,510000002205,
2,,Segment,1,2,1,100000000,510000002207,
1,,Segment,0,1,1,100000000,510000002212,
1,,Segment,0,1,1,100000000,510000002239,
2,,Segment,1,2,1,100000000,510000002251,
1,,Segment,0,1,1,100000000,510000002255,
1,,Segment,1,1,1,100000000,510000002258,
1,,Segment,0,1,1,100000001,510000002288,
2,,Segment,2,2,1,100000000,510000002289,
2,,Segment,1,2,1,100000002,510000002293,
1,,Segment,1,1,1,100000002,510000002294,
1,,Segment,0,1,1,100000002,510000002295,
3,,Segment,4,3,1,100000003,510000002296,
1,,Segment,1,1,1,100000003,510000002297,
