
Segment Intensity Max Ch=4 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10,,Segment,4,3,Image 1,3,1,100000002,510000000048,
11,,Segment,4,2,Image 1,3,1,100000002,510000000077,
13,,Segment,4,1,Image 1,2,1,100000002,510000000109,
11,,Segment,4,0,Image 1,1,1,100000002,510000000132,
10,,Segment,4,1,Image 1,2,1,100000002,510000000184,
22,,Segment,4,0,Image 1,1,1,100000002,510000000246,
9,,Segment,4,3,Image 1,3,1,100000002,510000000295,
11,,Segment,4,2,Image 1,2,1,100000002,510000000319,
40,,Segment,4,1,Image 1,1,1,100000002,510000000331,
9,,Segment,4,2,Image 1,3,1,100000000,510000000412,
9,,Segment,4,1,Image 1,2,1,100000000,510000000420,
954,,Segment,4,0,Image 1,1,1,100000000,510000000446,
12,,Segment,4,4,Image 1,2,1,100000001,510000000481,
37,,Segment,4,3,Image 1,1,1,100000001,510000000520,
12,,Segment,4,2,Image 1,1,1,100000001,510000000537,
12,,Segment,4,1,Image 1,1,1,100000001,510000000584,
8,,Segment,4,0,Image 1,1,1,100000001,510000000597,
14,,Segment,4,3,Image 1,2,1,100000002,510000000620,
7,,Segment,4,2,Image 1,1,1,100000002,510000000648,
147,,Segment,4,3,Image 1,2,1,100000000,510000000666,
49,,Segment,4,2,Image 1,2,1,100000001,510000000702,
12,,Segment,4,1,Image 1,1,1,100000001,510000000705,
593,,Segment,4,0,Image 1,1,1,100000001,510000000723,
14,,Segment,4,3,Image 1,3,1,100000002,510000000740,
17,,Segment,4,2,Image 1,2,1,100000002,510000000765,
9,,Segment,4,3,Image 1,3,1,100000000,510000000805,
11,,Segment,4,2,Image 1,2,1,100000000,510000000825,
12,,Segment,4,1,Image 1,2,1,100000000,510000000855,
12,,Segment,4,0,Image 1,1,1,100000000,510000000890,
246,,Segment,4,2,Image 1,3,1,100000001,510000000907,
439,,Segment,4,1,Image 1,2,1,100000001,510000000956,
11,,Segment,4,0,Image 1,1,1,100000001,510000001000,
8,,Segment,4,1,Image 1,1,1,100000003,510000001002,
16,,Segment,4,0,Image 1,1,1,100000003,510000001114,
6,,Segment,4,1,Image 1,2,1,100000003,510000001130,
50,,Segment,4,2,Image 1,2,1,100000001,510000001133,
30,,Segment,4,2,Image 1,3,1,100000003,510000001218,
38,,Segment,4,1,Image 1,2,1,100000003,510000001229,
95,,Segment,4,0,Image 1,1,1,100000003,510000001252,
560,,Segment,4,0,Image 1,1,1,100000000,510000001329,
8,,Segment,4,4,Image 1,3,1,100000003,510000001355,
12,,Segment,4,3,Image 1,2,1,100000003,510000001367,
22,,Segment,4,2,Image 1,1,1,100000003,510000001379,
22,,Segment,4,1,Image 1,1,1,100000003,510000001383,
22,,Segment,4,0,Image 1,1,1,100000003,510000001412,
29,,Segment,4,4,Image 1,3,1,100000002,510000001434,
9,,Segment,4,3,Image 1,2,1,100000002,510000001439,
