
Spine Number of Voxel Ch=1 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
123,,Spine,1,3,Image 1,3,1,100000000,610000002460,
89,,Spine,1,3,Image 1,3,1,100000000,610000002477,
58,,Spine,1,3,Image 1,3,1,100000000,610000002487,
101,,Spine,1,4,Image 1,2,1,100000003,610000002501,
40,,Spine,1,4,Image 1,2,1,100000003,610000002510,
64,,Spine,1,2,Image 1,3,1,100000000,610000002517,
96,,Spine,1,2,Image 1,3,1,100000000,610000002529,
101,,Spine,1,1,Image 1,1,1,100000000,610000002538,
95,,Spine,1,1,Image 1,1,1,100000000,610000002546,
90,,Spine,1,0,Image 1,1,1,100000001,610000002553,
411,,Spine,1,2,Image 1,3,1,100000002,610000002567,
350,,Spine,1,2,Image 1,3,1,100000002,610000002580,
3040,,Spine,1,0,Image 1,1,1,100000000,610000002591,
92,,Spine,1,4,Image 1,2,1,100000003,610000002595,
134,,Spine,1,2,Image 1,3,1,100000002,610000002606,
142,,Spine,1,0,Image 1,1,1,100000000,610000002610,
115,,Spine,1,0,Image 1,1,1,100000003,610000002613,
158,,Spine,1,2,Image 1,3,1,100000001,610000002615,
80,,Spine,1,0,Image 1,1,1,100000000,610000002619,
170,,Spine,1,0,Image 1,1,1,100000003,610000002622,
276,,Spine,1,0,Image 1,1,1,100000003,610000002626,
255,,Spine,1,2,Image 1,3,1,100000001,610000002629,
150,,Spine,1,2,Image 1,3,1,100000001,610000002631,
52,,Spine,1,0,Image 1,1,1,100000000,610000002635,
104,,Spine,1,3,Image 1,2,1,100000000,610000002654,
89,,Spine,1,1,Image 1,1,1,100000000,610000002655,
275,,Spine,1,0,Image 1,1,1,100000000,610000002656,
80,,Spine,1,0,Image 1,1,1,100000000,610000002657,
75,,Spine,1,0,Image 1,1,1,100000000,610000002658,
69,,Spine,1,0,Image 1,1,1,100000000,610000002659,
26,,Spine,1,0,Image 1,1,1,100000000,610000002660,
63,,Spine,1,1,Image 1,2,1,100000000,610000002661,
132,,Spine,1,0,Image 1,1,1,100000000,610000002662,
117,,Spine,1,1,Image 1,1,1,100000001,610000002663,
105,,Spine,1,2,Image 1,3,1,100000001,610000002670,
50,,Spine,1,1,Image 1,2,1,100000001,610000002671,
34,,Spine,1,0,Image 1,1,1,100000001,610000002672,
78,,Spine,1,4,Image 1,2,1,100000003,610000002675,
86,,Spine,1,2,Image 1,1,1,100000003,610000002676,
68,,Spine,1,2,Image 1,1,1,100000003,610000002677,
120,,Spine,1,0,Image 1,1,1,100000003,610000002678,
