
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-8.033,12.8889,µm^3,Cumulative Volume Inside,Image 1,1,,
-7.479,59.5417,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.925,193.653,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.371,481.111,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.817,1000.33,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.263,1830.94,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.709,2954.94,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.155,4418.18,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.601,6256.5,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.047,8510.15,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.493,11202.5,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.939,14320,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.385,17903.8,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.831,21928.2,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.277,26474.8,µm^3,Cumulative Volume Inside,Image 1,1,,
