
Soma Number of Voxels Img=1
 ==================== 
Soma Number of Voxels,Unit,Category,Image,Time,FilamentID,ID,
12189,,Soma,Image 1,1,100000000,800000000,
12678,,Soma,Image 1,1,100000001,800000001,
12838,,Soma,Image 1,1,100000002,800000002,
12274,,Soma,Image 1,1,100000003,800000003,
