
Spine Center Intensity Sum Ch=1 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
264,,Spine,1,3,Image 1,3,1,100000000,610000002460,
257,,Spine,1,3,Image 1,3,1,100000000,610000002477,
118,,Spine,1,3,Image 1,3,1,100000000,610000002487,
445,,Spine,1,4,Image 1,2,1,100000003,610000002501,
195,,Spine,1,4,Image 1,2,1,100000003,610000002510,
162,,Spine,1,2,Image 1,3,1,100000000,610000002517,
233,,Spine,1,2,Image 1,3,1,100000000,610000002529,
286,,Spine,1,1,Image 1,1,1,100000000,610000002538,
229,,Spine,1,1,Image 1,1,1,100000000,610000002546,
251,,Spine,1,0,Image 1,1,1,100000001,610000002553,
838,,Spine,1,2,Image 1,3,1,100000002,610000002567,
726,,Spine,1,2,Image 1,3,1,100000002,610000002580,
658,,Spine,1,0,Image 1,1,1,100000000,610000002591,
117,,Spine,1,4,Image 1,2,1,100000003,610000002595,
871,,Spine,1,2,Image 1,3,1,100000002,610000002606,
235,,Spine,1,0,Image 1,1,1,100000000,610000002610,
250,,Spine,1,0,Image 1,1,1,100000003,610000002613,
214,,Spine,1,2,Image 1,3,1,100000001,610000002615,
350,,Spine,1,0,Image 1,1,1,100000000,610000002619,
263,,Spine,1,0,Image 1,1,1,100000003,610000002622,
437,,Spine,1,0,Image 1,1,1,100000003,610000002626,
323,,Spine,1,2,Image 1,3,1,100000001,610000002629,
149,,Spine,1,2,Image 1,3,1,100000001,610000002631,
392,,Spine,1,0,Image 1,1,1,100000000,610000002635,
146,,Spine,1,3,Image 1,2,1,100000000,610000002654,
154,,Spine,1,1,Image 1,1,1,100000000,610000002655,
81,,Spine,1,0,Image 1,1,1,100000000,610000002656,
115,,Spine,1,0,Image 1,1,1,100000000,610000002657,
276,,Spine,1,0,Image 1,1,1,100000000,610000002658,
102,,Spine,1,0,Image 1,1,1,100000000,610000002659,
255,,Spine,1,0,Image 1,1,1,100000000,610000002660,
157,,Spine,1,1,Image 1,2,1,100000000,610000002661,
236,,Spine,1,0,Image 1,1,1,100000000,610000002662,
197,,Spine,1,1,Image 1,1,1,100000001,610000002663,
226,,Spine,1,2,Image 1,3,1,100000001,610000002670,
90,,Spine,1,1,Image 1,2,1,100000001,610000002671,
50,,Spine,1,0,Image 1,1,1,100000001,610000002672,
135,,Spine,1,4,Image 1,2,1,100000003,610000002675,
161,,Spine,1,2,Image 1,1,1,100000003,610000002676,
182,,Spine,1,2,Image 1,1,1,100000003,610000002677,
250,,Spine,1,0,Image 1,1,1,100000003,610000002678,
